,Unnamed: 0,date,ishol/week,group,name,quantity,unit_cogs,monthly_Avgtemp,monthly_avg_FeelsLikeC,monthly_avg_HeatIndexC,monthly_avg_cloudcover,monthly_avg_humidity
12,12,2018-01-01,9,ALCOHOL,PIWO BOJAN  WIELKOP.0_5 L B/ZW,3,2.5,-0.4199999999999999,-4.84,1,2,82.81
13,13,2018-01-01,9,ALCOHOL,PIWO BOJAN FAJRANT 0_5 L B/ZWR,7,1.61,-0.4199999999999999,-4.84,1,2,82.81
14,14,2018-01-01,9,ALCOHOL,PIWO BOJAN KOKOS 0_5 L B/ZWR,1,3.02,-0.4199999999999999,-4.84,1,2,82.81
15,15,2018-01-01,9,ALCOHOL,PIWO BOJAN STRAZACKIE 0_5 L B/ZW,1,2.5,-0.4199999999999999,-4.84,1,2,82.81
16,16,2018-01-01,9,ALCOHOL,PIWO BOJAN SZWEJK 0_5 L B/ZWROT,5,2.37,-0.4199999999999999,-4.84,1,2,82.81
17,17,2018-01-01,9,ALCOHOL,PIWO BRACKIE 0_5 L B/ZWROT,12,1.35,-0.4199999999999999,-4.84,1,2,82.81
18,18,2018-01-01,9,ALCOHOL,PIWO CIECHAN MIODOWE 0_5 L B/ZW,4,3.78,-0.4199999999999999,-4.84,1,2,82.81
19,19,2018-01-01,9,ALCOHOL,PIWO DEBOWE MOCNE 0_5L BUTELKA,60,1.79,-0.4199999999999999,-4.84,1,2,82.81
20,20,2018-01-01,9,ALCOHOL,PIWO DEBOWE MOCNE 0_5L PUSZKA,4,2.34,-0.4199999999999999,-4.84,1,2,82.81
21,21,2018-01-01,9,ALCOHOL,PIWO DESPERADOS 0_4 L,24,2.42,-0.4199999999999999,-4.84,1,2,82.81
22,22,2018-01-01,9,ALCOHOL,PIWO DESPERADOS 0_4 L 6%  B/BEZW,2,2.67,-0.4199999999999999,-4.84,1,2,82.81
23,23,2018-01-01,9,ALCOHOL,PIWO DESPERADOS 0_4 NOCTURN 7%,3,2.93,-0.4199999999999999,-4.84,1,2,82.81
24,24,2018-01-01,9,ALCOHOL,PIWO EB 0_5 L B/ZWR,2,1.7,-0.4199999999999999,-4.84,1,2,82.81
25,25,2018-01-01,9,ALCOHOL,PIWO EB 0_5 L PUSZKA,8,2.05,-0.4199999999999999,-4.84,1,2,82.81
26,26,2018-01-01,9,ALCOHOL,PIWO FOX 0_5 L PUSZKA MOCNE,61,1.26,-0.4199999999999999,-4.84,1,2,82.81
27,27,2018-01-01,9,ALCOHOL,PIWO FOX 0_5L PUSZKA JASNE,1,1.07,-0.4199999999999999,-4.84,1,2,82.81
28,28,2018-01-01,9,ALCOHOL,PIWO HARNAS 0_5L BUTELKA,1,1.23,-0.4199999999999999,-4.84,1,2,82.81
29,29,2018-01-01,9,ALCOHOL,PIWO HEINEKEN 0_5L B BEZ ZWROT,19,2.19578947368421,-0.4199999999999999,-4.84,1,2,82.81
30,30,2018-01-01,9,ALCOHOL,PIWO KARMI 0_5L BUT /ZWROT,2,2.13,-0.4199999999999999,-4.84,1,2,82.81
31,31,2018-01-01,9,ALCOHOL,PIWO KSIAZECE PSZENICZNE 0_5 B/ZWR,2,2.43,-0.4199999999999999,-4.84,1,2,82.81
32,32,2018-01-01,9,ALCOHOL,PIWO LECH LITE 0_33 BUT BEZ/ZW,1,1.55,-0.4199999999999999,-4.84,1,2,82.81
33,33,2018-01-01,9,ALCOHOL,PIWO LECH LITE 0_33 PUSZKA,1,1.5,-0.4199999999999999,-4.84,1,2,82.81
34,34,2018-01-01,9,ALCOHOL,PIWO LECH PILS 0_5L BUTELKA,76,1.75,-0.4199999999999999,-4.84,1,2,82.81
35,35,2018-01-01,9,ALCOHOL,PIWO LECH PILS 0_5L PUSZKA,4,2.2,-0.4199999999999999,-4.84,1,2,82.81
36,36,2018-01-01,9,ALCOHOL,PIWO LECH PREMIUM 0_5L  PUSZKA,32,1.92,-0.4199999999999999,-4.84,1,2,82.81
37,37,2018-01-01,9,ALCOHOL,PIWO LECH PREMIUM 0_5L BUTELKA,87,1.68,-0.4199999999999999,-4.84,1,2,82.81
38,38,2018-01-01,9,ALCOHOL,PIWO LEZAJSK 0_5 L B/BEZW,3,1.55,-0.4199999999999999,-4.84,1,2,82.81
39,39,2018-01-01,9,ALCOHOL,PIWO LEZAJSK CHMIEL 0_5 L B/BEZ,2,1.55,-0.4199999999999999,-4.84,1,2,82.81
40,40,2018-01-01,9,ALCOHOL,PIWO LOMZA EXPORT 0_5L BUT/BEZ.,1,1.58,-0.4199999999999999,-4.84,1,2,82.81
41,41,2018-01-01,9,ALCOHOL,PIWO LWOWEK 0_5L B/ZW,1,2.15,-0.4199999999999999,-4.84,1,2,82.81
42,42,2018-01-01,9,ALCOHOL,PIWO LWOWEK MALINA 0_5 L B/ZW,2,2.6,-0.4199999999999999,-4.84,1,2,82.81
43,43,2018-01-01,9,ALCOHOL,PIWO MOCNE POLSKIE 0_33L,36,0.86,-0.4199999999999999,-4.84,1,2,82.81
44,44,2018-01-01,9,ALCOHOL,PIWO MUSCOVADO 0_5 L B/ZWR,5,3.56,-0.4199999999999999,-4.84,1,2,82.81
45,45,2018-01-01,9,ALCOHOL,PIWO OKOCIM 0_5 L RADLER B/Z LIMON,2,1.82,-0.4199999999999999,-4.84,1,2,82.81
46,46,2018-01-01,9,ALCOHOL,PIWO OKOCIM PILS 0_5 B/ZWROTNA,6,1.57,-0.4199999999999999,-4.84,1,2,82.81
47,47,2018-01-01,9,ALCOHOL,PIWO PILSNER URQUELL 0_5L BUTELKA,1,3.82,-0.4199999999999999,-4.84,1,2,82.81
48,48,2018-01-01,9,ALCOHOL,PIWO PRAZUBR NIEP.0_5 B/ZW,10,1.81,-0.4199999999999999,-4.84,1,2,82.81
49,49,2018-01-01,9,ALCOHOL,PIWO REDDS MALINOWE PUSZKA 0_5L,2,2.53,-0.4199999999999999,-4.84,1,2,82.81
50,50,2018-01-01,9,ALCOHOL,PIWO REEDS 0_5L PUSZKA JABLKOWE,3,2.53,-0.4199999999999999,-4.84,1,2,82.81
51,51,2018-01-01,9,ALCOHOL,PIWO SAMERSBY  0_500 ML PUSZKA,2,2.7,-0.4199999999999999,-4.84,1,2,82.81
