,Unnamed: 0,date,ishol/week,group,name,quantity,unit_cogs,monthly_Avgtemp,monthly_avg_FeelsLikeC,monthly_avg_HeatIndexC,monthly_avg_cloudcover,monthly_avg_humidity
462,462,2018-01-01,9,COFFEE TEA,BISZKOPTY 120 G MLYNY POLSKIE,2,3.25,-0.4199999999999999,-4.84,1,2,82.81
463,463,2018-01-01,9,COFFEE TEA,CAPPUCCINO WANILIA MOKATE 110GR,2,2.09,-0.4199999999999999,-4.84,1,2,82.81
464,464,2018-01-01,9,COFFEE TEA,EKOLAND HERBATA MULTIVITA 300GR TOR,1,2.49,-0.4199999999999999,-4.84,1,2,82.81
465,465,2018-01-01,9,COFFEE TEA,EKOLAND HERBATA OWOCE LE?NE 300GR TOR,9,2.49,-0.4199999999999999,-4.84,1,2,82.81
466,466,2018-01-01,9,COFFEE TEA,HER.GRANULOW.INDYJ 80G CONSUM,6,1.07,-0.4199999999999999,-4.84,1,2,82.81
467,467,2018-01-01,9,COFFEE TEA,HERB MINUTKA 40TOR EXPRES,4,1.39,-0.4199999999999999,-4.84,1,2,82.81
468,468,2018-01-01,9,COFFEE TEA,HERB RUMIANEK 20 EX POSTI,4,1.11,-0.4199999999999999,-4.84,1,2,82.81
469,469,2018-01-01,9,COFFEE TEA,HERB SZA?WIA 20 T VITAX,1,2.43,-0.4199999999999999,-4.84,1,2,82.81
470,470,2018-01-01,9,COFFEE TEA,HERB ZIELONA Z CYTRYNA 20 EX POSTI,5,1.94,-0.4199999999999999,-4.84,1,2,82.81
471,471,2018-01-01,9,COFFEE TEA,HERB.MINUTKA EXP 100SZT,5,2.59,-0.4199999999999999,-4.84,1,2,82.81
472,472,2018-01-01,9,COFFEE TEA,HERB.SAGA EXPR.20SZT,2,1.19,-0.4199999999999999,-4.84,1,2,82.81
473,473,2018-01-01,9,COFFEE TEA,HERBATA EXP.100T.AKBAR,1,10.22,-0.4199999999999999,-4.84,1,2,82.81
474,474,2018-01-01,9,COFFEE TEA,HERBATA LOYD PIRAMIDKA 20 SZT,1,3.53,-0.4199999999999999,-4.84,1,2,82.81
475,475,2018-01-01,9,COFFEE TEA,HERBATA MELISA POSTI 20EX,3,1.21,-0.4199999999999999,-4.84,1,2,82.81
476,476,2018-01-01,9,COFFEE TEA,HERBATA MINUTKA CYTRYNA 40 EX,1,1.39,-0.4199999999999999,-4.84,1,2,82.81
477,477,2018-01-01,9,COFFEE TEA,HERBATA MINUTKA EARL GREY 40 T,1,1.49,-0.4199999999999999,-4.84,1,2,82.81
478,478,2018-01-01,9,COFFEE TEA,HERBATA POKRZYWA 20 T POSTI,2,1.11,-0.4199999999999999,-4.84,1,2,82.81
479,479,2018-01-01,9,COFFEE TEA,HERBATA TETLAY 25 EX,1,1.76,-0.4199999999999999,-4.84,1,2,82.81
480,480,2018-01-01,9,COFFEE TEA,HWEB SAGA SLIWKA EX 25 T,4,3.49,-0.4199999999999999,-4.84,1,2,82.81
481,481,2018-01-01,9,COFFEE TEA,JACOBS KAWA 75 G UZUPELN,1,6.81,-0.4199999999999999,-4.84,1,2,82.81
482,482,2018-01-01,9,COFFEE TEA,JACOBS KRONUNG 100G MIELONA,3,3.49,-0.4199999999999999,-4.84,1,2,82.81
483,483,2018-01-01,9,COFFEE TEA,JACOBS KRONUNG 250G,12,7.9325,-0.4199999999999999,-4.84,1,2,82.81
484,484,2018-01-01,9,COFFEE TEA,KAWA ASTRA 100G MIELONA,6,3.065,-0.4199999999999999,-4.84,1,2,82.81
