,Unnamed: 0,date,ishol/week,group,name,quantity,unit_cogs,monthly_Avgtemp,monthly_avg_FeelsLikeC,monthly_avg_HeatIndexC,monthly_avg_cloudcover,monthly_avg_humidity
892,892,2018-01-01,9,GENERAL,BATERIA 44 R3 MAXELL,21,0.96,-0.4199999999999999,-4.84,1,2,82.81
893,893,2018-01-01,9,GENERAL,BERLISO 180 G +20 G CZEKOL,6,1.21,-0.4199999999999999,-4.84,1,2,82.81
894,894,2018-01-01,9,GENERAL,BERLISO 180 G+20G TRUSKA,17,1.52764705882353,-0.4199999999999999,-4.84,1,2,82.81
895,895,2018-01-01,9,GENERAL,CIASTKA KRAKUSKI DESEROWE Z CUKREM 200G,1,1.96,-0.4199999999999999,-4.84,1,2,82.81
896,896,2018-01-01,9,GENERAL,CZARNUSZKA 50 G,1,2.17,-0.4199999999999999,-4.84,1,2,82.81
897,897,2018-01-01,9,GENERAL,CZEK.ALPEN GOLD 90G TRUS.,1,2.13,-0.4199999999999999,-4.84,1,2,82.81
898,898,2018-01-01,9,GENERAL,DR O KISIEL SLODKA CHWILA 32 G TRUS,1,1.18,-0.4199999999999999,-4.84,1,2,82.81
899,899,2018-01-01,9,GENERAL,DR OETKER KISIEL SLODKS CHWILA 32 G MAL,7,1.18,-0.4199999999999999,-4.84,1,2,82.81
900,900,2018-01-01,9,GENERAL,DROZDZE BABUNI 100G,9,0.64,-0.4199999999999999,-4.84,1,2,82.81
901,901,2018-01-01,9,GENERAL,FASOLA BIALA 400G SLON.OGROD,4,1.18,-0.4199999999999999,-4.84,1,2,82.81
902,902,2018-01-01,9,GENERAL,FASOLA PIEKNY JAS 400 SARITA,4,2.37,-0.4199999999999999,-4.84,1,2,82.81
903,903,2018-01-01,9,GENERAL,FASOLKA ZÓ?TA 400 G MROZONA,1,3.27,-0.4199999999999999,-4.84,1,2,82.81
904,904,2018-01-01,9,GENERAL,GOLARKA VENUS 2 SZT,1,2.04,-0.4199999999999999,-4.84,1,2,82.81
905,905,2018-01-01,9,GENERAL,HALLES LIMON,1,1.39,-0.4199999999999999,-4.84,1,2,82.81
906,906,2018-01-01,9,GENERAL,JOGURT NATURALNY 330 G GRECKI,3,2.77,-0.4199999999999999,-4.84,1,2,82.81
907,907,2018-01-01,9,GENERAL,KAMIS MAJERANEK 9 G,4,1.35,-0.4199999999999999,-4.84,1,2,82.81
908,908,2018-01-01,9,GENERAL,KASZKA MANNA 400 G SARITA,4,0.92,-0.4199999999999999,-4.84,1,2,82.81
909,909,2018-01-01,9,GENERAL,KLEJ SUPER GLU,4,1.12,-0.4199999999999999,-4.84,1,2,82.81
910,910,2018-01-01,9,GENERAL,KNORR FIX RURKI Z KURCZAKIEM,5,1.99,-0.4199999999999999,-4.84,1,2,82.81
911,911,2018-01-01,9,GENERAL,KNORR G.K KREM Z KURY Z GRZANKAMI,6,1.31,-0.4199999999999999,-4.84,1,2,82.81
912,912,2018-01-01,9,GENERAL,KNORR G.K MAKARON BOLONSKI,2,3.52,-0.4199999999999999,-4.84,1,2,82.81
913,913,2018-01-01,9,GENERAL,KNORR G.K. DANIE SER+BROKU? 50 G,1,3.52,-0.4199999999999999,-4.84,1,2,82.81
914,914,2018-01-01,9,GENERAL,KNORR G.K. GULASZOWA Z MAKARONEM,3,1.31,-0.4199999999999999,-4.84,1,2,82.81
915,915,2018-01-01,9,GENERAL,KNORR G.K. PIECZARKOWA,2,0.94,-0.4199999999999999,-4.84,1,2,82.81
916,916,2018-01-01,9,GENERAL,KNORR NUDLE CARBONARA 64 G,2,1.0,-0.4199999999999999,-4.84,1,2,82.81
917,917,2018-01-01,9,GENERAL,KNORR NUDLE PIECZONY KURCZAK  61 G,2,0.99,-0.4199999999999999,-4.84,1,2,82.81
918,918,2018-01-01,9,GENERAL,KRAKUS BARSZCZ CZERW.300 ML KONC,1,2.87,-0.4199999999999999,-4.84,1,2,82.81
919,919,2018-01-01,9,GENERAL,KRAKUS GULASZ ANGIELSKI  155G,2,3.01,-0.4199999999999999,-4.84,1,2,82.81
920,920,2018-01-01,9,GENERAL,KROKIETY Z MIESEM  GRZESKOWIAK,1,4.95,-0.4199999999999999,-4.84,1,2,82.81
921,921,2018-01-01,9,GENERAL,KUBUS WOTER 0_5 L N/G DZIUB.,1,1.39,-0.4199999999999999,-4.84,1,2,82.81
922,922,2018-01-01,9,GENERAL,MAKA JAGLANA 500 G,2,4.96,-0.4199999999999999,-4.84,1,2,82.81
923,923,2018-01-01,9,GENERAL,MIESZANKA KEKS 90 G,1,1.58,-0.4199999999999999,-4.84,1,2,82.81
924,924,2018-01-01,9,GENERAL,MLEKO KOKOSOWE 250 ML BANAN,2,3.4,-0.4199999999999999,-4.84,1,2,82.81
925,925,2018-01-01,9,GENERAL,MLEKO KOKOSOWE 250 ML CZEKOLADA,1,3.4,-0.4199999999999999,-4.84,1,2,82.81
926,926,2018-01-01,9,GENERAL,MLEKO KOKOSOWE 250 ML TRUSKAWKA,3,3.4,-0.4199999999999999,-4.84,1,2,82.81
927,927,2018-01-01,9,GENERAL,MOZZARELLA 125 G MINI,2,3.06,-0.4199999999999999,-4.84,1,2,82.81
928,928,2018-01-01,9,GENERAL,ORZESZKI W SKORUPCE 100G CEBULA,3,1.5,-0.4199999999999999,-4.84,1,2,82.81
929,929,2018-01-01,9,GENERAL,ORZESZKI W SKORUPCE 100G PAPRYKA,6,1.57,-0.4199999999999999,-4.84,1,2,82.81
930,930,2018-01-01,9,GENERAL,PAPRYKARZ KURCZAK DLA JUNIORA 125 G,2,2.13,-0.4199999999999999,-4.84,1,2,82.81
931,931,2018-01-01,9,GENERAL,PAPRYKARZ RYBKA DLA JUNIORA 125 G,2,2.13,-0.4199999999999999,-4.84,1,2,82.81
932,932,2018-01-01,9,GENERAL,PASSATA 680 G LOWICZ,1,3.97,-0.4199999999999999,-4.84,1,2,82.81
933,933,2018-01-01,9,GENERAL,PIZZA KEBAB 420 G,1,6.76,-0.4199999999999999,-4.84,1,2,82.81
934,934,2018-01-01,9,GENERAL,PLATKI FITNESS 225 G FRUITS,2,4.19,-0.4199999999999999,-4.84,1,2,82.81
935,935,2018-01-01,9,GENERAL,PLATKI FITNESS 30% CUKRU 225 G NESTLE,1,4.19,-0.4199999999999999,-4.84,1,2,82.81
936,936,2018-01-01,9,GENERAL,PLATKI RYZOWE 500 G BLYSKAWICZNE,1,4.75,-0.4199999999999999,-4.84,1,2,82.81
