,Unnamed: 0,date,ishol/week,group,name,quantity,unit_cogs,monthly_Avgtemp,monthly_avg_FeelsLikeC,monthly_avg_HeatIndexC,monthly_avg_cloudcover,monthly_avg_humidity
970,970,2018-01-01,9,GENERAL_FOOD,ALMETTE SZPINAK 150 G,6,2.68,-0.4199999999999999,-4.84,1,2,82.81
971,971,2018-01-01,9,GENERAL_FOOD,AMINO BLYSK GULASZOWA 61G,1,0.82,-0.4199999999999999,-4.84,1,2,82.81
972,972,2018-01-01,9,GENERAL_FOOD,AMINO BLYSK. ROSOL Z KURY PIKANTNY,9,0.82,-0.4199999999999999,-4.84,1,2,82.81
973,973,2018-01-01,9,GENERAL_FOOD,AMINO BLYSK.POMIDOROWA,25,0.92,-0.4199999999999999,-4.84,1,2,82.81
974,974,2018-01-01,9,GENERAL_FOOD,AMINO B?YSK_PIECZARKOWA,6,0.82,-0.4199999999999999,-4.84,1,2,82.81
975,975,2018-01-01,9,GENERAL_FOOD,AMINO SOS BOLONSKI 43G,6,1.13,-0.4199999999999999,-4.84,1,2,82.81
976,976,2018-01-01,9,GENERAL_FOOD,AMINO SOS PIECZENIOWY CIEMNY 38GR,11,0.99,-0.4199999999999999,-4.84,1,2,82.81
977,977,2018-01-01,9,GENERAL_FOOD,ANANAS PLASTRY 580 G GIANA,2,3.48,-0.4199999999999999,-4.84,1,2,82.81
978,978,2018-01-01,9,GENERAL_FOOD,BAKOMA TWIST 400 G ZURAWIN,6,2.42,-0.4199999999999999,-4.84,1,2,82.81
979,979,2018-01-01,9,GENERAL_FOOD,BUDYN CZEKOLADOWY DELECTA 64 G,1,0.84,-0.4199999999999999,-4.84,1,2,82.81
980,980,2018-01-01,9,GENERAL_FOOD,BURACZKI WIORKI 360 G SLON.OGRÓD,3,1.48,-0.4199999999999999,-4.84,1,2,82.81
981,981,2018-01-01,9,GENERAL_FOOD,C PYZY CIAZYNSKI,46,3.31,-0.4199999999999999,-4.84,1,2,82.81
982,982,2018-01-01,9,GENERAL_FOOD,CHEETOS MIX 70 G,2,2.29,-0.4199999999999999,-4.84,1,2,82.81
983,983,2018-01-01,9,GENERAL_FOOD,CHLEB RAZOWY 500G BENUS,4,2.78,-0.4199999999999999,-4.84,1,2,82.81
984,984,2018-01-01,9,GENERAL_FOOD,CHLEB ZYTNI 500G BENUS,4,2.78,-0.4199999999999999,-4.84,1,2,82.81
985,985,2018-01-01,9,GENERAL_FOOD,CUKIER 1KG,8,1.69,-0.4199999999999999,-4.84,1,2,82.81
986,986,2018-01-01,9,GENERAL_FOOD,CUKIER BIALY 1KG,16,1.69,-0.4199999999999999,-4.84,1,2,82.81
987,987,2018-01-01,9,GENERAL_FOOD,CUKIER BIALY 1KG,13,1.85,-0.4199999999999999,-4.84,1,2,82.81
988,988,2018-01-01,9,GENERAL_FOOD,CUKIER PUDER 0_4KG JARACZEWO,16,1.39375,-0.4199999999999999,-4.84,1,2,82.81
989,989,2018-01-01,9,GENERAL_FOOD,CYKORIA BUDYN SMIETANKOWY B/C 40 G,13,0.55,-0.4199999999999999,-4.84,1,2,82.81
990,990,2018-01-01,9,GENERAL_FOOD,CYKORIA KALENDRA 20G,1,0.78,-0.4199999999999999,-4.84,1,2,82.81
991,991,2018-01-01,9,GENERAL_FOOD,CYKORIA SNIEZKA 60 G,3,1.09,-0.4199999999999999,-4.84,1,2,82.81
992,992,2018-01-01,9,GENERAL_FOOD,DANIE KACHNY KLOPSIKI 500 G W SOSIE KOPE,1,2.4,-0.4199999999999999,-4.84,1,2,82.81
993,993,2018-01-01,9,GENERAL_FOOD,DESER MONTE 150 G CZEKOL,24,1.915,-0.4199999999999999,-4.84,1,2,82.81
994,994,2018-01-01,9,GENERAL_FOOD,DR O AROMAT RUMOWY,1,1.07,-0.4199999999999999,-4.84,1,2,82.81
995,995,2018-01-01,9,GENERAL_FOOD,DR.OET BUDYN SLODKA CHWILA WANILIA,4,0.98,-0.4199999999999999,-4.84,1,2,82.81
996,996,2018-01-01,9,GENERAL_FOOD,DZEM SL.OGROD WISNIA 280G,5,1.81,-0.4199999999999999,-4.84,1,2,82.81
997,997,2018-01-01,9,GENERAL_FOOD,DZEM WISNIOWY WY/SLODZ 310 G,1,3.28,-0.4199999999999999,-4.84,1,2,82.81
998,998,2018-01-01,9,GENERAL_FOOD,FRYTKI  KARBOWANE  750G,6,5.74,-0.4199999999999999,-4.84,1,2,82.81
999,999,2018-01-01,9,GENERAL_FOOD,GELLWE CUKIER WANILIOWY 15G,10,0.45,-0.4199999999999999,-4.84,1,2,82.81
1000,1000,2018-01-01,9,GENERAL_FOOD,GELLWE GALARETKA AGREST 79G,1,0.94,-0.4199999999999999,-4.84,1,2,82.81
1001,1001,2018-01-01,9,GENERAL_FOOD,GELLWE KISIEL CYTRYNOWY 38G,9,0.55,-0.4199999999999999,-4.84,1,2,82.81
1002,1002,2018-01-01,9,GENERAL_FOOD,GELLWE ZELATYNA 20 G,4,1.39,-0.4199999999999999,-4.84,1,2,82.81
1003,1003,2018-01-01,9,GENERAL_FOOD,GLUGOPIS Z CUKIERKAMI,1,3.76,-0.4199999999999999,-4.84,1,2,82.81
1004,1004,2018-01-01,9,GENERAL_FOOD,GROSZEK KON.SLONECZNY OGROD,6,1.18,-0.4199999999999999,-4.84,1,2,82.81
1005,1005,2018-01-01,9,GENERAL_FOOD,KAKAO DEKOMORENO 80 G,5,2.15,-0.4199999999999999,-4.84,1,2,82.81
1006,1006,2018-01-01,9,GENERAL_FOOD,KAKAO PUCHATEK 150G,1,2.59,-0.4199999999999999,-4.84,1,2,82.81
1007,1007,2018-01-01,9,GENERAL_FOOD,KAKAO PUCHATEK Z WITAM 300G,4,3.25,-0.4199999999999999,-4.84,1,2,82.81
1008,1008,2018-01-01,9,GENERAL_FOOD,KANAPKA  Z KURCZAKIEM,5,2.95,-0.4199999999999999,-4.84,1,2,82.81
1009,1009,2018-01-01,9,GENERAL_FOOD,KAPUSTA  KISZONA LUZ,72.41,2.17110896285044,-0.4199999999999999,-4.84,1,2,82.81
1010,1010,2018-01-01,9,GENERAL_FOOD,KETCHUP KOTLIN LAGODNY 450G,1,2.73,-0.4199999999999999,-4.84,1,2,82.81
1011,1011,2018-01-01,9,GENERAL_FOOD,KIELBASA BIA?A PARZONA KG,2.23,15.0807174887892,-0.4199999999999999,-4.84,1,2,82.81
1012,1012,2018-01-01,9,GENERAL_FOOD,KIELBASA PEPERONI KG,0.17,23.2352941176471,-0.4199999999999999,-4.84,1,2,82.81
1013,1013,2018-01-01,9,GENERAL_FOOD,KIELBASA SLASKA  KG,4.85,14.762886597938099,-0.4199999999999999,-4.84,1,2,82.81
1014,1014,2018-01-01,9,GENERAL_FOOD,KIELBASA ZYWIECKA KG,0.04,19.75,-0.4199999999999999,-4.84,1,2,82.81
1015,1015,2018-01-01,9,GENERAL_FOOD,KINDER MLECZNA KANAPKA,18,1.2,-0.4199999999999999,-4.84,1,2,82.81
1016,1016,2018-01-01,9,GENERAL_FOOD,KLUSKI SLASKIE 400G GRZESKOWIAK,2,3.33,-0.4199999999999999,-4.84,1,2,82.81
