,Unnamed: 0,date,ishol/week,group,name,quantity,unit_cogs,monthly_Avgtemp,monthly_avg_FeelsLikeC,monthly_avg_HeatIndexC,monthly_avg_cloudcover,monthly_avg_humidity
0,0,2018-01-01,9,GENERAL_ITEMS,BELLA HERBS 12 Z WERBENA,1,2.39,-0.4199999999999999,-4.84,1,2,82.81
1,1,2018-01-01,9,GENERAL_ITEMS,BELLA PODPASKI BLUE MAX,2,2.85,-0.4199999999999999,-4.84,1,2,82.81
2,2,2018-01-01,9,GENERAL_ITEMS,BELLA PODPASKI NORMAL 20 B/SKRZYD,2,1.76,-0.4199999999999999,-4.84,1,2,82.81
3,3,2018-01-01,9,GENERAL_ITEMS,BELLA PODPASKI NORMAL MAXI 10,4,2.14,-0.4199999999999999,-4.84,1,2,82.81
4,4,2018-01-01,9,GENERAL_ITEMS,BELLA PODPASKI NOVA MAXI 10,1,2.66,-0.4199999999999999,-4.84,1,2,82.81
5,5,2018-01-01,9,GENERAL_ITEMS,BELLA PODPASKI PERF.BLUE 10,1,2.85,-0.4199999999999999,-4.84,1,2,82.81
6,6,2018-01-01,9,GENERAL_ITEMS,EVA MYDLO W PLYNIE Z DOZ 500 MML,1,3.71,-0.4199999999999999,-4.84,1,2,82.81
7,7,2018-01-01,9,GENERAL_ITEMS,PLYN DO ZATLUSZCZONYCH POWIERZCHNI  750,2,5.49,-0.4199999999999999,-4.84,1,2,82.81
8,8,2018-01-01,9,GENERAL_ITEMS,PLYN KAMIEN I RDZA 750 ML,1,5.49,-0.4199999999999999,-4.84,1,2,82.81
9,9,2018-01-01,9,GENERAL_ITEMS,PODPASKI BELLA  NOVA 10 SZT,1,2.05,-0.4199999999999999,-4.84,1,2,82.81
10,10,2018-01-01,9,GENERAL_ITEMS,BIBULA KOLOR,2,0.75,-0.4199999999999999,-4.84,1,2,82.81
11,11,2018-01-01,9,GENERAL_ITEMS,ZESZYT W LINIE 32 K,1,0.49,-0.4199999999999999,-4.84,1,2,82.81
