,Unnamed: 0,date,ishol/week,group,name,quantity,unit_cogs,monthly_Avgtemp,monthly_avg_FeelsLikeC,monthly_avg_HeatIndexC,monthly_avg_cloudcover,monthly_avg_humidity
1124,1124,2018-01-01,9,GROATS_RICE_PASTA,DANIE KACHNY STROGONOW 500 G,1,4.0,-0.4199999999999999,-4.84,1,2,82.81
1125,1125,2018-01-01,9,GROATS_RICE_PASTA,FASOLA 400 G P.JAS MALVIT,1,4.13,-0.4199999999999999,-4.84,1,2,82.81
1126,1126,2018-01-01,9,GROATS_RICE_PASTA,GROCH POLÓWKI 0_5 KG STEFIK,9,1.43,-0.4199999999999999,-4.84,1,2,82.81
1127,1127,2018-01-01,9,GROATS_RICE_PASTA,GROCH ?Ó?YT CA?Y 400GR CENOS,1,1.04,-0.4199999999999999,-4.84,1,2,82.81
1128,1128,2018-01-01,9,GROATS_RICE_PASTA,KASZA GRYCZANA 4 X 100G SONKO,2,3.33,-0.4199999999999999,-4.84,1,2,82.81
1129,1129,2018-01-01,9,GROATS_RICE_PASTA,KASZA JAGLANA 400 G,1,2.43,-0.4199999999999999,-4.84,1,2,82.81
1130,1130,2018-01-01,9,GROATS_RICE_PASTA,KASZKA MANNA 400 G KROS,7,0.91,-0.4199999999999999,-4.84,1,2,82.81
1131,1131,2018-01-01,9,GROATS_RICE_PASTA,LAURKA,1,3.65,-0.4199999999999999,-4.84,1,2,82.81
1132,1132,2018-01-01,9,GROATS_RICE_PASTA,MAK LUBELLA  ZIARNO SWIDERKI 400G,2,2.02,-0.4199999999999999,-4.84,1,2,82.81
1133,1133,2018-01-01,9,GROATS_RICE_PASTA,MAK LUBELLA KÓLKA MINI 400 G,1,2.36,-0.4199999999999999,-4.84,1,2,82.81
1134,1134,2018-01-01,9,GROATS_RICE_PASTA,MAK SULMA KOLANKO DUZA 500G,1,2.59,-0.4199999999999999,-4.84,1,2,82.81
1135,1135,2018-01-01,9,GROATS_RICE_PASTA,MAK SULMA MUSZELKA 100% DURUM,2,2.3,-0.4199999999999999,-4.84,1,2,82.81
1136,1136,2018-01-01,9,GROATS_RICE_PASTA,MAK SULMA NITKA ROSOLOWA 400G,5,2.13,-0.4199999999999999,-4.84,1,2,82.81
1137,1137,2018-01-01,9,GROATS_RICE_PASTA,MAK SULMA SWIDEREK DUZY 500G,10,2.35,-0.4199999999999999,-4.84,1,2,82.81
1138,1138,2018-01-01,9,GROATS_RICE_PASTA,MAK ZLOTY LAN KOLANKO DUZE 500 G,9,0.92,-0.4199999999999999,-4.84,1,2,82.81
