,Unnamed: 0,date,ishol/week,group,name,quantity,unit_cogs,monthly_Avgtemp,monthly_avg_FeelsLikeC,monthly_avg_HeatIndexC,monthly_avg_cloudcover,monthly_avg_humidity
1180,1180,2018-01-01,9,ICE_CREAMS_FROZEN,BARSZCZ UKRAINSKI 450G NORDIS,1,1.97,-0.4199999999999999,-4.84,1,2,82.81
1181,1181,2018-01-01,9,ICE_CREAMS_FROZEN,BROKUL MROZONY 450 G,2,3.49,-0.4199999999999999,-4.84,1,2,82.81
1182,1182,2018-01-01,9,ICE_CREAMS_FROZEN,BROKULY MROZONE 450 GR MORDIS,3,4.58,-0.4199999999999999,-4.84,1,2,82.81
1183,1183,2018-01-01,9,ICE_CREAMS_FROZEN,BRUKSELKA 450 G,2,3.67,-0.4199999999999999,-4.84,1,2,82.81
1184,1184,2018-01-01,9,ICE_CREAMS_FROZEN,BUKIET KROLEWSKI 450G NORDIS,6,1.99,-0.4199999999999999,-4.84,1,2,82.81
1185,1185,2018-01-01,9,ICE_CREAMS_FROZEN,BURGERY Z WARZYWAMI LUZ RYBNE,1.15,5.73913043478261,-0.4199999999999999,-4.84,1,2,82.81
1186,1186,2018-01-01,9,ICE_CREAMS_FROZEN,FILET Z MIRUNY,2.33,16.3175965665236,-0.4199999999999999,-4.84,1,2,82.81
1187,1187,2018-01-01,9,ICE_CREAMS_FROZEN,FRYTKI KARBOWA 450 G,3,3.18,-0.4199999999999999,-4.84,1,2,82.81
1188,1188,2018-01-01,9,ICE_CREAMS_FROZEN,FRYTKI KARBOWANE  NORDIS 750G,2,3.27,-0.4199999999999999,-4.84,1,2,82.81
1189,1189,2018-01-01,9,ICE_CREAMS_FROZEN,FRYTKI ORGINA? 750 G IGLOT,6,5.22,-0.4199999999999999,-4.84,1,2,82.81
1190,1190,2018-01-01,9,ICE_CREAMS_FROZEN,JOGURT ZOTT 125 G SERDUSZKO,2,0.92,-0.4199999999999999,-4.84,1,2,82.81
1191,1191,2018-01-01,9,ICE_CREAMS_FROZEN,KALAFIOR MROZONY NORDIS,3,3.64,-0.4199999999999999,-4.84,1,2,82.81
1192,1192,2018-01-01,9,ICE_CREAMS_FROZEN,KNEDLE TRUSKAWKOWE 450 G,1,4.53,-0.4199999999999999,-4.84,1,2,82.81
1193,1193,2018-01-01,9,ICE_CREAMS_FROZEN,KOPYTKA 450 G,2,3.75,-0.4199999999999999,-4.84,1,2,82.81
1194,1194,2018-01-01,9,ICE_CREAMS_FROZEN,LODT CZEKOLADA 900 ML ALGIDA,1,6.52,-0.4199999999999999,-4.84,1,2,82.81
1195,1195,2018-01-01,9,ICE_CREAMS_FROZEN,LODY  /,1,1.07,-0.4199999999999999,-4.84,1,2,82.81
1196,1196,2018-01-01,9,ICE_CREAMS_FROZEN,LODY BAKALIOWE 1 L ALGIDA,1,6.38,-0.4199999999999999,-4.84,1,2,82.81
1197,1197,2018-01-01,9,ICE_CREAMS_FROZEN,LODY BASALA KUBEK 150 ML,2,2.41,-0.4199999999999999,-4.84,1,2,82.81
1198,1198,2018-01-01,9,ICE_CREAMS_FROZEN,LODY BIG MILK FRUIT 100G,1,1.44,-0.4199999999999999,-4.84,1,2,82.81
1199,1199,2018-01-01,9,ICE_CREAMS_FROZEN,LODY COFFE LATTE 200 ML,4,2.31,-0.4199999999999999,-4.84,1,2,82.81
1200,1200,2018-01-01,9,ICE_CREAMS_FROZEN,LODY GRAND GOLD,1,2.48,-0.4199999999999999,-4.84,1,2,82.81
1201,1201,2018-01-01,9,ICE_CREAMS_FROZEN,LODY ICE FRESH 200 ML,3,2.41,-0.4199999999999999,-4.84,1,2,82.81
1202,1202,2018-01-01,9,ICE_CREAMS_FROZEN,LODY JAK DAWNIEJ 180 ML,1,2.51,-0.4199999999999999,-4.84,1,2,82.81
1203,1203,2018-01-01,9,ICE_CREAMS_FROZEN,LODY KAKTUS 45ML,5,1.12,-0.4199999999999999,-4.84,1,2,82.81
1204,1204,2018-01-01,9,ICE_CREAMS_FROZEN,LODY KOKTAJLOWE KUKULKA,33,2.06,-0.4199999999999999,-4.84,1,2,82.81
1205,1205,2018-01-01,9,ICE_CREAMS_FROZEN,LODY KOLORKI MAX,1,1.0,-0.4199999999999999,-4.84,1,2,82.81
1206,1206,2018-01-01,9,ICE_CREAMS_FROZEN,LODY LULEK BARWIACY,1,0.49,-0.4199999999999999,-4.84,1,2,82.81
1207,1207,2018-01-01,9,ICE_CREAMS_FROZEN,LODY MAGNUM CLASSIC,2,3.65,-0.4199999999999999,-4.84,1,2,82.81
1208,1208,2018-01-01,9,ICE_CREAMS_FROZEN,LODY MLYNARCZYK 900 ML,1,6.5,-0.4199999999999999,-4.84,1,2,82.81
1209,1209,2018-01-01,9,ICE_CREAMS_FROZEN,LODY NOGGER TOFI KARMEL 90 ML,2,2.05,-0.4199999999999999,-4.84,1,2,82.81
1210,1210,2018-01-01,9,ICE_CREAMS_FROZEN,LODY PINGWIN W CZEKOL.,2,0.75,-0.4199999999999999,-4.84,1,2,82.81
1211,1211,2018-01-01,9,ICE_CREAMS_FROZEN,LODY RAKIETA,2,0.56,-0.4199999999999999,-4.84,1,2,82.81
1212,1212,2018-01-01,9,ICE_CREAMS_FROZEN,LODY ROZEK JAGODA,4,1.09,-0.4199999999999999,-4.84,1,2,82.81
1213,1213,2018-01-01,9,ICE_CREAMS_FROZEN,LODY ROZEK JAK DAWNIEJ 180 ML,2,2.87,-0.4199999999999999,-4.84,1,2,82.81
1214,1214,2018-01-01,9,ICE_CREAMS_FROZEN,LODY ROZEK MALINA,1,1.15,-0.4199999999999999,-4.84,1,2,82.81
1215,1215,2018-01-01,9,ICE_CREAMS_FROZEN,LODY TOP MILK,3,0.69,-0.4199999999999999,-4.84,1,2,82.81
