,Unnamed: 0,date,ishol/week,group,name,quantity,unit_cogs,monthly_Avgtemp,monthly_avg_FeelsLikeC,monthly_avg_HeatIndexC,monthly_avg_cloudcover,monthly_avg_humidity
1363,1363,2018-01-01,9,OCCASIONAL,BATERIA AA WARTA R6 1 SZT,4,0.96,-0.4199999999999999,-4.84,1,2,82.81
1364,1364,2018-01-01,9,OCCASIONAL,BATERIA VARTA LR3 LONGLIFE 1 SZT,6,0.93,-0.4199999999999999,-4.84,1,2,82.81
1365,1365,2018-01-01,9,OCCASIONAL,BATERIE ALKAICZ  LR 3,4,0.93,-0.4199999999999999,-4.84,1,2,82.81
1366,1366,2018-01-01,9,OCCASIONAL,BATERIE ALKAICZ R6,31,0.93,-0.4199999999999999,-4.84,1,2,82.81
1367,1367,2018-01-01,9,OCCASIONAL,BLOK TECHNICZNY A4,1,0.84,-0.4199999999999999,-4.84,1,2,82.81
1368,1368,2018-01-01,9,OCCASIONAL,CHUSTECZKA HIGIENICZNA,119,0.18,-0.4199999999999999,-4.84,1,2,82.81
1369,1369,2018-01-01,9,OCCASIONAL,DLUGOPIS NIEBIESKI,1,0.52,-0.4199999999999999,-4.84,1,2,82.81
1370,1370,2018-01-01,9,OCCASIONAL,GUMKA DO MAZANIA,1,0.98,-0.4199999999999999,-4.84,1,2,82.81
1371,1371,2018-01-01,9,OCCASIONAL,JOGURT FINEZJA 4*115 G,5,3.71,-0.4199999999999999,-4.84,1,2,82.81
1372,1372,2018-01-01,9,OCCASIONAL,KLEJ BIUROWY,1,0.64,-0.4199999999999999,-4.84,1,2,82.81
1373,1373,2018-01-01,9,OCCASIONAL,KOMPOT Z AGRESTU 820 G,1,5.81,-0.4199999999999999,-4.84,1,2,82.81
1374,1374,2018-01-01,9,OCCASIONAL,KOMPOT Z WISNI 860 G,1,4.09,-0.4199999999999999,-4.84,1,2,82.81
1375,1375,2018-01-01,9,OCCASIONAL,KREDKI SWIECOWE 12 SZT,1,1.15,-0.4199999999999999,-4.84,1,2,82.81
1376,1376,2018-01-01,9,OCCASIONAL,LAURKA OKOLICZNOSCIOWA,1,0.9,-0.4199999999999999,-4.84,1,2,82.81
1377,1377,2018-01-01,9,OCCASIONAL,MAZAKI 6 SZT,1,0.99,-0.4199999999999999,-4.84,1,2,82.81
1378,1378,2018-01-01,9,OCCASIONAL,ORANZADKA W PROSZKU,12,0.24,-0.4199999999999999,-4.84,1,2,82.81
1379,1379,2018-01-01,9,OCCASIONAL,REKLAMOWKA  JEDNORAZOWA,315,0.052000000000000005,-0.4199999999999999,-4.84,1,2,82.81
1380,1380,2018-01-01,9,OCCASIONAL,TABLETKI ETOPIRYNA 6 SZT,2,1.62,-0.4199999999999999,-4.84,1,2,82.81
1381,1381,2018-01-01,9,OCCASIONAL,TORBA NA PREZENT,1,1.8,-0.4199999999999999,-4.84,1,2,82.81
1382,1382,2018-01-01,9,OCCASIONAL,TORBA SREDNIA,2,1.54,-0.4199999999999999,-4.84,1,2,82.81
1383,1383,2018-01-01,9,OCCASIONAL,ZAPALNICZKA ZAROWA,8,1.8,-0.4199999999999999,-4.84,1,2,82.81
1384,1384,2018-01-01,9,OCCASIONAL,ZAROWKA 60 W,2,1.16,-0.4199999999999999,-4.84,1,2,82.81
3118,3118,2018-01-02,8,OCCASIONAL,BATERIE ALKAICZ  LR 3,8,0.93,-3.29,-7.61,0,2,76.04
3119,3119,2018-01-02,8,OCCASIONAL,BOMB.MILKA I LOVE 137_5GR,2,13.06,-3.29,-7.61,0,2,76.04
3120,3120,2018-01-02,8,OCCASIONAL,CHUSTECZKA HIGIENICZNA,106,0.18,-3.29,-7.61,0,2,76.04
3121,3121,2018-01-02,8,OCCASIONAL,DLUGOPIS NIEBIESKI,1,0.52,-3.29,-7.61,0,2,76.04
3122,3122,2018-01-02,8,OCCASIONAL,GOLARKA POLSILWER,1,1.11,-3.29,-7.61,0,2,76.04
3123,3123,2018-01-02,8,OCCASIONAL,KARTKA WALENTYNKA POCZTOWKA,8,0.23,-3.29,-7.61,0,2,76.04
3124,3124,2018-01-02,8,OCCASIONAL,KLEJ MAGICZNY TUBA,1,2.09,-3.29,-7.61,0,2,76.04
3125,3125,2018-01-02,8,OCCASIONAL,KOMPOT Z AGRESTU 820 G,2,5.81,-3.29,-7.61,0,2,76.04
3126,3126,2018-01-02,8,OCCASIONAL,KOMPOT Z WISNI 860 G,9,4.09,-3.29,-7.61,0,2,76.04
3127,3127,2018-01-02,8,OCCASIONAL,LAURKA OKOLICZNOSCIOWA,1,0.9,-3.29,-7.61,0,2,76.04
3128,3128,2018-01-02,8,OCCASIONAL,MAZAKI 6 SZT,1,0.99,-3.29,-7.61,0,2,76.04
3129,3129,2018-01-02,8,OCCASIONAL,ORANZADKA W PROSZKU,8,0.24,-3.29,-7.61,0,2,76.04
3130,3130,2018-01-02,8,OCCASIONAL,REKLAMOWKA  JEDNORAZOWA,262,0.06,-3.29,-7.61,0,2,76.04
3131,3131,2018-01-02,8,OCCASIONAL,TABLETKI ETOPIRYNA 6 SZT,1,1.62,-3.29,-7.61,0,2,76.04
3132,3132,2018-01-02,8,OCCASIONAL,TORBA SREDNIA,2,1.54,-3.29,-7.61,0,2,76.04
3133,3133,2018-01-02,8,OCCASIONAL,ZAPALNICZKA ZAROWA,5,1.8,-3.29,-7.61,0,2,76.04
3134,3134,2018-01-02,8,OCCASIONAL,ZAROWKA 60 W,1,1.16,-3.29,-7.61,0,2,76.04
4982,4982,2018-01-03,9,OCCASIONAL,BATERIA AA WARTA R6 1 SZT,11,0.96,0.16500000000000006,-4.03,1,2,73.23
