,Unnamed: 0,date,ishol/week,group,name,quantity,unit_cogs,monthly_Avgtemp,monthly_avg_FeelsLikeC,monthly_avg_HeatIndexC,monthly_avg_cloudcover,monthly_avg_humidity
110,110,2018-01-01,9,POULTRY,BRZOSKWINIE SANDRA 820G,9,3.77,-0.4199999999999999,-4.84,1,2,82.81
111,111,2018-01-01,9,POULTRY,FASOLA CZERWONA.DAWTONA 400G,5,1.63,-0.4199999999999999,-4.84,1,2,82.81
112,112,2018-01-01,9,POULTRY,GROSZEK BONDUELLE 400G.,2,1.7,-0.4199999999999999,-4.84,1,2,82.81
113,113,2018-01-01,9,POULTRY,KAMIS PRZYPRAWA DO RYB 20 G,1,1.82,-0.4199999999999999,-4.84,1,2,82.81
114,114,2018-01-01,9,POULTRY,KONSERWA TURYSTYCZNA 300 G LAUR,1,1.85,-0.4199999999999999,-4.84,1,2,82.81
115,115,2018-01-01,9,POULTRY,KONSERWA TYROLSKA 300 G LAUR,1,1.85,-0.4199999999999999,-4.84,1,2,82.81
116,116,2018-01-01,9,POULTRY,KOPYTKA 400GR TACKA GRZESKOWIAK,5,3.43,-0.4199999999999999,-4.84,1,2,82.81
117,117,2018-01-01,9,POULTRY,KROKIETY Z KAPUS/GRZYB.400GR GRZESKOWIAK,5,4.1,-0.4199999999999999,-4.84,1,2,82.81
118,118,2018-01-01,9,POULTRY,LOWICZ DZEM CZAR.PORZECZKA N/S?,7,2.78,-0.4199999999999999,-4.84,1,2,82.81
119,119,2018-01-01,9,POULTRY,LOWICZ DZEM TRUSKAWKOWY N/S?,1,2.78,-0.4199999999999999,-4.84,1,2,82.81
120,120,2018-01-01,9,POULTRY,LOWICZ DZEM WISNIA N/S?.,2,2.78,-0.4199999999999999,-4.84,1,2,82.81
121,121,2018-01-01,9,POULTRY,MAKA POZNA?SKA BASIA 1KG,3,2.43,-0.4199999999999999,-4.84,1,2,82.81
122,122,2018-01-01,9,POULTRY,OGOREK KISZONE LUZ,7.43,3.99730820995962,-0.4199999999999999,-4.84,1,2,82.81
