,Unnamed: 0,date,ishol/week,group,name,quantity,unit_cogs,monthly_Avgtemp,monthly_avg_FeelsLikeC,monthly_avg_HeatIndexC,monthly_avg_cloudcover,monthly_avg_humidity
1428,1428,2018-01-01,9,SPICES,APEPETITA GYROS 30 G,2,1.0,-0.4199999999999999,-4.84,1,2,82.81
1429,1429,2018-01-01,9,SPICES,APETTITA CYNAMON 20 G,2,0.79,-0.4199999999999999,-4.84,1,2,82.81
1430,1430,2018-01-01,9,SPICES,APPETITA GALKA MUSZKATOLOWA,1,0.99,-0.4199999999999999,-4.84,1,2,82.81
1431,1431,2018-01-01,9,SPICES,APPETITA IMBIR MIELONY,1,0.99,-0.4199999999999999,-4.84,1,2,82.81
1432,1432,2018-01-01,9,SPICES,APPETITA PRZYPRAWA DO GULASZU 20 G,1,0.97,-0.4199999999999999,-4.84,1,2,82.81
1433,1433,2018-01-01,9,SPICES,BAZYLIA PRYMAT,3,0.96,-0.4199999999999999,-4.84,1,2,82.81
1434,1434,2018-01-01,9,SPICES,CUKIER WANILIOWY 32 G CYKORIA,4,0.49,-0.4199999999999999,-4.84,1,2,82.81
1435,1435,2018-01-01,9,SPICES,CYKORIA KURKUMA 15 G,2,0.52,-0.4199999999999999,-4.84,1,2,82.81
1436,1436,2018-01-01,9,SPICES,CZUBRYCA ZIELONA 60 G,1,1.31,-0.4199999999999999,-4.84,1,2,82.81
1437,1437,2018-01-01,9,SPICES,DR O AROMAT WANILIA 9ML,1,1.07,-0.4199999999999999,-4.84,1,2,82.81
1438,1438,2018-01-01,9,SPICES,DR O CUKIER WANILIOWY  16G,20,0.52,-0.4199999999999999,-4.84,1,2,82.81
1439,1439,2018-01-01,9,SPICES,DR O PROSZEK DO PIECZENIA  30G,11,0.37,-0.4199999999999999,-4.84,1,2,82.81
1440,1440,2018-01-01,9,SPICES,FASOLA  PIEKNY JAS 400G KROS,1,3.71,-0.4199999999999999,-4.84,1,2,82.81
1441,1441,2018-01-01,9,SPICES,FASOLA BIALA  500 G,4,4.93,-0.4199999999999999,-4.84,1,2,82.81
1442,1442,2018-01-01,9,SPICES,GALEO CZOSNEK GRANULOWANY 16 G,7,0.83,-0.4199999999999999,-4.84,1,2,82.81
1443,1443,2018-01-01,9,SPICES,GALEO KMINEK 12 G,1,0.89,-0.4199999999999999,-4.84,1,2,82.81
1444,1444,2018-01-01,9,SPICES,GALEO LISC LAUROWY 5 G,13,0.7,-0.4199999999999999,-4.84,1,2,82.81
1445,1445,2018-01-01,9,SPICES,GALEO MAJERANEK 6 G,7,0.7,-0.4199999999999999,-4.84,1,2,82.81
1446,1446,2018-01-01,9,SPICES,GALEO PAPRYKA OSTRA 20G,1,0.64,-0.4199999999999999,-4.84,1,2,82.81
1447,1447,2018-01-01,9,SPICES,GALEO PAPRYKA SLODKA 16 G,3,0.77,-0.4199999999999999,-4.84,1,2,82.81
1448,1448,2018-01-01,9,SPICES,GALEO PIEPRZ CZARNY MIELONY,7,0.7,-0.4199999999999999,-4.84,1,2,82.81
1449,1449,2018-01-01,9,SPICES,GALEO PIEPRZ ZIOLOWY 12 G,4,0.9,-0.4199999999999999,-4.84,1,2,82.81
1450,1450,2018-01-01,9,SPICES,GALEO PRZYP.DO KURCZAKA 25G,3,0.8,-0.4199999999999999,-4.84,1,2,82.81
1451,1451,2018-01-01,9,SPICES,GALEO PRZYPRAWA DO FLAKOW 20G,1,0.89,-0.4199999999999999,-4.84,1,2,82.81
1452,1452,2018-01-01,9,SPICES,GALEO PRZYPRAWA DO RYB CYTRYNA,2,0.88,-0.4199999999999999,-4.84,1,2,82.81
1453,1453,2018-01-01,9,SPICES,GALEO PRZYPRAWA DO ZIEMNIAKOW,5,0.88,-0.4199999999999999,-4.84,1,2,82.81
1454,1454,2018-01-01,9,SPICES,GALEO SODA OCZYSZCZONA 24 GG,2,0.49,-0.4199999999999999,-4.84,1,2,82.81
1455,1455,2018-01-01,9,SPICES,GALEO ZIELE ANGIELSKIE 12G,9,0.79,-0.4199999999999999,-4.84,1,2,82.81
1456,1456,2018-01-01,9,SPICES,GALEO ZIOLA PROWANSALSKIE 10GR,4,0.7,-0.4199999999999999,-4.84,1,2,82.81
1457,1457,2018-01-01,9,SPICES,GELLWE SODA OCZYSZCZONA 80G,1,0.45,-0.4199999999999999,-4.84,1,2,82.81
1458,1458,2018-01-01,9,SPICES,KAMIS JA?OWIEC 15G,1,1.44,-0.4199999999999999,-4.84,1,2,82.81
1459,1459,2018-01-01,9,SPICES,KAMIS KOWBOJSKI INDTK 20 G,2,0.87,-0.4199999999999999,-4.84,1,2,82.81
