,Unnamed: 0,date,ishol/week,group,name,quantity,unit_cogs,monthly_Avgtemp,monthly_avg_FeelsLikeC,monthly_avg_HeatIndexC,monthly_avg_cloudcover,monthly_avg_humidity
1495,1495,2018-01-01,9,SWEETS,AMELIA PIANKA 380 G SMIET.CZEK,2,4.18,-0.4199999999999999,-4.84,1,2,82.81
1496,1496,2018-01-01,9,SWEETS,ANDRUTY   FURMANIAK,97,0.699381443298969,-0.4199999999999999,-4.84,1,2,82.81
1497,1497,2018-01-01,9,SWEETS,ANIMALS MODEL,1,5.68,-0.4199999999999999,-4.84,1,2,82.81
1498,1498,2018-01-01,9,SWEETS,BATON 7DAYS KAKAO W POLEWIE,3,0.55,-0.4199999999999999,-4.84,1,2,82.81
1499,1499,2018-01-01,9,SWEETS,BATON BOUNTY 57G,12,1.49,-0.4199999999999999,-4.84,1,2,82.81
1500,1500,2018-01-01,9,SWEETS,BATON IKAR XXL WAWEL,18,1.09,-0.4199999999999999,-4.84,1,2,82.81
1501,1501,2018-01-01,9,SWEETS,BATON KINDER BUENO 43G,27,1.81,-0.4199999999999999,-4.84,1,2,82.81
1502,1502,2018-01-01,9,SWEETS,BATON KNOPERS 25G,9,0.84,-0.4199999999999999,-4.84,1,2,82.81
1503,1503,2018-01-01,9,SWEETS,BATON LION 40 G PEANUT,3,0.86,-0.4199999999999999,-4.84,1,2,82.81
1504,1504,2018-01-01,9,SWEETS,BATON MACIEK XXL WAWEL  ADWOKAT,10,1.09,-0.4199999999999999,-4.84,1,2,82.81
1505,1505,2018-01-01,9,SWEETS,BATON MARS 51 G,12,1.04,-0.4199999999999999,-4.84,1,2,82.81
1506,1506,2018-01-01,9,SWEETS,BATON MILKI WAY PODWÓJNY,15,1.2,-0.4199999999999999,-4.84,1,2,82.81
1507,1507,2018-01-01,9,SWEETS,BATON MILKY WAY 21 5,22,0.6,-0.4199999999999999,-4.84,1,2,82.81
1508,1508,2018-01-01,9,SWEETS,BATON NESQUIK DELIC 25 G,6,0.92,-0.4199999999999999,-4.84,1,2,82.81
1509,1509,2018-01-01,9,SWEETS,BATON PIEROT WEDEL 45GR,3,1.12,-0.4199999999999999,-4.84,1,2,82.81
1510,1510,2018-01-01,9,SWEETS,BATON SNICKERS 50 G,11,1.04,-0.4199999999999999,-4.84,1,2,82.81
1511,1511,2018-01-01,9,SWEETS,BATON TWIX 56 G,9,0.96,-0.4199999999999999,-4.84,1,2,82.81
1512,1512,2018-01-01,9,SWEETS,BATONIK MUU 29 G,2,0.52,-0.4199999999999999,-4.84,1,2,82.81
1513,1513,2018-01-01,9,SWEETS,BATONIK POWER 30 G,1,0.66,-0.4199999999999999,-4.84,1,2,82.81
1514,1514,2018-01-01,9,SWEETS,BISZKOPTY WROCLAWSKIE 120G,3,1.68,-0.4199999999999999,-4.84,1,2,82.81
1515,1515,2018-01-01,9,SWEETS,BOMB MERCI 250G,2,9.85,-0.4199999999999999,-4.84,1,2,82.81
1516,1516,2018-01-01,9,SWEETS,BOMB MERCI GREEN 250 G,1,9.85,-0.4199999999999999,-4.84,1,2,82.81
1517,1517,2018-01-01,9,SWEETS,BOMB MON CHERI 157_5 G,1,9.85,-0.4199999999999999,-4.84,1,2,82.81
1518,1518,2018-01-01,9,SWEETS,BOMB TOFFIFEE 250 G,1,10.87,-0.4199999999999999,-4.84,1,2,82.81
1519,1519,2018-01-01,9,SWEETS,BOMB.FIORELLA 140G,4,3.78,-0.4199999999999999,-4.84,1,2,82.81
1520,1520,2018-01-01,9,SWEETS,BOMBONIERA GALARE.W CZEKOL WISNIA 190 G,2,4.18,-0.4199999999999999,-4.84,1,2,82.81
1521,1521,2018-01-01,9,SWEETS,BOMBONIERA GALARETKA W CZEK 190 G,1,3.05,-0.4199999999999999,-4.84,1,2,82.81
1522,1522,2018-01-01,9,SWEETS,BOMBONIERA IMPRESJA 207 G BARON,6,7.95,-0.4199999999999999,-4.84,1,2,82.81
1523,1523,2018-01-01,9,SWEETS,BOMBONIERA POMORZANKA 175 G CHOCO,2,4.85,-0.4199999999999999,-4.84,1,2,82.81
1524,1524,2018-01-01,9,SWEETS,BORSETO 7 DAYS Z OWOC.LESNYCH 80 G,1,1.21,-0.4199999999999999,-4.84,1,2,82.81
1525,1525,2018-01-01,9,SWEETS,BUBLE GUM ROLL,3,1.97,-0.4199999999999999,-4.84,1,2,82.81
1526,1526,2018-01-01,9,SWEETS,CHRUPKI KUKUR. CELKA 70GR OPAK 25 SZT,89,0.75,-0.4199999999999999,-4.84,1,2,82.81
1527,1527,2018-01-01,9,SWEETS,CHRUPKI KUKURYDZIANE OWOCOWE 80 G,2,1.78,-0.4199999999999999,-4.84,1,2,82.81
1528,1528,2018-01-01,9,SWEETS,CHRUPKI STAR ORZECH  58 G,11,1.11,-0.4199999999999999,-4.84,1,2,82.81
1529,1529,2018-01-01,9,SWEETS,CHRUSCIKI/CIASTA ROZNE KG,16.39,21.729713239780306,-0.4199999999999999,-4.84,1,2,82.81
1530,1530,2018-01-01,9,SWEETS,CIASTKA BEZY LUZ,0.91,13.9450549450549,-0.4199999999999999,-4.84,1,2,82.81
1531,1531,2018-01-01,9,SWEETS,CIASTKA DESIMO MORELA 135 G,4,1.31,-0.4199999999999999,-4.84,1,2,82.81
1532,1532,2018-01-01,9,SWEETS,CIASTKA DESSIMO WISNIOWE 135 G,5,1.28,-0.4199999999999999,-4.84,1,2,82.81
1533,1533,2018-01-01,9,SWEETS,CIASTKA KRAKUSKI FLORIANKI 171G,8,2.87375,-0.4199999999999999,-4.84,1,2,82.81
