,Unnamed: 0,date,ishol/week,group,name,quantity,unit_cogs,monthly_Avgtemp,monthly_avg_FeelsLikeC,monthly_avg_HeatIndexC,monthly_avg_cloudcover,monthly_avg_humidity
1661,1661,2018-01-01,9,TABLETS,ASPIRYN ULTRA 2 SZT,4,1.83,-0.4199999999999999,-4.84,1,2,82.81
1662,1662,2018-01-01,9,TABLETS,PLASTER POLSKI LEK DO CIECIA 6 CM,1,3.8,-0.4199999999999999,-4.84,1,2,82.81
1663,1663,2018-01-01,9,TABLETS,TABLETKI  APAP SASZETKA 2 TAB,2,1.23,-0.4199999999999999,-4.84,1,2,82.81
1664,1664,2018-01-01,9,TABLETS,TABLETKI APAP 6SZT,2,2.78,-0.4199999999999999,-4.84,1,2,82.81
1665,1665,2018-01-01,9,TABLETS,TABLETKI CHOLINEX 8,2,5.87,-0.4199999999999999,-4.84,1,2,82.81
1666,1666,2018-01-01,9,TABLETS,TABLETKI GRIPEX CNTROL 12,1,6.88,-0.4199999999999999,-4.84,1,2,82.81
1667,1667,2018-01-01,9,TABLETS,TABLETKI IBUM 7 SZT,4,4.09,-0.4199999999999999,-4.84,1,2,82.81
1668,1668,2018-01-01,9,TABLETS,TABLETKI IBUPROM 10 TAB.SPRINT,5,7.85,-0.4199999999999999,-4.84,1,2,82.81
1669,1669,2018-01-01,9,TABLETS,TABLETKI IBUPROM 10SZT,10,4.75,-0.4199999999999999,-4.84,1,2,82.81
1670,1670,2018-01-01,9,TABLETS,TABLETKI IBUPROM SASZETKA 2 SZT,3,1.39,-0.4199999999999999,-4.84,1,2,82.81
1671,1671,2018-01-01,9,TABLETS,TABLETKI NUROFEN 10SZTULTRA,2,3.97,-0.4199999999999999,-4.84,1,2,82.81
1672,1672,2018-01-01,9,TABLETS,TABLETKI NUROFEN EXPRESS 10 SZT,1,6.25,-0.4199999999999999,-4.84,1,2,82.81
1673,1673,2018-01-01,9,TABLETS,TABLETKI POLOPIRYNA S/10/,1,3.06,-0.4199999999999999,-4.84,1,2,82.81
1674,1674,2018-01-01,9,TABLETS,TABLETKI SCORBOLAMID GARD?O 8 SZT,3,4.1,-0.4199999999999999,-4.84,1,2,82.81
1675,1675,2018-01-01,9,TABLETS,TABLETKI WEGIEL 30 SZT,1,5.77,-0.4199999999999999,-4.84,1,2,82.81
1676,1676,2018-01-01,9,TABLETS,WODA UTLENIONA 100GR,1,0.99,-0.4199999999999999,-4.84,1,2,82.81
1677,1677,2018-01-01,9,TABLETS,ZOOT SEREK HOMOG.140 G,10,0.88,-0.4199999999999999,-4.84,1,2,82.81
3398,3398,2018-01-02,8,TABLETS,ASPIRYN ULTRA 2 SZT,4,1.83,-3.29,-7.61,0,2,76.04
3399,3399,2018-01-02,8,TABLETS,PLASTER POLSKI LEK DO CIECIA 6 CM,1,3.8,-3.29,-7.61,0,2,76.04
3400,3400,2018-01-02,8,TABLETS,TABLETKI  APAP SASZETKA 2 TAB,3,1.23,-3.29,-7.61,0,2,76.04
3401,3401,2018-01-02,8,TABLETS,TABLETKI APAP 6SZT,5,2.78,-3.29,-7.61,0,2,76.04
3402,3402,2018-01-02,8,TABLETS,TABLETKI APAP EXTRA 10SZT,1,6.0,-3.29,-7.61,0,2,76.04
3403,3403,2018-01-02,8,TABLETS,TABLETKI CHOLINEX 8,1,5.87,-3.29,-7.61,0,2,76.04
3404,3404,2018-01-02,8,TABLETS,TABLETKI GRIPEX CNTROL 12,3,6.88,-3.29,-7.61,0,2,76.04
3405,3405,2018-01-02,8,TABLETS,TABLETKI IBUM 7 SZT,1,4.09,-3.29,-7.61,0,2,76.04
3406,3406,2018-01-02,8,TABLETS,TABLETKI IBUPROM 10 TAB.SPRINT,9,7.85,-3.29,-7.61,0,2,76.04
3407,3407,2018-01-02,8,TABLETS,TABLETKI IBUPROM 10SZT,8,4.75,-3.29,-7.61,0,2,76.04
3408,3408,2018-01-02,8,TABLETS,TABLETKI IBUPROM SASZETKA 2 SZT,3,1.52,-3.29,-7.61,0,2,76.04
3409,3409,2018-01-02,8,TABLETS,TABLETKI NUROFEN 10SZTULTRA,2,3.97,-3.29,-7.61,0,2,76.04
3410,3410,2018-01-02,8,TABLETS,TABLETKI NUROFEN EXPRESS 10 SZT,1,6.25,-3.29,-7.61,0,2,76.04
3411,3411,2018-01-02,8,TABLETS,TABLETKI POLOPIRYNA S/10/,4,3.16,-3.29,-7.61,0,2,76.04
3412,3412,2018-01-02,8,TABLETS,TABLETKI SCORBOLAMID GARD?O 8 SZT,3,4.1,-3.29,-7.61,0,2,76.04
3413,3413,2018-01-02,8,TABLETS,TABLETKI WITAMIN C,2,2.13,-3.29,-7.61,0,2,76.04
3414,3414,2018-01-02,8,TABLETS,VITAFIZZ MAGNEZ,2,3.05,-3.29,-7.61,0,2,76.04
3415,3415,2018-01-02,8,TABLETS,WODA UTLENIONA 100GR,2,0.99,-3.29,-7.61,0,2,76.04
5310,5310,2018-01-03,9,TABLETS,ASPIRYN ULTRA 2 SZT,5,1.83,0.16500000000000006,-4.03,1,2,73.23
5311,5311,2018-01-03,9,TABLETS,OPASKA ELASTYCZNA 5M *10 CM,1,3.51,0.16500000000000006,-4.03,1,2,73.23
5312,5312,2018-01-03,9,TABLETS,PLASTER POLSKI LEK OPATRUNKOWY,2,3.5,0.16500000000000006,-4.03,1,2,73.23
5313,5313,2018-01-03,9,TABLETS,PLASTER-ROLKA 2_5 CM 5 M,2,3.91,0.16500000000000006,-4.03,1,2,73.23
5314,5314,2018-01-03,9,TABLETS,PLASTRY SOFT 1 M,2,3.8,0.16500000000000006,-4.03,1,2,73.23
5315,5315,2018-01-03,9,TABLETS,TABLETKI  APAP SASZETKA 2 TAB,6,1.23,0.16500000000000006,-4.03,1,2,73.23
5316,5316,2018-01-03,9,TABLETS,TABLETKI APAP 6SZT,9,2.78,0.16500000000000006,-4.03,1,2,73.23
5317,5317,2018-01-03,9,TABLETS,TABLETKI APAP EXTRA 10SZT,2,6.0,0.16500000000000006,-4.03,1,2,73.23
5318,5318,2018-01-03,9,TABLETS,TABLETKI CHOLINEX 8,5,5.87,0.16500000000000006,-4.03,1,2,73.23
5319,5319,2018-01-03,9,TABLETS,TABLETKI COLGRIP 8 SZT SASZETKI,2,5.97,0.16500000000000006,-4.03,1,2,73.23
5320,5320,2018-01-03,9,TABLETS,TABLETKI GRIPEX CNTROL 12,2,6.88,0.16500000000000006,-4.03,1,2,73.23
5321,5321,2018-01-03,9,TABLETS,TABLETKI IBUPROM 10 TAB.SPRINT,3,7.85,0.16500000000000006,-4.03,1,2,73.23
5322,5322,2018-01-03,9,TABLETS,TABLETKI IBUPROM 10SZT,7,4.75,0.16500000000000006,-4.03,1,2,73.23
5323,5323,2018-01-03,9,TABLETS,TABLETKI IBUPROM SASZETKA 2 SZT,14,1.52,0.16500000000000006,-4.03,1,2,73.23
5324,5324,2018-01-03,9,TABLETS,TABLETKI LOKOMARIN 15,1,5.86,0.16500000000000006,-4.03,1,2,73.23
5325,5325,2018-01-03,9,TABLETS,TABLETKI MUS.CALCIUN 20 SZT,1,3.05,0.16500000000000006,-4.03,1,2,73.23
5326,5326,2018-01-03,9,TABLETS,TABLETKI NUROFEN 10SZTULTRA,1,3.97,0.16500000000000006,-4.03,1,2,73.23
5327,5327,2018-01-03,9,TABLETS,TABLETKI NUROFEN EXPRESS 10 SZT,3,6.25,0.16500000000000006,-4.03,1,2,73.23
5328,5328,2018-01-03,9,TABLETS,TABLETKI POLOPIRYNA S/10/,5,3.16,0.16500000000000006,-4.03,1,2,73.23
5329,5329,2018-01-03,9,TABLETS,TABLETKI SCORBOLAMID GARD?O 8 SZT,2,4.1,0.16500000000000006,-4.03,1,2,73.23
5330,5330,2018-01-03,9,TABLETS,TABLETKI STREPSILS 8 SZT,2,8.07,0.16500000000000006,-4.03,1,2,73.23
5331,5331,2018-01-03,9,TABLETS,TABLETKI SYROP PRAWOSLAZOWY 100 ML,1,3.04,0.16500000000000006,-4.03,1,2,73.23
5332,5332,2018-01-03,9,TABLETS,TABLETKI SYROP PRAWOSLAZOWY 100 ML,3,3.04,0.16500000000000006,-4.03,1,2,73.23
5333,5333,2018-01-03,9,TABLETS,TABLETKI WEGIEL 30 SZT,1,5.77,0.16500000000000006,-4.03,1,2,73.23
5334,5334,2018-01-03,9,TABLETS,VITAFIZZ MAGNEZ,1,3.05,0.16500000000000006,-4.03,1,2,73.23
5335,5335,2018-01-03,9,TABLETS,WODA UTLENIONA 100GR,3,0.99,0.16500000000000006,-4.03,1,2,73.23
7211,7211,2018-01-04,10,TABLETS,ASPIRYN ULTRA 2 SZT,1,1.83,12.08,10.37,1,1,72.47
7212,7212,2018-01-04,10,TABLETS,PLASTER POLSKI LEK DO CIECIA 6 CM,2,3.8,12.08,10.37,1,1,72.47
7213,7213,2018-01-04,10,TABLETS,PLASTER-ROLKA 2_5 CM 5 M,1,3.91,12.08,10.37,1,1,72.47
7214,7214,2018-01-04,10,TABLETS,TABLETKI  APAP SASZETKA 2 TAB,3,1.23,12.08,10.37,1,1,72.47
7215,7215,2018-01-04,10,TABLETS,TABLETKI APAP 6SZT,4,2.78,12.08,10.37,1,1,72.47
7216,7216,2018-01-04,10,TABLETS,TABLETKI APAP EXTRA 10SZT,3,6.0,12.08,10.37,1,1,72.47
7217,7217,2018-01-04,10,TABLETS,TABLETKI CHOLINEX 8,2,5.87,12.08,10.37,1,1,72.47
7218,7218,2018-01-04,10,TABLETS,TABLETKI IBUM 7 SZT,3,4.09,12.08,10.37,1,1,72.47
7219,7219,2018-01-04,10,TABLETS,TABLETKI IBUPROM 10 TAB.SPRINT,1,7.85,12.08,10.37,1,1,72.47
7220,7220,2018-01-04,10,TABLETS,TABLETKI IBUPROM 10SZT,2,4.75,12.08,10.37,1,1,72.47
7221,7221,2018-01-04,10,TABLETS,TABLETKI IBUPROM SASZETKA 2 SZT,11,1.52,12.08,10.37,1,1,72.47
7222,7222,2018-01-04,10,TABLETS,TABLETKI NUROFEN 10SZTULTRA,2,3.97,12.08,10.37,1,1,72.47
7223,7223,2018-01-04,10,TABLETS,TABLETKI NUROFEN EXPRESS 10 SZT,1,6.25,12.08,10.37,1,1,72.47
7224,7224,2018-01-04,10,TABLETS,TABLETKI POLOPIRYNA S/10/,1,3.16,12.08,10.37,1,1,72.47
7225,7225,2018-01-04,10,TABLETS,TABLETKI RENNIE ANTACIDUM MOCN.MIETA 24T,2,10.37,12.08,10.37,1,1,72.47
7226,7226,2018-01-04,10,TABLETS,TABLETKI SCORBOLAMID GARD?O 8 SZT,1,4.1,12.08,10.37,1,1,72.47
7227,7227,2018-01-04,10,TABLETS,TABLETKI STREPSILS 8 SZT,2,8.07,12.08,10.37,1,1,72.47
7228,7228,2018-01-04,10,TABLETS,TABLETKI WEGIEL 30 SZT,1,5.77,12.08,10.37,1,1,72.47
