,name,unit_cogs
12,PIWO BOJAN  WIELKOP.0_5 L B/ZW,2.5
13,PIWO BOJAN FAJRANT 0_5 L B/ZWR,1.61
14,PIWO BOJAN KOKOS 0_5 L B/ZWR,3.02
15,PIWO BOJAN STRAZACKIE 0_5 L B/ZW,2.5
16,PIWO BOJAN SZWEJK 0_5 L B/ZWROT,2.37
17,PIWO BRACKIE 0_5 L B/ZWROT,1.35
18,PIWO CIECHAN MIODOWE 0_5 L B/ZW,3.78
19,PIWO DEBOWE MOCNE 0_5L BUTELKA,1.79
20,PIWO DEBOWE MOCNE 0_5L PUSZKA,2.34
21,PIWO DESPERADOS 0_4 L,2.42
22,PIWO DESPERADOS 0_4 L 6%  B/BEZW,2.67
23,PIWO DESPERADOS 0_4 NOCTURN 7%,2.93
24,PIWO EB 0_5 L B/ZWR,1.7
25,PIWO EB 0_5 L PUSZKA,2.05
26,PIWO FOX 0_5 L PUSZKA MOCNE,1.26
27,PIWO FOX 0_5L PUSZKA JASNE,1.07
28,PIWO HARNAS 0_5L BUTELKA,1.23
29,PIWO HEINEKEN 0_5L B BEZ ZWROT,2.19578947368421
30,PIWO KARMI 0_5L BUT /ZWROT,2.13
31,PIWO KSIAZECE PSZENICZNE 0_5 B/ZWR,2.43
32,PIWO LECH LITE 0_33 BUT BEZ/ZW,1.55
33,PIWO LECH LITE 0_33 PUSZKA,1.5
34,PIWO LECH PILS 0_5L BUTELKA,1.75
35,PIWO LECH PILS 0_5L PUSZKA,2.2
36,PIWO LECH PREMIUM 0_5L  PUSZKA,1.92
37,PIWO LECH PREMIUM 0_5L BUTELKA,1.68
38,PIWO LEZAJSK 0_5 L B/BEZW,1.55
39,PIWO LEZAJSK CHMIEL 0_5 L B/BEZ,1.55
40,PIWO LOMZA EXPORT 0_5L BUT/BEZ.,1.58
41,PIWO LWOWEK 0_5L B/ZW,2.15
42,PIWO LWOWEK MALINA 0_5 L B/ZW,2.6
43,PIWO MOCNE POLSKIE 0_33L,0.86
44,PIWO MUSCOVADO 0_5 L B/ZWR,3.56
45,PIWO OKOCIM 0_5 L RADLER B/Z LIMON,1.82
46,PIWO OKOCIM PILS 0_5 B/ZWROTNA,1.57
47,PIWO PILSNER URQUELL 0_5L BUTELKA,3.82
48,PIWO PRAZUBR NIEP.0_5 B/ZW,1.81
49,PIWO REDDS MALINOWE PUSZKA 0_5L,2.53
50,PIWO REEDS 0_5L PUSZKA JABLKOWE,2.53
51,PIWO SAMERSBY  0_500 ML PUSZKA,2.7
52,PIWO SAMERSBY BLACKBERRY 0_5 L PUSZKA,2.65
53,PIWO TATRA JASNE PE?NE 0_5L BUTELKA ZÓ?T,1.39
54,PIWO TATRA PILS 0_5L PUSZKA,1.72
55,PIWO TYSKIE 0_5 L BUT.NIEPAST.,1.74
56,PIWO TYSKIE 0_5L BUTELKA,1.53305454545455
57,PIWO TYSKIE PUSZKA 0_5L,1.9343434343434296
58,PIWO WARKA 0_5L BUT.JASNE PE?NE,1.45
59,PIWO WARKA RADLER 0_5 L BUT.,1.95
60,PIWO WARKA RADLER 0_5 PUSZKA,2.3325
61,PIWO WARKA RADLER MAL+CYTR .0_5 B/ZWR,1.59
62,PIWO WARKA STRONG BUTELKA,2.14
63,PIWO WARKA STRONG PUSZKA,2.47
64,PIWO WOJAK 0_5 L BUTELKA JASNE,1.1855871886121
65,PIWO ZUBR 0_5L BUTELKA,1.30914075286416
66,PIWO ZUBR 0_5L PUSZKA,1.68
67,PIWO ZYWIEC 0_5L BUTELKA,1.71
68,PIWO ZYWIEC PUSZKA 0_5L,1.97
1742,BRENDY SLONTSCHEW 0_5L 36 VOL,16.28
1743,METAXSA 0_7 L 38%,27.95
1744,NAP SPIR  ABSOLWENT CYTR.01,3.04
1745,NAP SPIR ABSOLWENT POZIOMAKA 0_1 30%,2.9908247422680403
1746,NAP SPIR ABSOLWENT SLIWKA 0_1,2.99365671641791
1747,NAP SPIR BARMANSKA 0_5 L ARBUZ,5.6
1748,NAP SPIR CYTRYNOWKA 0_1 30%,3.2
1749,NAP SPIR CYTRYNOWKA 30% 200ML,6.38
1750,NAP SPIR GREJPFRUTOWA 0_1 30%,3.2
1751,NAP SPIR SOPLICA CYTRYNA 0_5 L,15.75
1752,NAP SPIR SOPLICA CZ.PORZECZKA 0_1 L,3.79
1753,NAP SPIR SOPLICA MALINA 0_5 L,16.14
1754,NAP SPIR SOPLICA ORZECH.LASK 0_2 L 36%,7.57
