,name,unit_cogs
69,B BABKA DUZA JOGURTOWA/POLEWA,7.31
70,B CIASTKA FRANCUSKIE/ROZNE LUZ,13.6596638655462
71,B ROGAL MLECZNY 0_1KG,0.99
72,B ROGALE/GNIAZDO SMIET/EKLER/OMLET,1.6375
73,B SERNIK/PIANKI/ROGALE Z MAKIEM,22.5217391304348
74,BULKA MALA/KAJZERKA__,0.52280912364946
75,BULKA MASLANA MALA1,0.5
76,C BAGIETKA,2.5
77,C BULKA GRAHAMKA/ALPEJSKA,0.716363636363636
78,C BULKA SEROWA,0.724655172413793
79,C BULKA TARTA 0_5KG,1.57
80,C CHLEB DWORSKI,2.48
81,C CHLEB KROJONY 0_6 KG,2.5818491484184904
82,C CHLEB KROJONY 0_9 KG,4.18533333333333
83,C CHLEB KROJONY 250G,1.29061224489796
84,C CHLEB MAZOWIECKI 600G_,1.94375
85,C CHLEB RAZOWY 1KG,3.5
86,C CHLEB TOSTOWY 0_3,2.48
87,C CHLEB WIEJSKI 0.6,2.57152941176471
88,C CHLEB ZIARNISTY 300G,2.54772727272727
89,CHLEB .TOST XXL 750 G...,4.64
90,DROZDZOWKA DROZDZOWA,1.3296551724137902
91,M BULKA Z RODZYNKAMI,1.27
92,M CHLEB DUZY KROJONY,3.9263333333333295
93,M CHLEB MALY,2.32
94,M CHLEB MALY KROJONY,2.5572928176795604
95,M CHLEB RAZOWY,3.23476923076923
96,M CHLEB RUSTYKALNY,2.66
97,PACZEK/JAGODZIANKA,1.31679245283019
98,PYZY DRO?D?OWE 320GR GRZESKOWIAK,2.19
99,S BABKI 0_35KG,6.5
100,S BULKA SOJOWA,0.58
101,S CHLEB KROJONY 0_6KG,2.23
102,S CHLEB KROJONY 1KG,3.56
103,S CHLEB PSZENNY 0_25KG,2.42884615384615
104,S CHLEB ZIARNISTY 0_3,1.65027027027027
105,S CHLEB ZIARNISTY 0_6,2.98
106,S CHLEB ZIARNISTY KROJONY 0_3,1.73
107,S CIASTKA KRUCHPLACEK DROZDZOWY,15.437857142857098
108,S JABLECZ/MURZYN/JOGURTOWY,8.0
109,SUCHARY 285 G B/CUK MAMUT,3.71
1892,B CIASTKA FRANCUSKIE/ROZNE LUZ,13.4273504273504
1893,B ROGAL MLECZNY 0_1KG,0.99
1894,B ROGALE/GNIAZDO SMIET/EKLER/OMLET,1.59946564885496
1895,BULKA MALA/KAJZERKA__,0.531254295532646
1896,BULKA MASLANA MALA1,0.505846153846154
1897,C BAGIETKA,2.415625
1898,C BULKA GRAHAMKA/ALPEJSKA,0.7318128654970759
1899,C BULKA SEROWA,0.730933333333333
