,name,unit_cogs
294,DROPS HALLS MENTOL LUPTUS,1.35
295,GUMA AIRWAVES PORZECZKA DRAZE,1.44
296,GUMA ARBUZ,0.27
297,GUMA FOOTBALL EURO/TURBO,0.13
298,GUMA MAMBA,0.46
299,GUMA ORBIT APPLE DRAZE,1.03
300,GUMA ORBIT BAG PEPPERMINT,2.25
301,GUMA ORBIT BAG SPEARMINT,2.25
302,GUMA ORBIT BAG WINTERFRESH,2.1
303,GUMA ORBIT BUBLEMINT DRAZE,1.46
304,GUMA ORBIT PEPERMINT DRAZE,1.46
305,GUMA ORBIT SPERMINT DRAZE,1.46
306,GUMA ORBIT SPIRMINT DRAZE,1.4034782608695702
307,GUMA ORBIT STRAWBERRY DRAZE,1.46
308,GUMA ORBIT WHIT TOREBKA 25 FRESH,2.09
309,GUMA ORBIT WHITE DRAZE,1.46
310,GUMA WINTERFRESH DRAZE,1.44
311,GUMA WRIGLEYS FRUIT 5 LISTKOW,0.92
312,GUMA Z TATUAZEM,0.13
313,LIZAK CANDY/LASKA,0.64
314,LIZAK CHUPA CHUPS,0.46
315,LIZAK KWIATEK/MALY/KULKA,0.22
316,LIZAK KWIATET DUZY,0.49
317,LIZAK PALUSZEK OWOC,0.21
318,LIZAK SERCA,0.1
319,LIZAK SERCE,1.3
320,LIZAK SMOCZEK,0.44
321,LIZAK ZAZUAGE,0.03
322,MENTOS STRONG MINT 38G,1.19
323,PUDROWE ZEGARKI,0.5
324,RYZ PRWPAROWANY 90 G,1.483
325,TORTILLA WRAPS 4 285 G,4.05
326,ZABAWKA UFO Z CUKIERKAMI,5.05
327,ZELKI CYMES  80 G BOBO MISKI,0.84
328,ZELKI CYMES 80 G DZDZOWNICE,0.84
329,ZELKI KROKODYLE/MISKI NA SZT,0.21
330,ZELKI MASKI/KABLE,0.12
331,ZELKI PAKOWANE,0.82
332,ZELKI TRI,2.68
2092,BOMBONIERA CHERRY 138 G,9.3
2093,GUMA AIRWAVES PORZECZKA DRAZE,1.4581818181818202
2094,GUMA ARBUZ,0.27
2095,GUMA FOOTBALL EURO/TURBO,0.13
2096,GUMA MAMBA,0.584444444444444
2097,GUMA ORBIT *25 SASZETKA STRAWBERY,2.1
2098,GUMA ORBIT APPLE DRAZE,1.03
2099,GUMA ORBIT BAG PEPPERMINT,2.25
2100,GUMA ORBIT BAG SPEARMINT,2.25
2101,GUMA ORBIT BAG WINTERFRESH,2.1
2102,GUMA ORBIT BUBLEMINT DRAZE,1.46
2103,GUMA ORBIT PEPERMINT DRAZE,1.46
2104,GUMA ORBIT SPERMINT DRAZE,1.46
2105,GUMA ORBIT SPIRMINT DRAZE,1.46
2106,GUMA ORBIT WHIT TOREBKA 25 FRESH,2.25
2107,GUMA ORBIT WHITE DRAZE,1.46
2108,GUMA WINTERFRESH DRAZE,1.44
2109,GUMA WRIGLEYS FRUIT 5 LISTKOW,0.92
2110,LIZAK CHUPA CHUPS,0.46
2111,LIZAK KOLOROWY,0.51
2112,LIZAK KWIATEK/MALY/KULKA,0.22
2113,LIZAK SERCA,0.1
2114,LIZAK SMOCZEK,0.44
2115,LIZAK ZAZUAGE,0.03
2116,MENTOS STRONG MINT 38G,1.55
2117,PUDROWE ZEGARKI,0.7866666666666671
2118,RYZ PRWPAROWANY 90 G,1.49
2119,ZABAWKA UFO Z CUKIERKAMI,5.05
2120,ZELKI CYMES 80 G DZDZOWNICE,0.84
2121,ZELKI KROKODYLE/MISKI NA SZT,0.21
2122,ZELKI MASKI/KABLE,0.12
2123,ZELKI TRI,2.68
3872,GUMA AIRWAVES PORZECZKA DRAZE,1.46
3873,GUMA ARBUZ,0.27
3874,GUMA FOOTBALL EURO/TURBO,0.13
3875,GUMA MAMBA,0.605
3876,GUMA ORBIT *25 SASZETKA STRAWBERY,2.1
3877,GUMA ORBIT APPLE DRAZE,1.03
3878,GUMA ORBIT BAG PEPPERMINT,2.25
3879,GUMA ORBIT BAG SPEARMINT,2.25
3880,GUMA ORBIT BAG WINTERFRESH,2.25
3881,GUMA ORBIT PEPERMINT DRAZE,1.46
3882,GUMA ORBIT SPERMINT DRAZE,1.46
3883,GUMA ORBIT SPIRMINT DRAZE,1.46
3884,GUMA ORBIT STRAWBERRY DRAZE,1.46
3885,GUMA ORBIT WHIT TOREBKA 25 FRESH,2.25
3886,GUMA WRIGLEYS FRUIT 5 LIS,0.88
3887,LIZAK CHUPA CHUPS,0.46
3888,LIZAK KOLOROWY,0.51
3889,LIZAK KWIATEK/MALY/KULKA,0.22
3890,LIZAK SMOCZEK,0.44
3891,LIZAK ZAZUAGE,0.03
3892,MENTOS STRONG MINT 38G,1.55
3893,PUDROWE ZEGARKI,0.93
3894,RYZ PRWPAROWANY 90 G,1.49
3895,ZABAWKA UFO Z CUKIERKAMI,5.05
3896,ZELKI KROKODYLE/MISKI NA SZT,0.21
3897,ZELKI MASKI/KABLE,0.12
3898,ZELKI TRI,2.68
5777,CUKIERKI CARAVAN,0.26
5778,GUMA AIRWAVES PORZECZKA DRAZE,1.46
5779,GUMA ARBUZ,0.27
5780,GUMA FOOTBALL EURO/TURBO,0.13
5781,GUMA MAMBA,0.51
5782,GUMA MAMBA DUO,0.6
5783,GUMA ORBIT *25 SASZETKA STRAWBERY,2.1
5784,GUMA ORBIT APPLE DRAZE,1.03
5785,GUMA ORBIT BAG PEPPERMINT,2.25
5786,GUMA ORBIT BAG SPEARMINT,2.25
5787,GUMA ORBIT BAG WINTERFRESH,2.25
5788,GUMA ORBIT PEPERMINT DRAZE,1.46
5789,GUMA ORBIT SPERMINT DRAZE,1.46
5790,GUMA ORBIT SPIRMINT DRAZE,1.46
5791,GUMA ORBIT STRAWBERRY DRAZE,1.46
5792,GUMA ORBIT WHIT TOREBKA 25 FRESH,2.25
5793,GUMA WINTERFRESH DRAZE,1.46
5794,GUMA WRIGLEYS FRUIT 5 LIS,0.88
5795,GUMA WRIGLEYS FRUIT 5 LISTKOW,0.92
5796,LIZAK CHUPA CHUPS,0.46
5797,LIZAK KOLOROWY,0.51
5798,LIZAK NIM 2,0.44
5799,LIZAK NIM 2,0.422
5800,LIZAK SMOCZEK,0.44
5801,LIZAK ZAZUAGE,0.03
5802,LOD W KOSTKACH PACZKA,2.54
5803,MENTOS STRONG MINT 38G,1.55
5804,PUDROWE ZEGARKI,0.93
5805,ZELKI KROKODYLE/MISKI NA SZT,0.21
5806,ZELKI MASKI/KABLE,0.12
7717,CUKIERKI CARAVAN,0.26
7718,DROPS HALLS MENTOL LUPTUS,1.35
7719,GUMA AIRWAVES PORZECZKA DRAZE,1.46
7720,GUMA ARBUZ,0.27
7721,GUMA MAMBA,0.51
7722,GUMA MAMBA DUO,0.6
7723,GUMA ORBIT *25 SASZETKA STRAWBERY,2.1
7724,GUMA ORBIT BAG PEPPERMINT,2.25
7725,GUMA ORBIT BAG SPEARMINT,2.25
7726,GUMA ORBIT BAG WINTERFRESH,2.25
7727,GUMA ORBIT PEPERMINT DRAZE,1.46
7728,GUMA ORBIT SPERMINT DRAZE,1.46
7729,GUMA ORBIT SPIRMINT DRAZE,1.46
7730,GUMA ORBIT WHITE DRAZE,1.46
7731,GUMA WINTERFRESH DRAZE,1.46
7732,GUMA WRIGLIS SPERMINT,0.65
7733,LIZAK CHUPA CHUPS,0.46
7734,LIZAK KOLOROWY,0.51
7735,LIZAK KWIATEK/MALY/KULKA,0.22
7736,LIZAK KWIATET DUZY,0.49
7737,LIZAK NIM 2,0.4
7738,LIZAK NIM 2,0.44
7739,LIZAK SERCA,0.1
7740,LIZAK SERCE,0.16
7741,LIZAK SMOCZEK,0.44
7742,LOD W KOSTKACH PACZKA,2.285
7743,MENTOS MINT 38G,1.24
7744,MENTOS STRONG MINT 38G,1.55
7745,PUDROWE ZEGARKI,0.93
7746,RYZ PRWPAROWANY 90 G,1.49
7747,ZABAWKA UFO Z CUKIERKAMI,5.05
7748,ZELKI CYMES 80 G DZDZOWNICE,0.84
7749,ZELKI KROKODYLE/MISKI NA SZT,0.21
7750,ZELKI TRI,2.68
9744,BUBLE GUM 10 SZT,1.03
9745,DROPS HALLS MENTOL LUPTUS,1.35
9746,GUM TROLLS GIGA,5.37
9747,GUMA AIRWAVES PORZECZKA DRAZE,1.46
9748,GUMA ARBUZ,0.231538461538462
9749,GUMA MAMBA,0.528
9750,GUMA ORBIT *25 SASZETKA STRAWBERY,2.1
9751,GUMA ORBIT BAG PEPPERMINT,2.25
9752,GUMA ORBIT BAG WINTERFRESH,2.25
9753,GUMA ORBIT PEPERMINT DRAZE,1.46
9754,GUMA ORBIT SPIRMINT DRAZE,1.33450980392157
9755,GUMA ORBIT STRAWBERRY DRAZE,1.46
9756,GUMA ORBIT WHIT TOREBKA 25 FRESH,2.25
9757,GUMA ORBIT WHITE DRAZE,1.46
9758,GUMA WINTERFRESH DRAZE,1.32666666666667
9759,GUMA WRIGLEYS FRUIT 5 LIS,0.88
9760,LIZAK CHUPA CHUPS,0.46
9761,LIZAK KOLOROWY,0.51
9762,LIZAK KWIATEK/MALY/KULKA,0.22
9763,LIZAK KWIATET DUZY,0.49
9764,LIZAK NIM 2,0.4
9765,LIZAK NIM 2,0.44
9766,LIZAK POP Z GUMA,0.35
9767,LIZAK SERCE,0.16
9768,LOD W KOSTKACH PACZKA,2.03
9769,MENTOS MINT 38G,1.24
9770,MENTOS STRONG MINT 38G,1.55
9771,PUDROWE ZEGARKI,0.93
9772,RYZ PRWPAROWANY 90 G,1.49
9773,ZELKI CYMES 80 G DZDZOWNICE,0.84
9774,ZELKI TRI,2.68
11793,CHRUPKI OWOCOWE 50 G,0.89
11794,DROPS HALLS MENTOL LUPTUS,1.35
11795,GUMA AIRWAVES PORZECZKA DRAZE,1.46
11796,GUMA ARBUZ,0.2
11797,GUMA MAMBA,0.53
11798,GUMA ORBIT *25 SASZETKA STRAWBERY,2.1
11799,GUMA ORBIT BAG PEPPERMINT,2.25
11800,GUMA ORBIT BAG SPEARMINT,2.25
11801,GUMA ORBIT BAG WINTERFRESH,2.25
11802,GUMA ORBIT PEPERMINT DRAZE,1.46
11803,GUMA ORBIT SPIRMINT DRAZE,1.26
11804,GUMA ORBIT WHIT TOREBKA 25 FRESH,2.25
11805,GUMA ORBIT WHITE DRAZE,1.46
11806,GUMA ROLL TATTOO,1.31
11807,GUMA WINTERFRESH DRAZE,1.26
11808,GUMA WRIGLEYS FRUIT 5 LIS,0.88
11809,HARIBO 100G GOLD,2.28
11810,HARIBO SMERF 100 G,2.28
11811,LIZAK KOLOROWY,0.51
11812,LIZAK KWIATEK/MALY/KULKA,0.23
11813,LIZAK NIM 2,0.4
11814,LIZAK POP Z GUMA,0.35
11815,LOD W KOSTKACH PACZKA,2.03
11816,MENTOS MINT 38G,1.24
11817,MENTOS STRONG MINT 38G,1.31
11818,ZELKI CYMES 80 G DZDZOWNICE,0.84
13810,DROPS HALLS MENTOL LUPTUS,1.36
13811,GUM TROLLS GIGA,5.37
13812,GUMA AIRWAVES PORZECZKA DRAZE,1.25
13813,GUMA ARBUZ,0.190625
13814,GUMA MAMBA,0.53
13815,GUMA ORBIT *25 SASZETKA STRAWBERY,2.25
13816,GUMA ORBIT BAG PEPPERMINT,2.25
13817,GUMA ORBIT PEPERMINT DRAZE,1.46
13818,GUMA ORBIT SPERMINT DRAZE,1.25
13819,GUMA ORBIT SPIRMINT DRAZE,1.25702702702703
13820,GUMA ORBIT WHIT TOREBKA 25 FRESH,2.25
13821,GUMA ORBIT WHITE DRAZE,1.46
13822,GUMA ROLL TATTOO,1.31
13823,GUMA SPLOW,0.1
13824,GUMA WINTERFRESH DRAZE,1.26
13825,GUMA WRIGLEYS FRUIT 5 LIS,0.88
13826,HARIBO 100G FRUTT,2.28
13827,HARIBO SMERF 100 G,2.28
13828,LIZAK KWIATEK/MALY/KULKA,0.23
13829,LIZAK NIM 2,0.4
13830,LIZAK NIM 2,0.4
13831,LIZAK POP Z GUMA,0.35
13832,LIZAK ZELOWY,0.73
13833,LOD W KOSTKACH PACZKA,2.03
13834,MENTOS STRONG MINT 38G,1.37538461538462
13835,PRAZYNKI MIS 50 G,1.14
13836,RYZ PRWPAROWANY 90 G,1.48
13837,ZELKI CYMES 80 G DZDZOWNICE,0.84
13838,ZELKI KROKODYLE/MISKI NA SZT,0.36
13839,ZELKI TRI,2.68
15934,CHRUPKI OWOCOWE 160 G,2.9
15935,GUMA AIRWAVES PORZECZKA DRAZE,1.25
15936,GUMA ARBUZ,0.19
15937,GUMA ORBIT BAG PEPPERMINT,2.25
15938,GUMA ORBIT BAG SPEARMINT,2.59
15939,GUMA ORBIT SPERMINT DRAZE,1.25
15940,GUMA ORBIT SPIRMINT DRAZE,1.25
15941,GUMA ROLL TATTOO,1.31
15942,GUMA WINTERFRESH DRAZE,1.26
15943,GUMA WRIGLEYS FRUIT 5 LIS,0.88
15944,HARIBO SMERF 100 G,2.28
15945,LIZAK KWIATEK/MALY/KULKA,0.23
15946,LIZAK POP Z GUMA,0.328028169014084
15947,LIZAK ZELOWY,0.73
15948,MENTOS STRONG MINT 38G,1.48
15949,PRAZYNKI MIS 50 G,1.14
15950,RYZ PRWPAROWANY 90 G,1.48
15951,ZELKI KROKODYLE/MISKI NA SZT,0.4436206896551721
15952,ZELKI TRI,2.68
17954,CHRUPKI OWOCOWE 160 G,2.9
17955,GUMA AIRWAVES PORZECZKA DRAZE,1.25
17956,GUMA ARBUZ,0.19
17957,GUMA MAMBA,0.53
17958,GUMA MAMBA DUO,0.6
17959,GUMA ORBIT BAG PEPPERMINT,2.25
17960,GUMA ORBIT BAG SPEARMINT,2.59
17961,GUMA ORBIT PEPERMINT DRAZE,1.46
17962,GUMA ORBIT SPERMINT DRAZE,1.25
17963,GUMA ORBIT SPIRMINT DRAZE,1.25
17964,GUMA ORBIT WHIT TOREBKA 25 FRESH,2.25
17965,GUMA ORBIT WHITE DRAZE,1.46
17966,GUMA ROLL TATTOO,1.52230769230769
17967,GUMA WINTERFRESH DRAZE,1.26
17968,GUMA WRIGLEYS FRUIT 5 LIS,0.88
17969,LIZAK KWIATEK/MALY/KULKA,0.23
17970,LIZAK POP Z GUMA,0.31
17971,LIZAK ZELOWY,0.73
17972,MENTOS STRONG MINT 38G,1.48
17973,RYZ PRWPAROWANY 90 G,1.48
17974,ZELKI CYMES  80 G BOBO MISKI,0.84
17975,ZELKI KROKODYLE/MISKI NA SZT,0.46
17976,ZELKI TRI,2.68
19825,BUBLE GUM 10 SZT,1.31
19826,GUMA AIRWAVES PORZECZKA DRAZE,1.25
19827,GUMA ARBUZ,0.19
19828,GUMA MAMBA,0.461818181818182
19829,GUMA MAMBA DUO,0.6
19830,GUMA ORBIT BAG PEPPERMINT,2.25
19831,GUMA ORBIT BAG SPEARMINT,2.59
19832,GUMA ORBIT DLA DZIECI 5 LIST,0.7809090909090909
19833,GUMA ORBIT PEPERMINT DRAZE,1.46
19834,GUMA ORBIT SPERMINT DRAZE,1.25
19835,GUMA ORBIT SPIRMINT DRAZE,1.4714285714285702
19836,GUMA ORBIT WHIT TOREBKA 25 FRESH,2.25
19837,GUMA ROLL TATTOO,1.54
19838,GUMA WINTERFRESH DRAZE,1.26
19839,GUMA WRIGLEYS FRUIT 5 LIS,0.893333333333333
19840,HARIBO SMERF 100 G,2.28
19841,LIZAK KWIATEK/MALY/KULKA,0.23
19842,LIZAK ZELOWY,0.73
19843,MENTOS STRONG MINT 38G,1.48
19844,RYZ PRWPAROWANY 90 G,1.48
19845,ZELKI CYMES  80 G BOBO MISKI,0.84
21694,BOMBONIERA CHERRY 138 G,9.5
21695,GUMA AIRWAVES PORZECZKA DRAZE,1.25
21696,GUMA ARBUZ,0.19
21697,GUMA MAMBA,0.53
21698,GUMA ORBIT *25 SASZETKA STRAWBERY,2.4766666666666697
21699,GUMA ORBIT BAG WINTERFRESH,2.62
21700,GUMA ORBIT DLA DZIECI 5 LIST,0.83
21701,GUMA ORBIT PEPERMINT DRAZE,1.48
21702,GUMA ORBIT SPERMINT DRAZE,1.48
21703,GUMA ORBIT SPIRMINT DRAZE,1.4821568627451
21704,GUMA ORBIT WHIT TOREBKA 25 FRESH,2.59
21705,GUMA WINTERFRESH DRAZE,1.4525
21706,GUMA WRIGLEYS FRUIT 5 LIS,0.92
21707,HARIBO SMERF 100 G,2.28
21708,LIZAK CANDY/LASKA,0.65
21709,LIZAK KWIATEK/MALY/KULKA,0.23
21710,LIZAK SERCA,0.1
21711,LIZAK ZELOWY,0.73
21712,MENTOS STRONG MINT 38G,1.37
21713,ZABAWKA SW + CZEKOLADKI,10.48
