,name,unit_cogs
333,CHETOS MINIONKI 80 G,2.12
334,CHETOS UP 16 G,0.65
335,CHIPSY LAY`S FROMAGE 40G,0.99
336,CHRUPKI OWOCE 45 G,0.89
337,CHRUPKI STAR HYPER PIZZA 58G,1.11
338,CHRUPKI TRUSKAWKOWE 80 G,1.24
339,CIASTKA PRYNCYPALKI KOKOS 235 G,3.17
340,GELLWE FITELLA MUSLI BANANOWE,0.83
341,GELLWE FITELLA MUSLI TROPIKALNE,0.83
342,GELLWE FITELLA MUSLI TRUSKAWKA,0.83
343,LAYS CHEETOS 85G KETCHUP,2.03
344,LAYS CHETOS 30 G,1.34
345,LAYS CHETOS CHRUPKI 145 G,3.28
346,LAYS CHETOS SER+KETCHUP 90 G,2.35461538461538
347,LAYS FROMAGE 140 G,3.85
348,LAYS FROMAGE 90G,2.56
349,LAYS KARBOWANE  140 G,3.56
350,LAYS MAX SER+ZIEL CEB.140 G,3.85
351,LAYS OSTRA PAP.140 G,3.85
352,LAYS PAPRYKA 140 G,3.85
353,LAYS PAPRYKA 28G,0.77
354,LAYS PAPRYKA 40 G,1.3
355,LAYS ROZKI SER 95 G,1.9
356,LAYS STAR SMITI CEBULA 130 G,2.21
357,LAYS STIX 140 G,3.72
358,LAYS STIX 40 G,1.012
359,LAYS STIX 40 G,0.99
360,LAYS Z PIECA PAPRYKA 130 G,3.75
361,LAYS ZIELONA CEBULA 28G,0.88
362,LAYS ZIELONA CEBULA 40 G,1.3
363,LAYS ZIELONA CEBULA 90G,2.65
364,LAYS ZIELONA CEBULKA 140 G,3.85
365,LORENZ JUNIORKI 140 G LITERKI,2.67
366,PIECZYWO SONKO LEKKIE PE?NOZIARNISTE 170,2.97
367,PLATKI CHEERIOS MIODOWE 250G,4.29
368,PLATKI CORN FLAKES 250G NESTLE,3.06
369,PLATKI FITNES 225 G JOGURT,4.19
370,PLATKI LION 250 G,3.76
371,PLATKI MLEKOLAKI KOLKA MIODOWE 250 G,3.02
372,POP CORN 95 G,1.47
373,PRAZYNKI SPOKO 60 G,1.11
374,PRAZYNKI SPOKO 60 G,1.14
375,PRYMAT PRZYPRAWA DO OGORKOW KWASZON 40 G,1.59
376,SLONACZNIK PRAZONY LEKKO SOLONY 190 G,2.88
377,SLONECZNIK PRAZONY  Z PRZYPRAWAMI 150G,2.4
378,STAR CHIPS 130 G PAPRYKA,2.21
379,STAR CHIPS 130 G SALSA,2.21
380,STAR CHIPS 130 G SER CEBULA,2.23
381,STAR CHIPS 250 G PAPRYKA,3.81
382,STAR CHIPS 250 G SER+CEBULA,3.81
383,STAR CHIPS BEKON 130 G,2.23
384,STAR CHIPS KEBAB 130 G,2.21
385,STAR CHIPS ORZECH 125 G,2.15
386,STAR CHIPS PIZZA  125 G,2.15
387,STAR CHIPS SER POMIDOR 125 G,2.18
388,STAR PRAZYNKI SOLONE 85 G,2.23
389,WAFLE RYZOWE  130GR RYZ DZIKI,1.66
2124,CHETOS UP 16 G,0.65
2125,CHRUPKI CZEKOLADOWE 80 G,1.24
2126,CHRUPKI OWOCE 45 G,0.89
2127,CHRUPKI PODUSZKI MIKUS 150 G,2.34
2128,CHRUPKI STAR HYPER PIZZA 58G,1.11
