,name,unit_cogs
390,BLOK RYSUNKOWY KOLOR,1.22
391,CYGARETKI 1 SZT,1.0
392,CYGARETKI MINI 10 SZT BLU,9.66
393,GILZT GAPARD 100+25,1.29
394,GILZY GULIWER 300+50GRAT,3.614
395,GILZY PS 250 SZT,2.98
396,LAYS STIX 140 G,1.65
397,MASCOTTTE BIBULKA 50 SZT,0.57
398,PAP CAMEL,11.72
399,PAP CHESTERFIELD BLU 21,10.86
400,PAP CHESTERFILD RED,10.935
401,PAP LD BLUE CIENKIE,10.823137254902
402,PAP LD BLUE T,10.1096
403,PAP LD MENTHOL SUPER SLIM,10.91
404,PAP LD MINT,10.8285
405,PAP LD PINK SUPER SLIM,10.814444444444401
406,PAP LD RED.,10.159347826087
407,PAP LD RED/WINSTON 100,9.9
408,PAP LD SILVER 2,10.85
409,PAP LM BLU,11.69
410,PAP LM LINK FORWARD,12.1
411,PAP LM LINK MINT,11.2
412,PAP LM LINK MINT,11.81
413,PAP LM LINK PINK,11.63
414,PAP LM LINK RED,11.84
415,PAP LM MINT,11.17
416,PAP LM RED,11.84
417,PAP LUCKY STRIKE  BLUE 22 SZT,12.42
418,PAP LUCKY STRIKE 22 RED,12.18
419,PAP MARLBORO  GOLD,12.611724137931
420,PAP MARLBORO GOLD MIEK.,12.065
421,PAP MARLBORO RED MIEKK,12.067037037037
422,PAP MARLLBORO. RED,12.8
423,PAP MOCNE 20,10.7615730337079
424,PAP MOCNE JASNE,10.62
425,PAP PAL MAL BLUE,10.66
426,PAP PAL MAL LINK BLU,10.91
427,PAP PAL MAL MINT,10.5711363636364
428,PAP PAL MAL MINT  LINK,10.612608695652199
429,PAP PAL MAL PSTRYK LINK,10.56
430,PAP PALL MALL RED,11.1
431,PAP PS  66 RED 100,9.86504504504505
432,PAP PS  BLU 100,9.93
433,PAP PS 66 BLUE 20,9.8
434,PAP PS BLACK,9.55
435,PAP PS BLACK 100,9.875
436,PAP PS BLU LINK,9.5253125
437,PAP PS GOLD,9.19
438,PAP PS GOLD 100,9.3
439,PAP PS MINT LINK,9.527586206896553
440,PAP PS RED 20,9.86235294117647
441,PAP RGD  MINT,9.96
442,PAP RGD LINK BLU,9.94859649122807
443,PAP RGD MINT SUP.SLIM,10.0438983050847
444,PAP RGD SUPER PINK,10.11
445,PAP ROTHMANS BLU 100,10.3
446,PAP ROTHMANS BLU LINK,10.04
447,PAP ROTHMANS MINT LINK,9.46473684210526
448,PAP ROTHMANSY RED 100,9.897058823529411
449,PAP ROTMANSY  20 RED,9.95
450,PAP ROTMANSY 20 BLU,9.95
451,PAP WEST,10.86
452,PAP WEST JCE COOL BLEND CI?KIE,10.9
453,PAP WINSTON BLU 100,9.8
454,STARTER 5 ZL,3.26
455,TYTO VICEROY BLU 30 G,10.09
456,TYTON PS BLAC,10.83
457,TYTO? ROTHMANS 30GR,9.26
458,WODA AQA 0_5 L GAZ,0.36
459,WODA AQA 0_5 L N/G,0.36
460,ZAPALKI,0.08
461,ZAPALNICZKA KOLOR,0.92
2164,BLOK RYSUNKOWY KOLOR,1.22
2165,GILZT GAPARD 100+25,1.29
2166,GILZY WRB 500,4.49
2167,HERB HIBISKUS 24 T VITAX,2.38
2168,MASCOTTTE BIBULKA 50 SZT,0.57
2169,PAP CAMEL,11.669090909090901
2170,PAP CHESTERFIELD BLU 21,10.8378947368421
2171,PAP CHESTERFILD 100 BLU,9.91
2172,PAP CHESTERFILD RED,10.83375
2173,PAP CHESTERFILD RED 100,9.91
2174,PAP LD BLUE CIENKIE,10.73
2175,PAP LD BLUE T,10.1
2176,PAP LD MENTHOL SUPER SLIM,10.7631578947368
2177,PAP LD MINT,10.743333333333302
2178,PAP LD PINK SUPER SLIM,10.73
2179,PAP LD RED.,10.120769230769199
2180,PAP LD SILVER 2,10.85
2181,PAP LM BLU,11.682777777777801
2182,PAP LM LINK FORWARD,12.003076923076902
2183,PAP LM LINK MINT,11.2
2184,PAP LM LINK MINT,11.8
2185,PAP LM LINK RED,11.84
2186,PAP LM MINT,11.17
2187,PAP LM RED,11.84
2188,PAP LUCKY STRIKE  BLUE 22 SZT,12.324000000000002
2189,PAP LUCKY STRIKE 22 RED,12.18
2190,PAP MARLBORO  GOLD,12.567894736842101
2191,PAP MARLBORO GOLD MIEK.,12.182857142857099
2192,PAP MARLBORO RED MIEKK,11.731764705882402
2193,PAP MARLLBORO. RED,12.686666666666698
2194,PAP MOCNE 20,10.863411764705901
2195,PAP MOCNE JASNE,10.95
2196,PAP PAL MAL BLUE,10.66
2197,PAP PAL MAL LINK BLU,10.7303333333333
2198,PAP PAL MAL MINT,10.665238095238099
2199,PAP PAL MAL MINT  LINK,10.7104
2200,PAP PAL MAL PSTRYK LINK,10.56
2201,PAP PAL MAL SZARE,10.6
2202,PAP PALL MALL RED,11.1
2203,PAP PS  66 RED 100,9.87074074074074
2204,PAP PS  BLU 100,9.86
2205,PAP PS 66 BLUE 20,9.7825
2206,PAP PS BLACK,9.762307692307688
2207,PAP PS BLACK 100,9.90666666666667
2208,PAP PS BLU LINK,9.4855737704918
2209,PAP PS GOLD,9.726363636363642
2210,PAP PS MINT LINK,9.47348837209302
2211,PAP PS RED 20,9.78727272727273
2212,PAP PS RED 22,11.24
2213,PAP RGD  MINT,9.975
2214,PAP RGD LINK BLU,9.95357142857143
2215,PAP RGD MINT SUP.SLIM,9.95
2216,PAP RGD SUPER PINK,10.11
2217,PAP ROTHMANS BLU 100,10.248148148148099
2218,PAP ROTHMANS BLU LINK,10.138
2219,PAP ROTHMANS MINT LINK,9.82
2220,PAP ROTHMANSY RED 100,9.885263157894741
2221,PAP ROTMANSY  20 RED,9.98266666666667
2222,PAP ROTMANSY 20 BLU,9.89391304347826
2223,PAP WEST,10.81
2224,PAP WEST JCE COOL BLEND CI?KIE,10.9
2225,STARTER PLAY 5 Z?,3.03
2226,SZ ZAPIEKANKA Z SZYNKA,2.79
2227,TYTO VICEROY BLU 30 G,10.09
2228,TYTON NEVADA 30 G,9.14
2229,TYTON PS BLAC,10.93
2230,TYTO? ROTHMANS 30GR,9.26
2231,WODA AQA 0_5 L GAZ,0.36
2232,WODA AQA 0_5 L N/G,0.36
2233,ZAPALKI,0.08
2234,ZAPALNICZKA KOLOR,0.92
3939,BATON KROWKA MIXI50 G,0.66
3940,BLOK RYSUNKOWY KOLOR,1.22
3941,EQLUB 10 ML,5.05
3942,GILZY 250+25% GOLDEN,2.8360000000000003
3943,GILZY CHIEFS 100 SZT,0.74
3944,GILZY WRB 500,4.49
3945,HERB HIBISKUS 24 T VITAX,2.38
3946,MASCOTTTE BIBULKA 50 SZT,0.57
3947,PAP CAMEL,11.64
3948,PAP CHESTERFIELD BLU 21,10.83
3949,PAP CHESTERFILD 100 BLU,9.91
3950,PAP CHESTERFILD RED,10.83
3951,PAP CHESTERFILD RED 100,9.91
3952,PAP LD BLUE CIENKIE,10.73
3953,PAP LD BLUE T,10.1
3954,PAP LD MENTHOL SUPER SLIM,10.73
3955,PAP LD MINT,10.73
