,name,unit_cogs
462,BISZKOPTY 120 G MLYNY POLSKIE,3.25
463,CAPPUCCINO WANILIA MOKATE 110GR,2.09
464,EKOLAND HERBATA MULTIVITA 300GR TOR,2.49
465,EKOLAND HERBATA OWOCE LE?NE 300GR TOR,2.49
466,HER.GRANULOW.INDYJ 80G CONSUM,1.07
467,HERB MINUTKA 40TOR EXPRES,1.39
468,HERB RUMIANEK 20 EX POSTI,1.11
469,HERB SZA?WIA 20 T VITAX,2.43
470,HERB ZIELONA Z CYTRYNA 20 EX POSTI,1.94
471,HERB.MINUTKA EXP 100SZT,2.59
472,HERB.SAGA EXPR.20SZT,1.19
473,HERBATA EXP.100T.AKBAR,10.22
474,HERBATA LOYD PIRAMIDKA 20 SZT,3.53
475,HERBATA MELISA POSTI 20EX,1.21
476,HERBATA MINUTKA CYTRYNA 40 EX,1.39
477,HERBATA MINUTKA EARL GREY 40 T,1.49
478,HERBATA POKRZYWA 20 T POSTI,1.11
479,HERBATA TETLAY 25 EX,1.76
480,HWEB SAGA SLIWKA EX 25 T,3.49
481,JACOBS KAWA 75 G UZUPELN,6.81
482,JACOBS KRONUNG 100G MIELONA,3.49
483,JACOBS KRONUNG 250G,7.9325
484,KAWA ASTRA 100G MIELONA,3.065
485,KAWA ASTRA 275 G MIELONA,8.33
486,KAWA INKA 150G KARTON,2.64
487,KAWA MK CAFE PREMIUM 80 G,2.59
488,KAWA NESCAFE 100 G CREME,8.78
489,KAWA NESCAFE 3W1  17G,0.47
490,KAWA NESCAFE CLASSIC 100 G,7.66
491,KAWA NESCAFE CLASSIC PALUSZEK,0.27
492,KAWA NSSCIRE 100 G MAG+B?ON,7.35
493,KAWA TCHIBO BLU 250 G,4.73
494,KAWA TCHIBO FAMILI 100G,2.21
495,KAWA WOSEBA GOLD 250G,4.73
496,KAWA WOSEBA RODZINNA 80G,1.53
497,KAWA ZBOZOWA ANATOL 84 G EX,1.95
498,KAWA ZBOZOWA PORANNA 100 G SL.,7.28
499,LIPTON 50 EX,6.97
500,LIPTON CEYLON 25 T,4.69
501,LIPTON EARL GREY 25 SZT,4.69
502,LIPTON EX 88 TOR.,8.99
503,LIPTON HERB.ZIELONA EARLY GREY 25 EX,3.62
504,LIPTON HERB.ZIELONA MALINA +TRUSK 25 EX,3.62
505,LOPTON PIRAMIDKA CYTRYNA 10 SZT,2.62
506,POP CORN SOLONY 90 G,1.2
507,POPCORN OK 90G DO MIKROFALI,1.01166666666667
508,PRIMA 100 G MIELONA,2.4
509,PRIMA 250G NIEBIESKA,5.52
510,PRIMA 500G NIEBIESKA,10.39
2235,BISZKOPTY 120 G MLYNY POLSKIE,3.25
2236,CAPPUCCINO WANILIA MOKATE 110GR,2.09
2237,EKOLAND HERBATA MALINOWA 300GR TORE,2.81
2238,EKOLAND HERBATA OWOCE LE?NE 300GR TOR,2.49
2239,HER.EXP.ASTRA SAFARI 50GR 25TOR,2.34
2240,HER.GRANULOW.INDYJ 80G CONSUM,1.07
2241,HERB MINUTKA 40TOR EXPRES,1.39
2242,HERB RUMIANEK 20 EX POSTI,1.11
2243,HERB SAGA 25 SZT CZARNA PORZECZ.,2.71
2244,HERB ZIELONA Z CYTRYNA 20 EX POSTI,1.94
2245,HERB.MINUTKA EXP 100SZT,2.59
2246,HERB.SAGA EXPR.20SZT,1.19
2247,HERBATA EXP.100T.AKBAR,7.24
2248,HERBATA EXP.25T AKBAR,2.29
2249,HERBATA LOYD 20 PIRAMID,3.53
2250,HERBATA LOYD PIRAMIDKA 20 SZT,3.53
2251,HERBATA MELISA POSTI 20EX,1.2025
2252,HERBATA MIETA 20T POSTI EXPRES,1.15
2253,HERBATA MINUTKA MALINA 20 T,1.64
2254,HERBATA POKRZYWA 20 T POSTI,1.11
2255,HERBATA TETLAY 25 EX,1.76
2256,HERBATA YUNAN GRANUL.ZAS 80G K,2.12
2257,HWEB SAGA SLIWKA EX 25 T,3.49
2258,JACOBS CRONAT GOLD 250G,8.78
2259,JACOBS CRONAT GOLD 75G UZUPELNIACZ,6.31
2260,JACOBS KAWA 75 G UZUPELN,6.81
2261,JACOBS KRONUNG 100G MIELONA,3.685
2262,JACOBS KRONUNG 250G,7.79
2263,JACOBS KRONUNG 250G,8.19
2264,KAKAO NESQUIK NESTLE 200G,4.23
2265,KAWA ASTRA 100G MIELONA,3.185
2266,KAWA ASTRA 275 G MIELONA,8.33
2267,KAWA INKA 150G KARTON,2.64
2268,KAWA MK CAFE PREMIUM 80 G,2.59
2269,KAWA NESCAFE CLASSIC 100 G,7.66
2270,KAWA NESCAFE CLASSIC 200 G SLOIK,15.8
