,name,unit_cogs
511,BOMBONIERA GALARETKS POM.190 G W CZEK,4.18
512,CHRUSCIKI /PACZKI LUZ,13.9608938547486
513,CIAST.KOWOLKA JEZYKI/KOKOSANKI,13.9
514,CIASTKA GERARD PSOTKI/KOKOS/KG,12.0
515,CIASTKA GERERD MAFIJNE/MARKIZY,13.44
516,CIASTKA PRIMAX LUZ,9.33333333333333
517,CUKIERKI KROWKA WAWEL/SOLIDARNOSC,14.2
518,CUKIERKI MIESZ KRAKOWSKA WAWEL,16.797619047618998
519,CUKIERKI MLECZNE /CHOCO/ROSHEN,13.5132275132275
520,CUKIERKI ROSHEN DE LUXE KG,17.0
521,CUKIERKI TOFFIX MIX IGLO,9.875
522,CUKIERKI TRUFLE ODRA LUZ,14.556962025316501
523,HELLENA FIT 1_25 GAZ,1.6
524,PIERNIK SERCA/KATARZYNKI/NADZIEWANE,6.3
525,PIERNIK W POLEWIE KOSTKA,10.3555555555556
526,RURKA NADZIEWANA LUZ,10.9318181818182
527,RURKA WAFLOWA SUCHA LUZ,12.677419354838701
528,WAFLE CHRUPS/LUMARKI/GRZESKI,10.895569620253198
529,WAFLE KWADRATY BIALE/CZARNE,12.1142857142857
530,WATA CUKROWA 400 G,0.7
531,ZESTAW SW BUT,10.5
2284,CHRUSCIKI /PACZKI LUZ,13.9351145038168
2285,CIASTKA CUKRY NYSKIE,12.166666666666698
2286,CIASTKA JIW KG,6.23134328358209
2287,CIASTKA MARKIZY MIX,10.978723404255302
2288,CUKIERKI BARON SW 1KG,14.0
2289,CUKIERKI KROWKA WAWEL/SOLIDARNOSC,14.1891891891892
2290,CUKIERKI MLECZNE /CHOCO/ROSHEN,12.9868995633188
2291,CUKIERKI TOFFIX MIX IGLO,9.91304347826087
2292,CUKIERKI VALENTINO SZT,0.25
2293,PIERNIK W POLEWIE KOSTKA,10.3140495867769
2294,RURKA NADZIEWANA LUZ,9.51785714285714
2295,WAFLE CHRUPS/LUMARKI/GRZESKI,9.78042959427208
2296,WAFLE PALUSZKI LUMMAR,9.04166666666667
4053,BOMBONIERA GALARETKS POM.190 G W CZEK,3.96666666666667
4054,CHRUSCIKI /PACZKI LUZ,13.6635220125786
4055,CIASTKA GRZYBEK W CZEKOLADZIE,18.7352941176471
4056,CIASTKA JIW KG,6.22463768115942
4057,CUKIERKI EUKALIPTUSOWE LUZ,12.076923076923098
4058,CUKIERKI KROWKA WAWEL/SOLIDARNOSC,13.875
4059,CUKIERKI MIESZ KRAKOWSKA WAWEL,16.7808219178082
4060,CUKIERKI MLECZNE /CHOCO/ROSHEN,13.40234375
4061,CUKIERKI OWOCOWE ROSHEN,8.91666666666667
4062,CUKIERKI VALENTINO SZT,0.25
4063,CUKIERKI VOBRO CZEKOL.LUZ,7.88
4064,RURKA NADZIEWANA LUZ,7.36190476190476
4065,RURKA WAFLOWA SUCHA LUZ,12.916666666666698
4066,WAFLE CHRUPS/LUMARKI/GRZESKI,9.7436974789916
5960,BOMBONIERA GALARETKS POM.190 G W CZEK,4.14
5961,CHRUSCIKI /PACZKI LUZ,13.646706586826301
5962,CIASTKA GRZYBEK W CZEKOLADZIE,19.0
5963,CUKIERKI CZEKOLADKI KROWKA LUZ,19.4
5964,CUKIERKI EUKALIPTUSOWE LUZ,11.925
5965,CUKIERKI KROWKA WAWEL/SOLIDARNOSC,14.351351351351399
5966,CUKIERKI MLECZNE /CHOCO/ROSHEN,13.246575342465801
5967,CUKIERKI OWOCOWE ROSHEN,8.90196078431373
5968,CUKIERKI ROSEN ZELKI LUZ,9.9375
5969,CUKIERKI VALENTINO SZT,0.25
5970,HERBATNIKI B-MOL SKAWA,10.2074074074074
5971,MILKA CZEKOLADA MLECZNA 270 G,6.91
5972,RURKA NADZIEWANA LUZ,7.39473684210526
5973,RURKA WAFLOWA SUCHA LUZ,12.7868852459016
5974,WAFLE CHRUPS/LUMARKI/GRZESKI,7.89495798319328
5975,WAFLE W CZEK./PALUSZKI/DEKOR,11.169014084507001
7920,BOMBONIERA GALARETKS POM.190 G W CZEK,3.88
7921,CHRUSCIKI /PACZKI LUZ,13.6388888888889
7922,CIAST.KOWOLKA JEZYKI/KOKOSANKI,13.677419354838701
7923,CIAST.KOWOLKI PUDER/MARMOLADA,12.450450450450498
7924,CIASTKA JIW KG,6.28571428571429
7925,CIASTKA PRIMAX LUZ,9.29411764705882
7926,CUKIERKI EUKALIPTUSOWE LUZ,12.08
7927,CUKIERKI KROWKA WAWEL/SOLIDARNOSC,14.333333333333302
7928,CUKIERKI MLECZNE /CHOCO/ROSHEN,12.788321167883199
7929,CUKIERKI OWOCOWE ROSHEN,8.90196078431373
7930,CUKIERKI ROSEN ZELKI LUZ,10.2564102564103
7931,CUKIERKI VALENTINO SZT,0.25
7932,HERBATNIKI B-MOL SKAWA,10.0555555555556
7933,LIDER PASJA ADWOKAT CIASTKA 2KG,18.4239130434783
7934,MILKA CZEKOLADA MLECZNA 270 G,6.91
7935,RURKA WAFLOWA SUCHA LUZ,12.696969696969699
7936,WAFLE CHRUPS/LUMARKI/GRZESKI,7.87974683544304
9932,BOMBONIERA GALARETKS POM.190 G W CZEK,3.88
9933,CHRUSCIKI /PACZKI LUZ,13.674778761061999
9934,CIAST.KOWOLKA JEZYKI/KOKOSANKI,13.8985507246377
9935,CIAST.KOWOLKI PUDER/MARMOLADA,12.52
9936,CIASTKA BEZY/TORTY,21.0
9937,CIASTKA GRZYBEK W CZEKOLADZIE,19.0
9938,CUKIERKI EUKALIPTUSOWE LUZ,12.066666666666698
9939,CUKIERKI KROWKA WAWEL/SOLIDARNOSC,14.0740740740741
9940,CUKIERKI MLECZNE /CHOCO/ROSHEN,12.486666666666698
