,name,unit_cogs
532,ALMETTE CZOSNEK NIEDZWIEDZI 150GR,2.68
533,ALMETTE JOGURTOWY 150G HOCHLAND,2.68
534,ALMETTE OGOREK/ZIOLA 150G,2.68
535,ALMETTE SER POMIDOR 150 G,2.68
536,ALMETTE SZCZYPIOREK CEBULA 150G,2.68
537,ALMETTE Z CHRZANEM,2.68
538,ALMETTE ZIOLOWY 150G SEREK,2.68
539,BAKOMA 7 ZBOZ SLIWKA 150GR,1.39
540,BAKOMA BAKUS DO KIESZONKI TRUSKAW.,1.57
541,BAKOMA BAKUS DO KIESZONKI WANIL.,1.57
542,BAKOMA GRECKI 180GR,1.63
543,BAKOMA OLEJ RZEPAKOWY,4.44
544,BAKOMA POLSKIE SMAKI  WISNIA 120 G,0.6
545,BAKOMA POLSKIE SMAKI130GR TRUSK,0.76
546,BAKOMA PREMIUM 150 G BRZOS+MARAKUJ,1.43
547,BAKOMA SATINA  KARMEL 170 G,1.18
548,BAKOMA SATINA CZEKOL.170 G,1.18
549,BAKOMA SATINA WANILIA 170 G,1.18
550,BAKOMA SEREK BAKUS WANILIA,1.18
551,BAKOMA SMIETANKA 10 SZT,1.48
552,BAKOMA TWIST  400G BRZOS,2.31
553,BAKOMA TWIST 250 G TRUSKAWKA,1.72
554,BATON FITELLA 25 G,1.07
555,BATON KINDER MAXI KING Z KARMELEM 35G,1.69
556,CHRUPKI KUKURYDZIANE  60 G,1.23777777777778
557,DA ACTIMEL  1 SZT,0.94
558,DA ACTIVIA 2X120G ?LIWKA MUSLI,2.5580000000000003
559,DA ACTIVIA 2X120G TRUSK/MUSLI,2.5366666666666697
560,DA DANIO 140 G SASZETKA TRUSK,1.91
561,DA DANIO 140 G WANILIA SASZETKA,1.69
562,DA DANIO BRZOSKWINIA 140G,1.07
563,DA DANIO CZEK+ORZECH 135 G,1.07
564,DA DANIO WANILIOWY 140G,1.07
565,DA DANONE GRATKA 115 G,0.54
566,DA DANONKI MEGA BRZOSK/JAGODA,3.71
567,DA DANONKI MEGA TRUSKAWKA/BANAN,4.73
568,DA DANONKI TRUSKAWE 4X50G,2.76
569,DA DANONKI WANILIOWE 4X50G,2.76
570,DA FANTASIA 100 G KULKI CZEKOL.,1.2515625
571,DA FANTASIA Z CZEKOLADA 110G,1.155
572,DA FANTASIA Z PLATKAMI CZEK.107G,1.55
573,DA FANTAZJA LOVE 98 G,1.32
574,DA FANTAZJA LUCKY 98 G,1.49
575,DA FANTAZJA TRUSKA 122G,1.48
576,DA FANTAZJA WISNIA 122G,1.14
577,DA GRATKA DO PICIA TRUSK.170G,0.89
578,DELECTA MIX DO SMIETANY,0.83
579,DESER JANA CZEKOLADOWY 120G,1.31290322580645
580,DESER JANA WANILIOWY 120GR,1.232
581,DESER MONTE 120 G KARMEL PLUS ORZECH,2.15
582,DESER MONTE 150 WHITE,1.72
583,DROZDZE BABUNI ROTEX,0.797567567567568
584,GALEO KWASWK CYTR,0.55
585,GOS.MASLANKA NATURALNA,2.29
586,GOS.MASLO 250G GOSTYN,6.256767676767678
587,GOS.MLEKO CODZIENNE 2_%,2.15
588,GOS.MLEKO KAJMAK WANILIOWE 510 G,6.14
589,GOS.MLEKO PUSZKA 510 GR KRÓWKOWE S?/ZAG,4.89
