,name,unit_cogs
716,BATON KINDER DELIC 39 G,1.5
717,CAPPY  1 L JAB?KO,3.28
718,CAPPY MULTIWITAMIN 1 L,4.22
719,COSTA CZARNA PORZECZKA 2L,2.39
720,COSTA JABLKOWA 2L,2.4
721,FORTUNA SOK POMARANCZ 0_3,1.8
722,HELANA N/G 1_75 JAB+RABARBER,2.44
723,HELLENA  ZIELONE JAB?KO N/G 1_75 L,2.44
724,HELLENA 1_25 GAZ LEMONIADA,1.57
725,HELLENA 1_75 L N/G  POMARANCZOWY,1.66
726,HELLENA ORANZADA BIALA 1_25K GAZ,1.35
727,HELLENA ORANZADA ZOLTA 1_25L GAZ,1.35
728,HELLENA WISNIA N/G 1_75L NAPOJ,1.66
729,JOGURT GRECKI 150 G JAGODA,1.27
730,JOGURT GRECKI 150 G TRUSK.,1.27
731,KNORR ZUPA KREM Z KUREK 59 G,3.5
732,KUBUS 0_9 L MAR.JABL.POMAR.,2.37
733,KUBUS 0_9 L MAR/MALIN/JABLKO,2.37
734,KUBUS GO 0_33 JA+BAN+MARCZ,1.17
735,KUBUS GO MAR+BRA+JAB 0_30,1.11
736,KUBUS MAR.BAN.JAB.0_33L,1.06
737,KUBUS MAR.BRZOS.JAB.0_33L,1.18
738,KUBUS MAR.JAB. MALINA 0_33L,1.06
739,KUBUS WATER 0_5 L TRUSKAWKA,1.44
740,KUBUS WATERR 0_5 JABLKO,1.44
741,KUBUS WATERRR MALINA 0_5L,1.44
742,KUBUS WOTER WODA N/G 0_5 L,1.19
743,LOWICZ SYROP MALINA 400 ML,3.39
744,NAP AQA 1_5 GAZ CYTR+MIETA,0.74
745,NAP AQA 1_5 L N/G TRUSKAWKA,0.73
746,NAP BLACK 250ML PUSZKA,0.97
747,NAP CAPRIO JABL.MALINA 2L,2.99
748,NAP CAPRIO JABLKO 2L,2.5
749,NAP CAPRIO POMARANCZ 2L,2.99
750,NAP COCA COLA 0_33L PUSZKA,1.2
