,name,unit_cogs
892,BATERIA 44 R3 MAXELL,0.96
893,BERLISO 180 G +20 G CZEKOL,1.21
894,BERLISO 180 G+20G TRUSKA,1.52764705882353
895,CIASTKA KRAKUSKI DESEROWE Z CUKREM 200G,1.96
896,CZARNUSZKA 50 G,2.17
897,CZEK.ALPEN GOLD 90G TRUS.,2.13
898,DR O KISIEL SLODKA CHWILA 32 G TRUS,1.18
899,DR OETKER KISIEL SLODKS CHWILA 32 G MAL,1.18
900,DROZDZE BABUNI 100G,0.64
901,FASOLA BIALA 400G SLON.OGROD,1.18
902,FASOLA PIEKNY JAS 400 SARITA,2.37
903,FASOLKA ZÓ?TA 400 G MROZONA,3.27
904,GOLARKA VENUS 2 SZT,2.04
905,HALLES LIMON,1.39
906,JOGURT NATURALNY 330 G GRECKI,2.77
907,KAMIS MAJERANEK 9 G,1.35
908,KASZKA MANNA 400 G SARITA,0.92
909,KLEJ SUPER GLU,1.12
910,KNORR FIX RURKI Z KURCZAKIEM,1.99
911,KNORR G.K KREM Z KURY Z GRZANKAMI,1.31
912,KNORR G.K MAKARON BOLONSKI,3.52
913,KNORR G.K. DANIE SER+BROKU? 50 G,3.52
914,KNORR G.K. GULASZOWA Z MAKARONEM,1.31
915,KNORR G.K. PIECZARKOWA,0.94
916,KNORR NUDLE CARBONARA 64 G,1.0
917,KNORR NUDLE PIECZONY KURCZAK  61 G,0.99
918,KRAKUS BARSZCZ CZERW.300 ML KONC,2.87
919,KRAKUS GULASZ ANGIELSKI  155G,3.01
920,KROKIETY Z MIESEM  GRZESKOWIAK,4.95
921,KUBUS WOTER 0_5 L N/G DZIUB.,1.39
922,MAKA JAGLANA 500 G,4.96
923,MIESZANKA KEKS 90 G,1.58
924,MLEKO KOKOSOWE 250 ML BANAN,3.4
925,MLEKO KOKOSOWE 250 ML CZEKOLADA,3.4
926,MLEKO KOKOSOWE 250 ML TRUSKAWKA,3.4
927,MOZZARELLA 125 G MINI,3.06
928,ORZESZKI W SKORUPCE 100G CEBULA,1.5
929,ORZESZKI W SKORUPCE 100G PAPRYKA,1.57
930,PAPRYKARZ KURCZAK DLA JUNIORA 125 G,2.13
931,PAPRYKARZ RYBKA DLA JUNIORA 125 G,2.13
932,PASSATA 680 G LOWICZ,3.97
933,PIZZA KEBAB 420 G,6.76
934,PLATKI FITNESS 225 G FRUITS,4.19
935,PLATKI FITNESS 30% CUKRU 225 G NESTLE,4.19
936,PLATKI RYZOWE 500 G BLYSKAWICZNE,4.75
937,POPCORN  SOLONY 90 G HELIO,1.55
938,PRECELKI DJ 150 GQ,1.26
939,PRZYPRAWA DO DROBIU 20 G,2.08
940,PRZYPRAWA DO ROSOLU,2.08
941,PRZYPRAWA POMID+CZOSNKOWA Z CZARNU 50 G,3.38
942,SER KASZTELAN 150 G,3.43
943,SOK Z BURAKA 1 L,6.18
944,SOK Z BURAKA 750 ML,3.84
945,SOK Z CZARNEGO BZU 750 ML 100%,6.7
946,SOK Z GRANATU 750 ML 100%,5.67
