,name,unit_cogs
970,ALMETTE SZPINAK 150 G,2.68
971,AMINO BLYSK GULASZOWA 61G,0.82
972,AMINO BLYSK. ROSOL Z KURY PIKANTNY,0.82
973,AMINO BLYSK.POMIDOROWA,0.92
974,AMINO B?YSK_PIECZARKOWA,0.82
975,AMINO SOS BOLONSKI 43G,1.13
976,AMINO SOS PIECZENIOWY CIEMNY 38GR,0.99
977,ANANAS PLASTRY 580 G GIANA,3.48
978,BAKOMA TWIST 400 G ZURAWIN,2.42
979,BUDYN CZEKOLADOWY DELECTA 64 G,0.84
980,BURACZKI WIORKI 360 G SLON.OGRÓD,1.48
981,C PYZY CIAZYNSKI,3.31
982,CHEETOS MIX 70 G,2.29
983,CHLEB RAZOWY 500G BENUS,2.78
984,CHLEB ZYTNI 500G BENUS,2.78
985,CUKIER 1KG,1.69
986,CUKIER BIALY 1KG,1.69
987,CUKIER BIALY 1KG,1.85
988,CUKIER PUDER 0_4KG JARACZEWO,1.39375
989,CYKORIA BUDYN SMIETANKOWY B/C 40 G,0.55
990,CYKORIA KALENDRA 20G,0.78
991,CYKORIA SNIEZKA 60 G,1.09
992,DANIE KACHNY KLOPSIKI 500 G W SOSIE KOPE,2.4
993,DESER MONTE 150 G CZEKOL,1.915
994,DR O AROMAT RUMOWY,1.07
995,DR.OET BUDYN SLODKA CHWILA WANILIA,0.98
996,DZEM SL.OGROD WISNIA 280G,1.81
997,DZEM WISNIOWY WY/SLODZ 310 G,3.28
998,FRYTKI  KARBOWANE  750G,5.74
999,GELLWE CUKIER WANILIOWY 15G,0.45
1000,GELLWE GALARETKA AGREST 79G,0.94
1001,GELLWE KISIEL CYTRYNOWY 38G,0.55
1002,GELLWE ZELATYNA 20 G,1.39
1003,GLUGOPIS Z CUKIERKAMI,3.76
1004,GROSZEK KON.SLONECZNY OGROD,1.18
1005,KAKAO DEKOMORENO 80 G,2.15
1006,KAKAO PUCHATEK 150G,2.59
1007,KAKAO PUCHATEK Z WITAM 300G,3.25
1008,KANAPKA  Z KURCZAKIEM,2.95
1009,KAPUSTA  KISZONA LUZ,2.17110896285044
1010,KETCHUP KOTLIN LAGODNY 450G,2.73
1011,KIELBASA BIA?A PARZONA KG,15.0807174887892
1012,KIELBASA PEPERONI KG,23.2352941176471
1013,KIELBASA SLASKA  KG,14.762886597938099
1014,KIELBASA ZYWIECKA KG,19.75
1015,KINDER MLECZNA KANAPKA,1.2
1016,KLUSKI SLASKIE 400G GRZESKOWIAK,3.33
1017,KNORR FIX DO GULASZU,1.77
1018,KNORR FIX DO SPAGH.4-SERY,1.93
1019,KNORR FIX SPAGETTI NAPOLI 45G,2.41
1020,KNORR G K OGORKOWA Z GRZANKAMI,1.14
1021,KNORR G.K POMIDOROWA Z RYZEM,1.31
1022,KNORR G.K. POMIDOROWA Z MAKARON,0.89
1023,KNORR SOS BOROWIKOWY 37 G,2.78
1024,KNORR SOS DO PIECZENI CIEMNY,1.81
1025,KNORR SOS SEROWY 34 G,3.08
1026,KNORR ZUPA CEBULOWA,2.9
1027,KNORR ZUREK DOMOWY EXPRES 42 G,1.12
1028,KRAKUS OGORKI KONS.865 G,4.1
1029,KROKIETY KASZTELAN 400G,4.95
1030,KUCHAREK 200 G,1.46
1031,KUKURYDZA W PUSZ.DAWTON 400G,1.88
1032,MAK MIELONY 200 G BACK MIT,3.43
1033,MAKA ZIEMNIACZANA 500G,1.52
1034,MARMOLADA ROZANA 350G,2.25
1035,MIESZANKA SUSZONYCH OWOCÓW 200G,3.89
1036,MIGDALY PLATKI 70 G HELIO,4.05
1037,MIOD LIPOWY 220 PASIEKA B.,4.83
1038,MUSZTARDA SAREPSKA 0_9L PEGAZ,3.43
1039,MUSZTARDA STOLOWA 200G PEGAZ,1.35
1040,NAP AQA 1_5 L GAZ ZURAWINA,0.73
1041,OCET 0_5L 10% PEGAZ,1.20707317073171
1042,OCET JABLKOWY 250 ML,4.24
1043,OCET KULINARNY 0_480 ML L PLASTIK,0.92
1044,OLIWKI CZARNE DRYLOWANE 70 G,3.17
1045,ORZECHY WLOSKIE 100 G KRESTO,6.76
1046,OTREBY PSZENNE 125 STOISLAW,0.6
1047,PALUSZKI BESKIDZKIE SOLONE 300G,2.39
1048,PAPIER TOALETOWY 8 2W MEA,3.12
1049,PASTA D/BUTOW BUWI CZARNA PUSZKA 40ML,2.39
1050,PASZTET DROBIOWY  DROP 160,1.27
1051,PESTKI DYNI 100G FRESCO,3.71
1052,PIECZARKI MAR. URBANEK 290 G,3.49
1053,PIECZYWO SONKO LEKKIE ZYTNIE 170GR KARTO,2.97
1054,PIECZYWO WASA LEKKA  ZYTNIE,2.99
1055,PIEROGI RUSKIE 400G GRZESK.,3.62
1056,PIEROGI Z SEREM 400 G GRZESKOWIAK,4.19
1057,PIEROGI ZE SZPINAKIEM,3.9
1058,PIZZA Z SZYNKA+PIECZARKI 425 G,6.2
1059,PLATKI OWSIAN GORSKIE 500G,1.75
1060,POMIDORY  SUSZONE OLE 280 G,4.22
1061,POMIDORY CA?E 400 G SLONECZ.OGROD,1.57
1062,POSYPKA KOLOR,0.86
1063,POWIDLA SLIWKA SLON.OGROD 290G,2.22
1064,POWIDLA STOVIT 240 G,2.09
1065,PRZYPRAWA DO MIESA MIELONEGO CYKORIA,0.77
1066,PUDL GOLABKI W POMID 500 G,5.29
1067,PUDL KUKURYDZA 400G PUSZKA,2.13
1068,PYZY KLUSKI NA PARZE,2.38
1069,PYZY WIEJSAKIE DOLCZEWSKI,2.9
1070,RODZYNKI 100G KRESTO,1.46
1071,S SERNIK,9.5
1072,SIEMIE LNIANE 400 G,2.9
1073,SKORUPKA BURACZKI MIAZGA 385G,1.6
1074,SKORUPKA SALATKA WARZYWNA 500 G,1.94
1075,SLONECZNIK LUSKANY  200G HELIO,1.85
1076,SOL KAMIENNA KLODAWA,0.64
1077,SOL KUJAWSKA 1 KG JODOWANA,0.73
1078,SONKO RYZ 1 KG BIALY,2.59
1079,SP KURCZAK W GALARECIE,4.09
1080,SP SMALEC CZYSTY 180G,2.63
1081,SP SMALEC Z CEBULA I CZOSNKIEM,2.63
1082,SP SMALEC Z SKWAR/MAJER 180G,2.63
1083,SYROP MALINA Z ZURAWINA 420ML,3.19
1084,VEGETA 200G,2.46
1085,VEGETA 75G,1.11
1086,VIFON DANIE W STYL.TAJSKIM,3.9
1087,WAFLE KUKURYDZIANE 100GR,2.52
1088,WAFLE LEKKIE LIGHT FOOD 58GR,2.36
1089,WAFLE RYZOWE  MUSLI Z KI BANA.130 G SONK,1.66
1090,WAFLE SUNNY 60 G NATURALNE,2.2557142857142902
1091,WIN BARSZCZ CZERWONY 60 G,1.36
1092,WIN BUDYN MALINOWY 60GR,0.75
1093,WIN BUDYN WANILIOWY 60G,0.75
1094,WIN GALARETKA AGRESTOWA 79G,1.25
1095,WIN GALARETKA CYTRYNOWA  79G,1.19
1096,WIN GALARETKA TRUSKAWKA 79G,1.16
1097,WIN GALARETKA WISNIOWY 79G WINIARY,1.01
1098,WIN KISIEL TRUSKAWKOWY 77G,0.92
1099,WIN KISIEL WISNIOWY Z CUK 77G,0.7
1100,WIN MAJONEZ DELIKATNY 250 ML,2.39
1101,WIN POMYSL NA KURCZAK W SOS SMIET ZIOLOW,2.13
1102,WIN POMYSL NA RYBE NA SOS KOPERKOWY,2.19
1103,WIN POMYSL NA SPAG.PO BOLONSKU,1.79
1104,WIN POMYSL..KLOPSIKI,2.76
1105,WIN POMYSL..ZAPIEKANKE Z SZYNKA,2.19
1106,WIN ROSOL DROBIOWY 120G,2.55
1107,WIN ROSOL DROBIOWY 60G,1.36
1108,WIN SOS GRZYBOWY 34G,1.31
1109,WIN SOS MYSLIWSKI 33GR,2.29
1110,WIN SOS PIECZ/CIEMNY 30G,1.04
1111,WIN SOS PIECZENIOWY JASNY,1.03
1112,WIN SOS POMIDOROWY 38G,0.98
1113,WIN ZELATYNA SPOZYWCZA,3.71
1114,WIN ZUPA GROCHOWA 75GR,1.21
1115,WIN ZUPA OGORKOWA 44GR,2.13
1116,WIN ZUPA ZUREK 49 G,1.21
1117,ZAPRAWA CYTRYNOWA 500G,1.46
1118,ZELATYNA SPOZYWCZA 50G CYKORIA,2.41
1119,ZELATYNA Z PRZYPR.CYKORIA,1.42
1120,ZESTAW SW Z KUBKIEM,8.88
1121,ZUPA PIECZARKOWA NORDIS,4.24
1122,ZUPA VIFON KURCZAK PIECZ.LAGODNY,0.92
1123,ZUPA VIFON KURCZAK ZLOTY,0.92
2737,AMINO BLYSK  BARSZCZ CZERWONY,1.01
2738,AMINO BLYSK GULASZOWA 61G,0.915
2739,AMINO BLYSK. ROSOL Z KURY PIKANTNY,0.82
2740,AMINO BLYSK.POMIDOROWA,0.969565217391304
2741,AMINO B?YSK_PIECZARKOWA,0.82
2742,AMINO SOS BOLONSKI 43G,1.27
2743,AMINO SOS PIECZENIOWY CIEMNY 38GR,1.41
2744,ANANAS PLASTRY 580 G GIANA,3.48
2745,BURACZKI WIORKI 360 G SLON.OGRÓD,1.48
2746,C PYZY CIAZYNSKI,3.31
2747,CHEETOS MIX-UPS 70 G,2.29
2748,CUKIER 1KG,1.55888888888889
2749,CUKIER BIALY 1KG,1.85
2750,CUKIER BIALY 1KG,1.69
2751,CUKIER BIALY 1KG,1.634
2752,CUKIER PUDER 0_4KG JARACZEWO,1.42
2753,CUKIER TRZCINOWY SANTE 500G,2.99
2754,CYKORIA BUDYN SMIETANKOWY B/C 40 G,0.55
2755,CYKORIA SNIEZKA 60 G,1.09
2756,DANIE KACHNY KLOPSIKI 500 G W SOSIE KOPE,2.4
2757,DESER MONTE 150 G CZEKOL,1.9140740740740705
2758,DR.O CIASTO KOPIEC KRETA,6.69
2759,DR.OET BUDYN SLODKA CHWILA WANILIA,0.98
2760,DZEM SL.OGROD WISNIA 280G,1.81
2761,DZEM WISNIOWY WY/SLODZ 310 G,3.28
2762,FRYTKI  KARBOWANE  750G,5.74
2763,FRYTKI KARBOWANE 450 G AVIKO,2.95
2764,GELLWE CUKIER WANILIOWY 15G,0.38
2765,GELLWE GALARETKA AGREST 79G,0.94
2766,GELLWE KISIEL CYTRYNOWY 38G,0.55
2767,GELLWE ZELATYNA 20 G,1.39
2768,GROSZEK KON.SLONECZNY OGROD,1.22
2769,GULASZ ANGIELSKI 300 G,4.6
2770,JABLKO PRAZONE 720 G STOVIT,5.85
2771,KAKAO DEKOMORENO 150 G,3.7
2772,KAKAO DEKOMORENO 80 G,2.15
2773,KAKAO PUCHATEK Z WITAM 300G,3.75
2774,KAPUSTA  KISZONA LUZ,2.17060367454068
2775,KETCHUP KOTLIN LAGODNY 450G,2.73
2776,KIELBASA PEPERONI KG,23.792452830188694
2777,KIELBASA SLASKA  KG,14.222929936305697
2778,KINDER MLECZNA KANAPKA,1.20666666666667
2779,KLUSKI SLASKIE 400G GRZESKOWIAK,3.33
2780,KNOR SOS DO SAL WLOSKI 9G,0.9
2781,KNORR FIX DO GULASZU,1.77
2782,KNORR FIX SPAGETTI NAPOLI 45G,2.41
2783,KNORR G K OGORKOWA Z GRZANKAMI,1.193125
2784,KNORR G.K. POMIDOROWA Z MAKARON,0.976
2785,KNORR SOS BOROWIKOWY 37 G,2.78
