,name,unit_cogs
0,BELLA HERBS 12 Z WERBENA,2.39
1,BELLA PODPASKI BLUE MAX,2.85
2,BELLA PODPASKI NORMAL 20 B/SKRZYD,1.76
3,BELLA PODPASKI NORMAL MAXI 10,2.14
4,BELLA PODPASKI NOVA MAXI 10,2.66
5,BELLA PODPASKI PERF.BLUE 10,2.85
6,EVA MYDLO W PLYNIE Z DOZ 500 MML,3.71
7,PLYN DO ZATLUSZCZONYCH POWIERZCHNI  750,5.49
8,PLYN KAMIEN I RDZA 750 ML,5.49
9,PODPASKI BELLA  NOVA 10 SZT,2.05
10,BIBULA KOLOR,0.75
11,ZESZYT W LINIE 32 K,0.49
714,BEBIKO 1,15.34
715,BOBOVITA KASZKA MLECZ/RYZ TRUSKAWKI,6.93
1319,DANIE KACHNY FLACZKI W ROSOLE,3.9
1320,DANIE KACHNY KLOPSIKI,2.65
1321,DANIE KACHNY PULPETY,2.78
1322,SP GALARETKA DROBIOWA 200G,3.03
1323,SP GALAT WIEPRZOWY 200G,2.96
1385,AMINO BLYSK OGORKOWA,0.92
1386,MAR DELMA EXTRA 450 G,2.2720689655172404
1387,MAR KASIA 250G,1.81
1388,MAR MLECZNA 250G KRUSZWICA,1.2
1389,MAR PALMA BIELMAR 250G Z MURZYNKIEM,1.75
1390,MAR PALMA KRUSZWICA 250G,1.32
1391,MAR PYSZNY DUET 450,2.65
1392,MAR SNIADANIOWA 450 G,2.5
1393,MAR ZWYKLA 250G KRUSZWICA,1.2
1394,MARGARYNA NIEZB?DNA Z MAS?EM 500G,1.78
1395,MASLO ROSLINNE 250 G KRUSZ,1.66
1396,MASLO ROSLINNE ZPT WARSZAWA 500G,3.06
1397,OLEJ KUJAWSKI 1L,5.0325
1398,OLEJ LNIANY 200 ML,5.53
1399,OLEJ NIEZBEDNY 0_5L,2.53
1400,OLEJ OLIWIER 1 L,6.5
1401,PRYMAT CURRY,0.99
1402,BUTELKA-0_33,0.42
1403,KARMA CHAPPI  WOLOW/WARZYWA 500G,2.84
1404,KARMA CHAPPI WOLOWINA KURA 500G,2.75
1405,KARMA CHAPPI Z DROBIEM 400 G,2.7
1406,KARMA MR DOG  415 G PUSZKA KURCZ-WARZ,1.44
1407,KARMA MR DOG 415 G PUSZKA WOLOW+WARZYW,1.46
1408,KARMA MR DOG 415 PUSZKA JUNIOR KURCZAK,1.44
1409,KARMA MR DOG SUPREM 500G,2.13
1410,KARMA MR DOG SUPREME 500G,2.13
1411,ZELKI NIM 2 HEROS 90 G,2.0
1412,POMPKA HEYAH 5 ZL,3.85
1413,POMPKA ORANGE 5 ZL,3.87
1414,POMPKA SIMPLUS 5 ZL,3.85
1415,PIESEK Z CUKIERKAMI,4.21
1416,PODKOLANOWKI 2PARY,1.96
1417,PODKOLANOWKI-SKARPETY 2 PART,1.53
1418,RAJSTOPY  LADY GLAMOUR_ CZARNE R.2,2.6
1419,RAJSTOPY 15 DEN INEZ,3.15
1420,RAJSTOPY 15 DEN INEZ,3.15
1421,RAJSTOPY 15 DEN INEZ,3.15
1422,RAJSTOPY 20 DEN  XXL,2.16
1423,RAJSTOPY 20 DEN L,1.74
1424,RAJSTOPY 20 DEN XL,1.91
1425,RAJSTOPY 40 DEN,5.0
1426,RAJSTOPY 60 DEN,5.5
1427,SKARPETY,1.65
1825,BELLA HERBS 12 Z WERBENA,2.39
1826,BELLA PODPASKI NORMAL MAXI 10,2.14
1827,BELLA PODPASKI NOVA MAXI 10,2.65
1828,PLYN DO ?AZIENKI 1 L ZÓ?TY,4.39
1829,PLYN KAMIEN I RDZA 750 ML,5.49
1830,WATA BAWELNIANA BELLA 100G,2.41
1831,BALON KOLOR,0.21
1832,BIBULA KOLOR,0.75
1833,ZESZYT W LINIE 32 K,0.49
2486,BEBIKO 1,15.34
3081,DANIE KACHNY FLACZKI W ROSOLE,3.9
3082,DANIE KACHNY PULPETY,2.78
3083,SP GALAT WIEPRZOWY 200G,2.96
3117,MLEKO MLEKOVITA 1 L 3_2%,2.02
3135,AMINO BLYSK OGORKOWA,0.92
3136,KASZA KUSKUS 350 G,3.42
3137,MAR DELMA EXTRA 450 G,2.2755
3138,MAR FLORA PRO  225 G,8.55
3139,MAR KASIA 250G,1.82076923076923
3140,MAR MLECZNA 250G KRUSZWICA,1.2
3141,MAR PALMA BIELMAR 250G Z MURZYNKIEM,1.62571428571429
3142,MAR PALMA KRUSZWICA 250G,1.3952380952381
3143,MAR SNIADANIOWA 450 G,2.545
3144,MAR ZWYKLA 250G KRUSZWICA,1.24375
3145,MARGARYNA NIEZB?DNA Z MAS?EM 500G,1.78
3146,MASLO ROSLINNE 250 G KRUSZ,1.66
3147,OLEJ KUJAWSKI 1L,5.02235294117647
3148,OLEJ LNIANY 200 ML,5.52
3149,OLEJ NIEZBEDNY 0_5L,2.53
3150,OLEJ SLONECZNIKOWY BARTEK 1L,6.04
3151,PRYMAT CURRY,0.99
3152,BUTELKA-0_33,0.42
3153,KARMA CHAPPI  WOLOW/WARZYWA 500G,2.84
3154,KARMA CHAPPI WOLOWINA KURA 500G,2.75
3155,KARMA CHAPPI Z DROBIEM 400 G,2.7
3156,KARMA MR DOG 415 G PUSZKA WOLOW+WARZYW,1.46
3157,KARMA MR DOG SUPREME 500G,2.1442857142857097
3158,KARMA PEDRIGE 100 G JUNIOR,1.13
3159,POMPKA HEYAH 5 ZL,3.85
3160,POMPKA ORANGE 5 ZL,3.87
3161,POMPKA SIMPLUS 5 ZL,3.8396
3162,PODKOLANOWKI MIKROFIBRA 40,2.55
3163,PODKOLANOWKI-SKARPETY 2 PART,1.53
3164,PODKOLANÓWKI 2 PARY,1.76
3165,RAJSTOPY 15 DEN INEZ,3.15
3166,RAJSTOPY 15 DEN INEZ,3.15
3167,RAJSTOPY 20 DEN  XXL,2.16
3168,RAJSTOPY 20 DEN L,1.74
3169,RAJSTOPY 20 DEN XL,1.91
3170,RAJSTOPY 40 DEN,4.99
3171,RAJSTOPY STRETCH -3,2.2
3172,RAJSTOPY STRETCH -4,2.2
3173,SKARPETKI BALLERINA,2.73
3565,BAMBINO SZAMPON 400 ML,6.29
3566,BELLA HERBS 12 Z WERBENA,2.39
3567,BELLA PODPASKI BLUE MAX,2.89
3568,BELLA PODPASKI NORMAL 20 B/SKRZYD,1.76
3569,BELLA PODPASKI NORMAL MAXI 10,2.07
3570,BELLA PODPASKI NOVA MAXI 10,2.65
3571,BELLA PODPASKI PERF.BLUE 10,2.89
3572,BELLA PODPASKI PERFECTA GREEN,2.89
3573,EVA MYDLO W PLYNIE Z DOZ 500 MML,3.71
3574,SZAMPON HEAD S CHOUERS 400 ML CYTRUS,10.99
3575,TAMPON BELLA A/8 REGULAR,2.99
3576,WATA 100G BELLA,1.98
3577,BALON KOLOR,0.21
3578,PAPIER KOLOROWY A4,0.84
3579,SERWETKI WIELKANOCNE 20 SZT,1.99
3580,ZESZYT W LINIE 16 K,0.59
4931,DANIE KACHNY FLACZKI W ROSOLE,3.9
4932,POMIDORY KROJONE 400 ML PUSZKA SLON.OGRÓ,1.59
4933,SP GALARETKA DROBIOWA 200G,3.03
4934,SP GALAT WIEPRZOWY 200G,2.96
4999,KASZA KUSKUS 350 G,3.42
5000,MAR DELMA EXTRA 450 G,2.29
5001,MAR KASIA 250G,1.83
5002,MAR PALMA BIELMAR 250G Z MURZYNKIEM,1.46
5003,MAR PALMA KRUSZWICA 250G,1.4
5004,MAR SNIADANIOWA 450 G,2.53
5005,MAR ZWYKLA 250G KRUSZWICA,1.22216216216216
5006,MASLO OSELKOWE 275G JAGR,3.06
5007,MASLO ROSLINNE ZPT WARSZAWA 500G,3.06
5008,OLEJ KUJAWSKI 1L,5.0475
5009,OLEJ LNIANY 200 ML,5.52
5010,OLEJ NIEZBEDNY 0_5L,2.53
5011,OLEJ SLONECZNIKOWY BARTEK 1L,6.04
5012,PRYMAT CURRY,0.99
5013,BUTELKA-0_33,0.42
5014,WIADERKO OPAKOWANIE,2.0
5015,KARMA CHAPPI  WOLOW/WARZYWA 500G,2.84
5016,KARMA CHAPPI D/P DROB.WAR.500G,3.0
5017,KARMA CHAPPI WOLOWINA KURA 500G,2.75
5018,KARMA MR DOG SUPREME 500G,2.15
5019,POMPKA ERA TAK TAK 5 ZL,3.87
5020,POMPKA HEYAH 5 ZL,3.85
5021,POMPKA ORANGE 5 ZL,3.87
5022,POMPKA SIMPLUS 5 ZL,3.83
5023,PIESEK Z CUKIERKAMI,4.21
5024,PODKOLANOWKI 2PARY,1.96
5025,PODKOLANOWKI MIKROFIBRA 40,2.55
5026,PODKOLANOWKI-SKARPETY 2 PART,1.53
5027,PODKOLANÓWKI 2 PARY,1.76
5028,RAJSTOPY 15 DEN INEZ,3.15
5029,RAJSTOPY 20 DEN  XXL,2.16
5030,RAJSTOPY 20 DEN L,1.74
5031,RAJSTOPY 20 DEN XL,1.91
5032,RAJSTOPY 40 DEN,4.99
