,name,unit_cogs
1124,DANIE KACHNY STROGONOW 500 G,4.0
1125,FASOLA 400 G P.JAS MALVIT,4.13
1126,GROCH POLÓWKI 0_5 KG STEFIK,1.43
1127,GROCH ?Ó?YT CA?Y 400GR CENOS,1.04
1128,KASZA GRYCZANA 4 X 100G SONKO,3.33
1129,KASZA JAGLANA 400 G,2.43
1130,KASZKA MANNA 400 G KROS,0.91
1131,LAURKA,3.65
1132,MAK LUBELLA  ZIARNO SWIDERKI 400G,2.02
1133,MAK LUBELLA KÓLKA MINI 400 G,2.36
1134,MAK SULMA KOLANKO DUZA 500G,2.59
1135,MAK SULMA MUSZELKA 100% DURUM,2.3
1136,MAK SULMA NITKA ROSOLOWA 400G,2.13
1137,MAK SULMA SWIDEREK DUZY 500G,2.35
1138,MAK ZLOTY LAN KOLANKO DUZE 500 G,0.92
1139,MAK ZLOTY LAN MUSZELKA 500 G,0.89
1140,MAK ZLOTY LAN NITKA DOMOWA 250,0.96
1141,MAK.ABAK ZACIERKA BABUNI 250G,1.52
1142,MAK.LUBELLA SWIDER 500 G,2.31
1143,MAKA KOSZALINSKA  STOISLAW 1KG,1.72
1144,MAKA KRUPCZATKA  ZLOTY LAN TYP 450 1KG,1.66
1145,MAKA KRUPCZATKA 1KG STOISLAW,1.96
1146,MAKA LUKSUSOWA ZLOTY LAN TYP 550 1KG,1.09
1147,MAKA POZNANSKA 1 KG STOISLAW,1.66
1148,MAKA TORTOWA 1KG STOISLAW,1.96
1149,MAKA TORTOWA BASIA 1 KG,1.81
1150,MAKA WROCLAWSKA 1KG STOISLAW,1.72
1151,MAKA WROCLAWSKA BASIA 1 KG,1.81
1152,MAKA WROCLAWSKA ZLOTY LAN TYP 500 1KG,1.11
1153,MAKA ZIEMNIACZANA 1KG,3.34
1154,MAKARON ABAK BABUNI 250G 2 JAJ,1.57
1155,MAKARON CZANIECKI 250G SWOJSKI,1.93
1156,MAKARON CZANIECKI GNIAZDKO 2,4.02
1157,MAKARON CZANIECKI NITKA WALCOWANA 500G,3.98
1158,MAKARON CZANIECKI RYZOWY 250 G,2.17
1159,MAKARON IRWEGA 500 G RURKA,1.59
1160,MAKARON IRWEGA 500G KOLANKO,1.59
1161,MAKARON LASAGNE 500G LUBELLA,6.13
1162,MAKARON LUBELLA MUSZELKA DROBNA,2.4
