,name,unit_cogs
1180,BARSZCZ UKRAINSKI 450G NORDIS,1.97
1181,BROKUL MROZONY 450 G,3.49
1182,BROKULY MROZONE 450 GR MORDIS,4.58
1183,BRUKSELKA 450 G,3.67
1184,BUKIET KROLEWSKI 450G NORDIS,1.99
1185,BURGERY Z WARZYWAMI LUZ RYBNE,5.73913043478261
1186,FILET Z MIRUNY,16.3175965665236
1187,FRYTKI KARBOWA 450 G,3.18
1188,FRYTKI KARBOWANE  NORDIS 750G,3.27
1189,FRYTKI ORGINA? 750 G IGLOT,5.22
1190,JOGURT ZOTT 125 G SERDUSZKO,0.92
1191,KALAFIOR MROZONY NORDIS,3.64
1192,KNEDLE TRUSKAWKOWE 450 G,4.53
1193,KOPYTKA 450 G,3.75
1194,LODT CZEKOLADA 900 ML ALGIDA,6.52
1195,LODY  /,1.07
1196,LODY BAKALIOWE 1 L ALGIDA,6.38
1197,LODY BASALA KUBEK 150 ML,2.41
1198,LODY BIG MILK FRUIT 100G,1.44
1199,LODY COFFE LATTE 200 ML,2.31
1200,LODY GRAND GOLD,2.48
1201,LODY ICE FRESH 200 ML,2.41
1202,LODY JAK DAWNIEJ 180 ML,2.51
1203,LODY KAKTUS 45ML,1.12
1204,LODY KOKTAJLOWE KUKULKA,2.06
1205,LODY KOLORKI MAX,1.0
1206,LODY LULEK BARWIACY,0.49
1207,LODY MAGNUM CLASSIC,3.65
1208,LODY MLYNARCZYK 900 ML,6.5
1209,LODY NOGGER TOFI KARMEL 90 ML,2.05
1210,LODY PINGWIN W CZEKOL.,0.75
1211,LODY RAKIETA,0.56
1212,LODY ROZEK JAGODA,1.09
1213,LODY ROZEK JAK DAWNIEJ 180 ML,2.87
1214,LODY ROZEK MALINA,1.15
1215,LODY TOP MILK,0.69
1216,LODY TOP MILK WCZEKOLADZIE,1.07
1217,MARCHEW KOSTKA  MROZONA,2.15
1218,MARCHEW Z GROSZKIWM 470 G SLON OGROD,2.0
1219,NORDIS FASOLA SZPARAG.CIETA 450G,3.5
1220,PALUSZKI RYBNE  LUZ,13.933333333333302
1221,PIEROGI Z MIESEM ELBRO,5.31
1222,PIEROGI Z MIESEM NORDIS 450 G,4.83
1223,PIEROGI Z SEREM 450 G,4.63
1224,PIZZA 4 SERY,6.76
1225,PIZZA GUSTAVO 425 G,5.34
1226,PORCJA ROSO?OWA MROZONA LUZ,2.3828125
1227,PYZZY Z MIESEM 450 G,4.44
1228,SZPINAK 450G NORDIS.,3.01
1229,SZPINAK LISC,4.41
1230,SZPINAK LISC 300 G FROSTA,3.85
1231,SZPINAK SIEKANY 450 G,3.16
1232,TRUSKAWKA MR.450G NORDIS,6.97
1233,WARZYWA NA PATELNIE 400G,3.65
1234,WARZYWA NA PATELNIE 450G CALFLOST,3.74
1235,WARZYWA NA PATELNIE WIEJSKI NORDIS 450G,3.45
1236,WARZYWA NA PATELNIE WIEJSKIE,1.97
1237,WARZYWA NA PETELNIE Z ZIEMNIAKAMI 500G,3.5
1238,WISNIE DRYLOWANE 450G ADMAT,6.49
1239,WLOSZCZYZNA,2.88
1240,WODA AQA 0_7 L SPORT N/G,0.84
1241,WODA AQA 1_5 L GAZ,0.44
1242,WODA AQA 1_5 L N/G,0.44
1243,WODA DOBROWIANKA1_5 L GAZ LEKKI,0.97
1244,ZAPIEKANKA SZYN+PIECZ 200 G,1.88
1245,ZAPIEKANKA Z PIECZAR_235 G,2.55
1246,ZAPIEKANKA Z SZYNKA 190 G,2.46
1247,ZUPA KALAFIOROWA 450 G,3.04
1248,ZUPA OGORKOWA,3.12
1249,ZUPA WEGIERSKA  450 G,3.89
1250,ZUPA WIOSENNA 450G NORDIS,1.97
2935,BARSZCZ UKRAINSKI 450G NORDIS,2.7
2936,BROKULY MROZONE 450 GR MORDIS,4.58
2937,BUKIET KROLEWSKI 450G NORDIS,1.99
2938,FASOLA SZPARAGOWA ZIELONA 450 G,3.2
2939,FILET Z MIRUNY,17.840625
2940,FILETY Z DORSZ B/S,23.383928571428598
2941,FRYTKI AVIKO 900 G,4.3
2942,FRYTKI KARBOWA 450 G,3.18
2943,FRYTKI KARBOWANE  NORDIS 750G,3.27
2944,FRYTKI ORGINA? 750 G IGLOT,5.22
2945,JOGURT ZOTT 125 G SERDUSZKO,0.8463157894736841
2946,KALAFIOR MROZONY 500 G,3.02
2947,KALAFIOR MROZONY NORDIS,3.64
2948,KNEDLE TRUSKAWKOWE 450 G,4.53
2949,LODY  /,1.07
2950,LODY BAKALIOWE 1 L ALGIDA,6.38
2951,LODY CASSATE,5.9
2952,LODY CHOCKOBERRY 60 ML,1.06
2953,LODY CLIIR,1.3
2954,LODY COFFE LATTE 200 ML,2.31
2955,LODY GRAND GOLD,2.48
2956,LODY GRAND SMIET/O,1.99
2957,LODY JAK DAWNIEJ 900 ML SMIET+TRUS,10.24
2958,LODY JAK DAWNIEJ BAKALIA 120 ML,2.87
2959,LODY JOCKER  KORAL,0.69
2960,LODY KOKTAJLOWE KUKULKA,2.00444444444444
2961,LODY KOLORKI MAX,1.0
2962,LODY KORAL 900 ML WANILIA,9.77
2963,LODY LULEK MIX BARWIJEZOR,0.54
2964,LODY NOGGER TOFI KARMEL 90 ML,2.05
2965,LODY OSKAR SMIET.W CZEKOLADZIE,1.04
2966,LODY PALECZKA LODOWA NORDIS,0.43
2967,LODY PINGWINY  MLYNARCZYK B/POL,0.65
2968,LODY ROLADA 1 L,6.83
2969,LODY ROLADA LORAL,6.83
2970,LODY ROLADA MIX,6.62
2971,LODY ROLLER,1.05
2972,LODY ROZEK,1.32
2973,LODY ROZEK BANAN,1.09
2974,LODY ROZEK COOK 120 ML,1.56
2975,LODY ROZEK CYTRYNA ICE MASTRY,1.26
2976,LODY ROZEK CZEK Z TOPINGIEM,0.99
2977,LODY ROZEK MALINA,1.15
2978,LODY ROZEK MIX LOTERIA,1.32
2979,LODY ROZEK MLYNARCZYK,1.0
2980,LODY ROZEK SERNIKOWY 115 ML,1.09
2981,LODY ROZEK SMIETANKOWY,1.44
2982,LODY TOP MILK,0.69
2983,LODY TOP MILK LIMON,0.69
2984,LODY TORTUFFO KOKOS,2.08
2985,MARCHEW KOSTKA  MROZONA,2.15
2986,MARCHEW Z GROSZKIWM 470 G SLON OGROD,2.01
2987,MIESZANKA WARZYWNA 500G,3.24
2988,PALUSZKI RYBNE  LUZ,14.0714285714286
2989,PIEROGI RUSKIE 450 G,4.22
2990,PIEROGI Z KAP I GRZYBAMI 450 G,3.59
