,name,unit_cogs
1251,BATON 3BIT 46/51 G,0.92
1252,BATON NUTELLA 2 SZT,2.13
1253,BRYKIET WEGLA 2_5,5.57
1254,BULION KNORR GRZYBOWY (3L)60G KOSTKI,1.87
1255,BULKA TARTA MAMUT 450 G,1.87
1256,CHRZAN DYMECKI 200G,1.71
1257,DZEM SLONECZNY OGROD BRZOSKWINIOWY 280G.,1.74
1258,DZEM SLONECZNY OGROD CZARNA PORZECZ.280G,1.81
1259,DZEM SLONECZNY OGROD TRUSKAWKOWY 280G,1.81
1260,DZEM TRUSKAWKA 310 G WYSOKOS?ODZONY,3.28
1261,FASOLA CZERWONA SLONECZNY OGROD 400G.,1.47
1262,HELLENA 1_75 L N/GAZ WINOGRONO,1.66
1263,HELLENA GRUSZKA N/GAZ.1_75L,1.66
1264,HELLENA ORENZADA CZERWONA 1_25 L GA,1.30862068965517
1265,HER.EXP.MALWA ARONIA x25,2.69
1266,KASZA KUSKUS 2*125 G,2.64
1267,KAWA ZBOZOWA KUJAWIANKA 500G,2.85
1268,KETCHUP KOTLIN PIK.450G,2.73
1269,KETCHUP LAGODNY 470 G TORTEX,2.13
1270,KINDER BATON 2 SZT MAXI,1.66
1271,KLUSKI NA PARZE 300G,2.38
1272,KNORR DELIKAT UNIWERSALNA 200G,3.29
1273,KNORR FIX DANIE ORIENTALNE 48 G,1.99
1274,KNORR NUDLE SER W ZIOLACH,1.66
1275,KONCENTRAT DAWTONA 200G SLOIK,1.53
1276,KONCENTRAT POM DAWTONA 80G SLOIK,0.92
1277,KONCENTRAT POMIDOROWY 190 G SLON.OGROD,1.01
1278,KOTLIN KETCHUP  PIKANTNY 215ML,2.25
1279,KOTLIN KETCHUP LAGODNY 215ML,2.25
1280,KUBUS WATER 0_5L  CYTRYNOWA,1.44
1281,LAURKA,1.97
1282,MAKA TORTOWA ZLOTY LAN TYP 450 1KG,1.11
1283,MIGDALY KALIFORNIJSKIE FRESCO 80 G,4.47
1284,MIX EKSTRA PASLECKIE 200G.,1.93
1285,MUSZTARDA SAREPSKA 200G PEGAZ,1.35
1286,NAP COCA COLA 2_25 L PET,3.6084375
1287,NAP ENERGETYCZNY V-MAX 0_25L PUSZKA,0.359189189189189
1288,NAP HORTEX 1 L BANANOWY,3.09
1289,OLEJ NIEZBEDNY 1L,4.22
1290,ORZESZKI ZIEMNE OK SOLONE 150G PUSZ,2.65
1291,OWOCE SUSZONE 200 G FILIP,6.39
1292,PAPRYKA KONS.SLONECZNY OGROD 650G,2.87
1293,PIWO PERLA CHMIELOWA 0_5L BUT.B/ZWROT.,1.65
1294,PIWO PERLA EKSPORT 0_5L BUT.BEZZWROTNA,1.65
1295,POMPKA PLAY DOLADOWANIE,3.87
1296,PROSZEK D/PIECZ.CYKORIA 18G,0.26
1297,PRZYPR.WARZYWKO 200G,1.72
1298,PUDL KETCHUP LAGODNY 480 G,3.43
1299,PUDL KETCHUP PIKANTNY 480G,2.96
1300,PUDL KONCENTRAT 30%SLOIK 200G,2.274
1301,PUDL KONCENTRAT.POMIDOROWY 70G PUSZKA,1.44
1302,PUDL SOS BOLONSKI 450 G,4.64
1303,PUDL SOS D/SPAGH.PO BOLONSKU 500G,4.27
1304,SALATKA SLONECZNY OGROD  460 G,1.73
1305,SOS PUDL SOS  SLODKO-KWASNY LAGOD.500G,4.27
1306,TUNCZYK CHUNK W OLEJU GRAAL 170G,5.17
1307,TWAROG SOLANKOWY WEDZONY 250G CYLINDER,3.81
1308,WIN MAJONEZ 400G,3.79
1309,WIN MAJONEZ 700G,6.5
1310,WIN SOS CZOSNKOWY 250ML,3.62
1311,WIN SOS TATARSKI 250ML,3.62
1312,WIN ZUPA  JAK U MAMY PIECZARKOWA 45G,2.0
1313,WINO CARLO ROSSI BIALE WYTR.10_5% 0_75L,12.89
1314,WINO KADARKA P/SLD.BARTEX 11% 0_75L,6.04
1315,WODA CISOWIANKA 1_5 L N/GAZ.,0.95
1316,WODA STAROPOLANKA 2000 N/GAZ.1_5L,1.16
1317,WODA ZYWIEC 1_5 N/G MALINA N/GAZ.,1.69
1318,ZEST.SW.KINDER CHOCOLATE 200G,6.01
3018,APPETITA GORCZYCA BIALA 30G,0.68
3019,BATON 3BIT 46/51 G,0.92
3020,BULION KNORR GRZYBOWY (3L)60G KOSTKI,1.87
3021,CHRZAN DYMECKI 200G,1.71
3022,CHRZAN TARTY 160G VICTUS,1.65
3023,CZEKOLADA NA GORACO LA FEST 25 G,0.56
3024,DESER MONTE WAFFLE 125 G,1.67
3025,DZEM SLONECZNY OGROD BRZOSKWINIOWY 280G.,1.74
3026,DZEM SLONECZNY OGROD CZARNA PORZECZ.280G,1.822
3027,DZEM SLONECZNY OGROD TRUSKAWKOWY 280G,1.825
3028,FASOLA CZERWONA SLONECZNY OGROD 400G.,1.47
3029,HELLENA 1_75 L N/GAZ WINOGRONO,1.66833333333333
3030,HELLENA GRUSZKA N/GAZ.1_75L,1.66
3031,HELLENA ORENZADA CZERWONA 1_25 L GA,1.3358064516128998
3032,HOCHL KANAPKOWY Z SZYNKA 130 G,1.75
3033,JAJKO Z NIESPODZIANKA FERRERO 20G,2.28
3034,KAMIS MUSZTARDA FRANCUSKA 185 G,2.51
3035,KASZKA NESTLE ML.RYZ.5 OWOCOW 230G,7.43
3036,KAWA ZBOZOWA KUJAWIANKA 500G,2.85
3037,KETCHUP LAGODNY 470 G TORTEX,2.13
3038,KLEIK NESTLE RYZOWY 160 G,3.64
3039,KNORR DELIKAT UNIWERSALNA 200G,3.29
3040,KNORR FIX DANIE ORIENTALNE 48 G,1.99
3041,KNORR NUDLE SER W ZIOLACH,1.66
3042,KONCENTRAT DAWTONA 200G SLOIK,1.4475
3043,KONCENTRAT POM DAWTONA 80G SLOIK,0.92
3044,KONCENTRAT POMIDOROWY DAWTONA 30% 1KG,5.7
3045,KOTLIN KETCHUP  PIKANTNY 215ML,2.25
3046,KOTLIN KETCHUP LAGODNY 215ML,2.25
3047,KREM CZEKOLADOWY 122 G DELECTA,4.28
3048,MAKA TORTOWA ZLOTY LAN TYP 450 1KG,1.11
3049,MARMOLADA SLONECZNY OGROD 550 G,2.78
3050,MIGDALY KRESTO 100G,5.2
3051,MUSZTARDA SAREPSKA 200G PEGAZ,1.35
3052,NAP COCA COLA 2_25 L PET,3.70684210526316
3053,NAP ENERGETYCZNY V-MAX 0_25L PUSZKA,0.177631578947368
3054,NAP HORTEX 1 L BANANOWY,3.09
3055,OLEJ NIEZBEDNY 1L,4.22
3056,ORZESZKI ZIEMNE OK SOLONE 150G PUSZ,2.65
3057,PAPRYKA KONS.SLONECZNY OGROD 650G,2.87
3058,PIWO KARMI 0_4 BUT CLASSIC,1.87
