,name,unit_cogs
1363,BATERIA AA WARTA R6 1 SZT,0.96
1364,BATERIA VARTA LR3 LONGLIFE 1 SZT,0.93
1365,BATERIE ALKAICZ  LR 3,0.93
1366,BATERIE ALKAICZ R6,0.93
1367,BLOK TECHNICZNY A4,0.84
1368,CHUSTECZKA HIGIENICZNA,0.18
1369,DLUGOPIS NIEBIESKI,0.52
1370,GUMKA DO MAZANIA,0.98
1371,JOGURT FINEZJA 4*115 G,3.71
1372,KLEJ BIUROWY,0.64
1373,KOMPOT Z AGRESTU 820 G,5.81
1374,KOMPOT Z WISNI 860 G,4.09
1375,KREDKI SWIECOWE 12 SZT,1.15
1376,LAURKA OKOLICZNOSCIOWA,0.9
1377,MAZAKI 6 SZT,0.99
1378,ORANZADKA W PROSZKU,0.24
1379,REKLAMOWKA  JEDNORAZOWA,0.052000000000000005
1380,TABLETKI ETOPIRYNA 6 SZT,1.62
1381,TORBA NA PREZENT,1.8
1382,TORBA SREDNIA,1.54
1383,ZAPALNICZKA ZAROWA,1.8
1384,ZAROWKA 60 W,1.16
3118,BATERIE ALKAICZ  LR 3,0.93
3119,BOMB.MILKA I LOVE 137_5GR,13.06
3120,CHUSTECZKA HIGIENICZNA,0.18
3121,DLUGOPIS NIEBIESKI,0.52
3122,GOLARKA POLSILWER,1.11
3123,KARTKA WALENTYNKA POCZTOWKA,0.23
3124,KLEJ MAGICZNY TUBA,2.09
3125,KOMPOT Z AGRESTU 820 G,5.81
3126,KOMPOT Z WISNI 860 G,4.09
3127,LAURKA OKOLICZNOSCIOWA,0.9
3128,MAZAKI 6 SZT,0.99
3129,ORANZADKA W PROSZKU,0.24
3130,REKLAMOWKA  JEDNORAZOWA,0.06
3131,TABLETKI ETOPIRYNA 6 SZT,1.62
3132,TORBA SREDNIA,1.54
3133,ZAPALNICZKA ZAROWA,1.8
3134,ZAROWKA 60 W,1.16
4982,BATERIA AA WARTA R6 1 SZT,0.96
4983,BATERIE ALKAICZ  LR 3,0.93
4984,BOMB.MILKA I LOVE 137_5GR,13.06
4985,CHUSTECZKA HIGIENICZNA,0.18
4986,CUKIERKI OREO 86 G,5.74
4987,DLUGOPIS NIEBIESKI,0.52
4988,FARBY AKWARELOWE 12 KOL,2.89
4989,GOLARKA POLSILWER,1.11
4990,KLEJ MAGICZNY TUBA,2.09
4991,LAURKA OKOLICZNOSCIOWA 5,0.86
4992,ORANZADKA W PROSZKU,0.24
4993,PAPIER OZDOBNY 100*70 CM,0.79
4994,PONNY FANTASY,4.24
4995,REKLAMOWKA  JEDNORAZOWA,0.06
4996,TABLETKI ETOPIRYNA 6 SZT,1.62
4997,ZAPALNICZKA ZAROWA,1.8
4998,ZAROWKA 60 W,1.16
6923,BROS PACKI NA MUCHY,0.53
6924,CHUSTECZKA HIGIENICZNA,0.15
6925,DLUGOPIS NIEBIESKI,0.52
6926,D?UGOPIS,0.39
6927,JOGURT FINEZJA 4*115 G,3.71
6928,LAURKA,2.34
6929,LAURKA KOMUNIJNA,2.02
6930,LAURKA OKOLICZNOSCIOWA,0.9
6931,LAURKA OZDOBNA,0.89
6932,NAP OSHE 0_75 ZERO MULTI,2.19
6933,ORANZADKA W PROSZKU,0.24
6934,PONNY FANTASY,4.24
6935,REKLAMOWKA  JEDNORAZOWA,0.06
6936,TABLETKI ETOPIRYNA 6 SZT,1.62
6937,TORBA SREDNIA,1.54
6938,ZAROWKA 60 W,1.16
8929,BATERIA VARTA LR3 LONGLIFE 1 SZT,0.93
8930,BATERIE ALKAICZ R6,0.93
8931,BROS PACKI NA MUCHY,0.53
8932,CHUSTECZKA HIGIENICZNA,0.15
8933,DLUGOPIS NIEBIESKI,0.52
8934,JOGURT FINEZJA 4*115 G,3.75
8935,LAURKA 6,0.55
8936,LAURKA KOMUNIJNA,2.02
8937,LAURKA OKOLICZNOSCIOWA,0.9
8938,ORANZADKA W PROSZKU,0.24
8939,PONNY FANTASY,4.24
8940,REKLAMOWKA  JEDNORAZOWA,0.06
8941,TABLETKI ETOPIRYNA 6 SZT,1.73
8942,TORBA NA PREZENT,1.82
8943,TORBA SREDNIA,1.54
8944,TOREBKA,3.0
8945,TOREBKA NA PREZENT,2.82
10940,BATERIA VARTA LR3 LONGLIFE 1 SZT,0.93
10941,BATERIE ALKAICZ R6,0.93
10942,BROS PACKI NA MUCHY,0.53
10943,CHUSTECZKA HIGIENICZNA,0.150568181818182
10944,DLUGOPIS NIEBIESKI,0.52
10945,GOLARKA POLSILWER,1.11
10946,GUMKA DO MAZANIA,0.98
10947,JOGURT FINEZJA 4*115 G,3.75
10948,KLEJ MAGICZNY TUBA,2.09
10949,LAURKA 6,0.55
10950,LAURKA OKOLICZNOSCIOWA,0.9
10951,NAP OSHE 0_75 ZERO MULTI,2.19
10952,ORANZADKA W PROSZKU,0.24
10953,PONNY FANTASY,4.24
10954,REKLAMOWKA  JEDNORAZOWA,0.056037735849057
10955,ZAROWKA 60 W,1.16
12935,BATERIE ALKAICZ R6,0.94
12936,BROS PACKI NA MUCHY,0.53
12937,CHUSTECZKA HIGIENICZNA,0.2
12938,DLUGOPIS NIEBIESKI,0.52
12939,GOLARKA POLSILWER,1.11
12940,GUMKA DO MAZANIA,0.98
12941,LAURKA OKOLICZNOSCIOWA,0.9
12942,NAP OSHE 0_75 ZERO MULTI,1.91307692307692
12943,ORANZADKA W PROSZKU,0.24
12944,PLYTA,0.6
12945,PONNY FANTASY,4.24
12946,REKLAMOWKA  JEDNORAZOWA,0.03
12947,STARTER 5 ZL,0.81
12948,TABLETKI ETOPIRYNA 6 SZT,1.73
12949,TORBA BUTELKA,1.71
12950,TORBA SREDNIA,1.54
12951,WKLAD W-5L,1.16
12952,WKLAD W4L,1.54
12953,ZAROWKA 60 W,1.16
15056,BATERIE ALKAICZ R6,0.94
15057,BROS PACKI NA MUCHY,0.53
15058,LAURKA OKOLICZNOSCIOWA,0.9
15059,NAP OSHE 0_75 ZERO MULTI,1.5042857142857098
15060,ORANZADKA W PROSZKU,0.24
15061,PONNY FANTASY,4.24
15062,REKLAMOWKA  JEDNORAZOWA,0.03
15063,TORBA BUTELKA,1.71
15064,TORBA SREDNIA,1.54
15065,WKLAD W-5L,1.16
15066,WKLAD W4L,1.54
17080,BROS PACKI NA MUCHY,0.53
17081,CHUSTECZKA HIGIENICZNA,0.17
17082,CZEK ROSHEN GORZKA Z ORZECHAMI 90 G,2.22
17083,GAZ DO ZAPALNICZEK 90 ML,1.64
17084,GUMKA DO MAZANIA,0.98
17085,LAURKA OKOLICZNOSCIOWA,0.9
17086,NAP OSHE 0_75 ZERO MULTI,1.42666666666667
17087,ORANZADKA W PROSZKU,0.24
17088,REKLAMOWKA  JEDNORAZOWA,0.03
17089,STARTER 5 ZL,0.81
17090,TABLETKI ETOPIRYNA 6 SZT,1.73
17091,TORBA BUTELKA,1.5466666666666695
17092,TUNCZYK ROZDROBNIONY W WODZIE 130 G,2.78
17093,US?UGA MARKETINGOWA PO 3001936598,500.0
17094,WKLAD DO ZNICZY,1.39
17095,WKLAD W4L,1.54
18972,CHUSTECZKA HIGIENICZNA,0.17
18973,CZEK ROSHEN 90 GGORZKA POMARANCZOWA,2.22
18974,CZEK ROSHEN GORZKA Z ORZECHAMI 90 G,2.22
18975,GAZ DO ZAPALNICZEK 90 ML,1.64
18976,GOLARKA POLSILWER,1.038
18977,JAJKO BARBIE,3.25
18978,KAWA MK 500 G,11.71
18979,KLEJ MAGICZNY TUBA,2.0
18980,LAURKA OKOLICZNOSCIOWA,0.9
18981,NAP OSHE 0_75 ZERO MULTI,1.35
18982,ORANZADKA W PROSZKU,0.14270270270270302
18983,REKLAMOWKA  JEDNORAZOWA,0.06377049180327901
18984,TABLETKI ETOPIRYNA 6 SZT,1.73
18985,TORBA BUTELKA,1.22
18986,TUNCZYK ROZDROBNIONY W WODZIE 130 G,2.78
18987,WKLAD DO ZNICZY,1.32625
18988,ZNICZ DUZY S-226,4.13
18989,ZNICZ MALY S-30,0.8
20852,CHUSTECZKA HIGIENICZNA,0.17
20853,CZEK ROSHEN GORZKA Z ORZECHAMI 90 G,2.22
20854,GAZ DO ZAPALNICZEK 90 ML,1.64
20855,KLEJ MAGICZNY TUBA,2.0
20856,LAURKA,1.2
20857,NAP OSHE 0_75 ZERO MULTI,1.35571428571429
20858,ORANZADKA W PROSZKU,0.14
20859,REKLAMOWKA  JEDNORAZOWA,0.11
20860,TABLETKI ETOPIRYNA 6 SZT,1.73
20861,TORBA BUTELKA,1.22
20862,WKLAD DO ZNICZY,1.05
20863,ZNICZ MALY S-30,0.8
