,name,unit_cogs
110,BRZOSKWINIE SANDRA 820G,3.77
111,FASOLA CZERWONA.DAWTONA 400G,1.63
112,GROSZEK BONDUELLE 400G.,1.7
113,KAMIS PRZYPRAWA DO RYB 20 G,1.82
114,KONSERWA TURYSTYCZNA 300 G LAUR,1.85
115,KONSERWA TYROLSKA 300 G LAUR,1.85
116,KOPYTKA 400GR TACKA GRZESKOWIAK,3.43
117,KROKIETY Z KAPUS/GRZYB.400GR GRZESKOWIAK,4.1
118,LOWICZ DZEM CZAR.PORZECZKA N/S?,2.78
119,LOWICZ DZEM TRUSKAWKOWY N/S?,2.78
120,LOWICZ DZEM WISNIA N/S?.,2.78
121,MAKA POZNA?SKA BASIA 1KG,2.43
122,OGOREK KISZONE LUZ,3.99730820995962
123,PAPRYKARZ SZCZEC.AGRICO 156G,1.45806451612903
124,PASZTET DROBIOWY 90G DROP,1.12
125,PASZTET PODLASKI 155GR DROSED PUSZKA,1.7
126,PIEROGI Z KAPUS/GRZYB.400GR GRZESKOWIAK,3.62
127,PIEROGI Z MI?SEM 400GR GRZESKOWIAK,4.0
128,PIEROGI Z SEREM/OWOC TACKA 4000GR,4.19
129,PROFI PASZTET DROB.FIRMOWY 131G,1.2
130,PROFI PASZTET Z PAPRYKA 131G,1.2
131,PROFI PASZTET Z POMIDOREM 131G,1.2
132,PROFI SZYNKA MIELONA 110G,1.74
133,PUDL GROSZEK KONSERWOWY 400G,1.69
134,ROLNIK SELER WYBORNY 370G,2.19
135,SUROWKI WIELOWARZYWNE GRZESKOWIAK,5.02943722943723
136,TOREBKA NA BUTELK?,1.72
858,JAJA LIPOWCZYK 6 SZT,3.2
859,JAJKA 10 SZT LIPOWCZYK,5.15
860,DELFINKI RYBNE PANIER.LUZ,7.48076923076923
861,FILET  ZAPIEKANY SEREM ZOLTYM,23.375
862,FILET Z LIMANDA MROZONY KG,13.2
863,FILET Z MINTAJA MROZONY,6.339506172839509
864,FILETY SLEDZ_W OLEJU 170 G,2.68
865,FILETY SLEDZ_W SMIETANIE MARINUS 250 G,3.71
866,FILETY SLEDZ.ALA MATJAS 275 G,4.09
867,FILETY SLEDZIOWE OPIEKANE 800G,7.43
868,FILETY SLEDZIOWE W OLEJU 170 G,2.37
869,FILETY SLEDZIOWE W OLEJU 170 G LISNER,3.62
870,FILETY SLEDZIOWE W POMID.175 G,4.0
871,FILETY SLEDZIOWE W POMIDZ.170 G,2.51
872,FILETY SLEDZIOWE W SMIET 250 G SOS MUSZT,3.71
873,FILETY Z MAKRELI W POMID.175 G,2.85
874,FILETY Z MAKRELI W SOSIE POMID.170 G GRA,3.72
875,FLIETY Z MAKRELI 100G ALA KETCHUP,3.62
876,KOSTKA Z LIMANDY LUZ,10.4358974358974
877,KOTLETY RYBNA KG/P?ATY SMA?ONE,12.3941176470588
