,name,unit_cogs
1428,APEPETITA GYROS 30 G,1.0
1429,APETTITA CYNAMON 20 G,0.79
1430,APPETITA GALKA MUSZKATOLOWA,0.99
1431,APPETITA IMBIR MIELONY,0.99
1432,APPETITA PRZYPRAWA DO GULASZU 20 G,0.97
1433,BAZYLIA PRYMAT,0.96
1434,CUKIER WANILIOWY 32 G CYKORIA,0.49
1435,CYKORIA KURKUMA 15 G,0.52
1436,CZUBRYCA ZIELONA 60 G,1.31
1437,DR O AROMAT WANILIA 9ML,1.07
1438,DR O CUKIER WANILIOWY  16G,0.52
1439,DR O PROSZEK DO PIECZENIA  30G,0.37
1440,FASOLA  PIEKNY JAS 400G KROS,3.71
1441,FASOLA BIALA  500 G,4.93
1442,GALEO CZOSNEK GRANULOWANY 16 G,0.83
1443,GALEO KMINEK 12 G,0.89
1444,GALEO LISC LAUROWY 5 G,0.7
1445,GALEO MAJERANEK 6 G,0.7
1446,GALEO PAPRYKA OSTRA 20G,0.64
1447,GALEO PAPRYKA SLODKA 16 G,0.77
1448,GALEO PIEPRZ CZARNY MIELONY,0.7
1449,GALEO PIEPRZ ZIOLOWY 12 G,0.9
1450,GALEO PRZYP.DO KURCZAKA 25G,0.8
1451,GALEO PRZYPRAWA DO FLAKOW 20G,0.89
1452,GALEO PRZYPRAWA DO RYB CYTRYNA,0.88
1453,GALEO PRZYPRAWA DO ZIEMNIAKOW,0.88
1454,GALEO SODA OCZYSZCZONA 24 GG,0.49
1455,GALEO ZIELE ANGIELSKIE 12G,0.79
1456,GALEO ZIOLA PROWANSALSKIE 10GR,0.7
1457,GELLWE SODA OCZYSZCZONA 80G,0.45
1458,KAMIS JA?OWIEC 15G,1.44
1459,KAMIS KOWBOJSKI INDTK 20 G,0.87
1460,KAMIS LISC LAUROWY 6G,1.4
1461,KAMIS PIEPRZ CZAR /MIELONY,1.33
1462,KAMIS PIEPRZ KOLOROWY 16G,1.42
1463,KAMIS PSTRAG Z KOPERKIEM,1.56
1464,KAMIS ZIELE ANGIELSKIE 15G,1.04
1465,KMINEK 20 G PRZYSMAK,0.54
1466,KNOR DELIKAT DO MIES 75G,2.21
1467,KNOR ROSOL WOLOWY,1.21
1468,KNOR ROSOL Z KURY 3LX6 KOSTKI,1.17
1469,KNORR FIX DO STROGONOFF,1.99
1470,KNORR SOS .FRANCUSKI 9G,0.9
1471,KRESTO WIORKI KOKOS 200 G,2.06
1472,PRYMAT CYNAMON MIELONY 15G,1.0
1473,PRYMAT CZABER 10 G,0.99
1474,PRYMAT GOZDZIKI 10G,0.91
1475,PRYMAT GRILL PIKANTNT 20G,0.9
