,name,unit_cogs
1495,AMELIA PIANKA 380 G SMIET.CZEK,4.18
1496,ANDRUTY   FURMANIAK,0.699381443298969
1497,ANIMALS MODEL,5.68
1498,BATON 7DAYS KAKAO W POLEWIE,0.55
1499,BATON BOUNTY 57G,1.49
1500,BATON IKAR XXL WAWEL,1.09
1501,BATON KINDER BUENO 43G,1.81
1502,BATON KNOPERS 25G,0.84
1503,BATON LION 40 G PEANUT,0.86
1504,BATON MACIEK XXL WAWEL  ADWOKAT,1.09
1505,BATON MARS 51 G,1.04
1506,BATON MILKI WAY PODWÓJNY,1.2
1507,BATON MILKY WAY 21 5,0.6
1508,BATON NESQUIK DELIC 25 G,0.92
1509,BATON PIEROT WEDEL 45GR,1.12
1510,BATON SNICKERS 50 G,1.04
1511,BATON TWIX 56 G,0.96
1512,BATONIK MUU 29 G,0.52
1513,BATONIK POWER 30 G,0.66
1514,BISZKOPTY WROCLAWSKIE 120G,1.68
1515,BOMB MERCI 250G,9.85
1516,BOMB MERCI GREEN 250 G,9.85
1517,BOMB MON CHERI 157_5 G,9.85
1518,BOMB TOFFIFEE 250 G,10.87
1519,BOMB.FIORELLA 140G,3.78
1520,BOMBONIERA GALARE.W CZEKOL WISNIA 190 G,4.18
1521,BOMBONIERA GALARETKA W CZEK 190 G,3.05
1522,BOMBONIERA IMPRESJA 207 G BARON,7.95
1523,BOMBONIERA POMORZANKA 175 G CHOCO,4.85
1524,BORSETO 7 DAYS Z OWOC.LESNYCH 80 G,1.21
1525,BUBLE GUM ROLL,1.97
1526,CHRUPKI KUKUR. CELKA 70GR OPAK 25 SZT,0.75
1527,CHRUPKI KUKURYDZIANE OWOCOWE 80 G,1.78
1528,CHRUPKI STAR ORZECH  58 G,1.11
1529,CHRUSCIKI/CIASTA ROZNE KG,21.729713239780306
1530,CIASTKA BEZY LUZ,13.9450549450549
1531,CIASTKA DESIMO MORELA 135 G,1.31
1532,CIASTKA DESSIMO WISNIOWE 135 G,1.28
1533,CIASTKA KRAKUSKI FLORIANKI 171G,2.87375
1534,CIASTKA KRAKUSKI SERDUSZKA 171 G,2.9
1535,CIASTKA KRAKUSKI ZBOZOWE 201 G,1.96
1536,CIASTKA PALUSZKI 144 G POMAR.,2.77
1537,CIASTKA SONATA 125 G CZEL.MLECZNA,2.93
1538,CIASTKA SONATA 125 G DESEROWA,3.45
1539,CIASTKA TAGUS 29 G TRUSKAWKA,0.67
1540,CUKIERKI JOJO PIANKA 90G NESTLE,1.88
1541,CUKIERKI JOJO PIANKA ZAKRECONE 90GR NEST,1.48
1542,CUKIERKI PUDROWE LUZ,10.0
1543,CZEK AMELIA MLECZNA 100G,1.39
1544,CZEKOLADA  ALPEN GOLD ORZ+RODZ 90 G,2.13
1545,DELICJE POMARANCZOWE 147G,2.19
1546,DELICJE WISNIOWE 294G WEDEL,4.23
1547,DRAZE SKAWA  CZEKOL.70G,0.84
1548,DRAZE SMIETANKOWE 70G SKAWA,0.84
1549,DROPS EUKALIPTUS,0.61
1550,DROPS HALLS MIOD CYTRYNA 33_5G,1.51
1551,DROPS HALLS ORGINAL 33_5G *20,1.35
1552,EUROPAPIER DUZY,0.27
1553,GOFRY KOKOS 100,2.14
1554,GOFRY SEZAM 100 G,2.14
1555,GOFRY SLODKIE 100 G,2.14
1556,GOPL CZEKOLADA GORZKA 90 G,1.99
1557,GOPL CZEKOLADA MLECZNA 90G,1.99
1558,GOPL PRALINY JEY ME 27 G,0.84
1559,GOPL.CUKIERKI MIETA 90G,1.05
1560,GOPL.LANDRYNY BRANDO 90G,1.04375
1561,GOPLANA EXTRA MIETA EXTRA MOCNE,0.92
1562,GRZESKI B/CZEKOL DZIEL,0.6
1563,GRZESKI GOFROWE 33G,0.61
1564,GRZESKI W CZEKOLADZIE 36 G,0.79
1565,GUMA MOIST,0.15
1566,GUMA PUSH,0.63
1567,GUMA ROSPUSZCZALNA SZCZELAJACA WAIRDS,0.82
1568,GUMA ROZPUSZCZALNA KREDKA,0.14
1569,HALLOW FIZZ,0.39
1570,HALLS DROPS FRUIT,1.33
1571,HERBATNIK PETIT BEURRE50 G JUTRZENKA,0.51
1572,HERBATNIKI MALTANKI 80G LAJK,1.43
1573,JACOBS VELVET  100G ROSP.SLOIK,9.53
1574,JAJKO Z NIESPODZ FCB,2.29
1575,JAJKO Z NIESPODZIANKA,2.28
1576,JAJKO Z NIESPODZIANKA,2.28
1577,JAJKO Z NIESPODZIANKA,2.29
1578,KAMIS SUSZONE POMIDORY 15 G,1.64
1579,KAMYKI ODRA 100 G,1.21
1580,KINDER CHOCOLATE 100G,2.78
1581,KINDER CHOCOLATE 50G,1.57
1582,KRAZKI ORKISZOWE 60 G,1.71
1583,KWAS CHLEBOWY 1 L,1.69
1584,LIZAK DYNIA,1.54
1585,LIZAK ROZA/SERCE,1.0
1586,LIZAK ZELOWY HORROR,1.36
1587,LODY CIEPLE DUZE 24,0.8
1588,MIESZANKA STUDENCKA 100 G,3.71
1589,MILKA 300 G OREO,6.66
1590,MILKA CZEK.NADZ 37 G,1.16
1591,MILKA CZEK.ORZECHOWA 100G,2.29
1592,MILKA CZEK.TRUSKAW 100G,2.29
1593,MILKA CZEKOLADA LACIATA 100G,2.29
1594,MILKA CZEKOLADA MLECZNA 100G,2.29
1595,MLECZKO ALPEJSKIE   CZEKOLAD.330 G MILKA,6.46
1596,NAP AQA PLUS 1_5 L GAZ JAB+PIGWA,0.73
1597,ORANZADA W PROSZKU ROZEK,0.73
1598,ORANZADA W PROSZKU SUPER,0.37
1599,PALUSZKI BESK. 70G,0.64
1600,PALUSZKI JUNIOR 250 G,2.37
1601,PAP LM LINK BLU,11.84
1602,PETITKI LUBISIE Z CZEK 30 G,0.6238709677419351
1603,PETITKI LUBISIE Z MORELA 30 G,0.62
1604,PETITKI TRUSKAWKA  30 G,0.62
1605,PIANKA DESEROWA SPRAY 250 G,3.33
1606,PIERNIK DESIMO NADZ.200G,1.63
1607,PIERNIK KROLEWSKI KRAKUS 150 G,2.32
1608,PIERNIK W CZEKOLADZIE SKAWA,11.1216216216216
1609,PRECLE 130 G,2.6
1610,PRECLE SOLONE KLASYCZNE 125 G,2.0
1611,PREZERWATYWA,2.8
1612,PREZERWATYWA 3 SZT,2.8
1613,PREZERWATYWY,2.8
1614,PRINCE POLO ORZECH 35 G,0.79
1615,PRINCE POLO XXL MLECZNE,0.92
1616,PRINCE POLO XXL ORZECHOWE 50G,0.81
1617,PRINCESA ZEBRA37 G,0.62
1618,PRINCESSA 34G MLECZNA,0.59
1619,PRINCESSA CHERRY 33 G,0.77
1620,PRINCESSA ORZECH MAXI,0.81
1621,RAFFAELLO 150G,7.59
1622,ROGAL 7 DAYS BORSETO JAB+CYN,1.13
1623,ROGAL 7 DAYS ORZECH KAKAO,1.3
1624,ROGAL CHIPICAO 65G,1.36
1625,SCHWEPPES TONIC 1_5 L,3.25
1626,SEKACZ KAKAOWY WIS?A 24 G,0.53
1627,SMIEJZELKI NOM 2 ZIMOMINKI 90 G,2.04
1628,SPRAY GRENADE,4.11
1629,STAR MACZUGI 80 G,1.432
1630,SUPER SPRAY,1.75
1631,SUROWKA,2.13
1632,TALARKI 155 G LAJKONIK,2.31
1633,TIC TAK MALINA,1.14
1634,TIK TAK MIETA,1.16272727272727
1635,TIMI O SMAKU MIETY,0.6
1636,WAFELEK PEPPA30G,0.83
1637,WAFLE GORALKI ARACHID 42 G,0.575
1638,WAFLE GORALKI CZEKOLADA 42 G,0.53
1639,WAFLE GORALKI O SMAKU WANILIOWYM 42 G,0.5688235294117651
1640,WAFLE KWADRAT DESER 120 G,2.35
1641,WAFLE NESQUIK 26 G,0.728
1642,WAFLE RYZOWE 100 G FIT,1.39
1643,WAFLE SUCHE,2.02
1644,WAFLE SUCHE 165 G,1.98
1645,WAFLE SUCHE OWAL 130 G,2.07
1646,WAFLE TRIPLEX 20 G,0.55
1647,WAWEL CZEKOL  MALAGA 100G,1.75
1648,WAWEL CZEKOLADA MICHALKI 100G,2.22
1649,WEDEL CZEK GORZKA 100G,2.24
1650,WEDEL CZEK.MLECZNA 100 G,2.62
1651,WEDEL PAWELEK ADVOCAT 45G,0.87
1652,WEDEL PAWELEK TOFFI 45G,0.89
1653,WEDEL PTASIE  MLECZKO KOKOS 380 G,7.99
1654,WEDEL PTASIE MLECZKO WANILIA 380 G,9.56
1655,ZAPALNICZKA ZABAWKA,1.92
1656,ZARODKI PRZENNE 150 G,2.2
1657,ZELKI JUMI 100 G,1.07
1658,ZELKI KABLE DLUGIE,0.55
1659,ZELKI NIM 2SOKKI  90 G,1.95
1660,ZELKI Z WITAM.NIM2 100G,2.38
3244,ANDRUTY   FURMANIAK,0.68
3245,BABKA  KOWOLKA,5.09
3246,BATON 7DAYS KAKAO W POLEWIE,0.585
3247,BATON BOUNTY 57G,1.49
3248,BATON IKAR XXL WAWEL,1.02333333333333
3249,BATON KINDER BUENO 43G,1.8285714285714296
3250,BATON KNOPERS 25G,0.88
3251,BATON LION 40 G PEANUT,0.86
3252,BATON MARS 51 G,1.04
3253,BATON MILKI WAY PODWÓJNY,1.2
3254,BATON MILKY WAY 21 5,0.6
3255,BATON NESQUIK DELIC 25 G,0.92
3256,BATON PIEROT WEDEL 45GR,1.12
