,name,unit_cogs
1661,ASPIRYN ULTRA 2 SZT,1.83
1662,PLASTER POLSKI LEK DO CIECIA 6 CM,3.8
1663,TABLETKI  APAP SASZETKA 2 TAB,1.23
1664,TABLETKI APAP 6SZT,2.78
1665,TABLETKI CHOLINEX 8,5.87
1666,TABLETKI GRIPEX CNTROL 12,6.88
1667,TABLETKI IBUM 7 SZT,4.09
1668,TABLETKI IBUPROM 10 TAB.SPRINT,7.85
1669,TABLETKI IBUPROM 10SZT,4.75
1670,TABLETKI IBUPROM SASZETKA 2 SZT,1.39
1671,TABLETKI NUROFEN 10SZTULTRA,3.97
1672,TABLETKI NUROFEN EXPRESS 10 SZT,6.25
1673,TABLETKI POLOPIRYNA S/10/,3.06
1674,TABLETKI SCORBOLAMID GARD?O 8 SZT,4.1
1675,TABLETKI WEGIEL 30 SZT,5.77
1676,WODA UTLENIONA 100GR,0.99
1677,ZOOT SEREK HOMOG.140 G,0.88
3398,ASPIRYN ULTRA 2 SZT,1.83
3399,PLASTER POLSKI LEK DO CIECIA 6 CM,3.8
3400,TABLETKI  APAP SASZETKA 2 TAB,1.23
3401,TABLETKI APAP 6SZT,2.78
3402,TABLETKI APAP EXTRA 10SZT,6.0
3403,TABLETKI CHOLINEX 8,5.87
3404,TABLETKI GRIPEX CNTROL 12,6.88
3405,TABLETKI IBUM 7 SZT,4.09
3406,TABLETKI IBUPROM 10 TAB.SPRINT,7.85
3407,TABLETKI IBUPROM 10SZT,4.75
3408,TABLETKI IBUPROM SASZETKA 2 SZT,1.52
3409,TABLETKI NUROFEN 10SZTULTRA,3.97
3410,TABLETKI NUROFEN EXPRESS 10 SZT,6.25
3411,TABLETKI POLOPIRYNA S/10/,3.16
3412,TABLETKI SCORBOLAMID GARD?O 8 SZT,4.1
3413,TABLETKI WITAMIN C,2.13
3414,VITAFIZZ MAGNEZ,3.05
3415,WODA UTLENIONA 100GR,0.99
5310,ASPIRYN ULTRA 2 SZT,1.83
5311,OPASKA ELASTYCZNA 5M *10 CM,3.51
5312,PLASTER POLSKI LEK OPATRUNKOWY,3.5
5313,PLASTER-ROLKA 2_5 CM 5 M,3.91
5314,PLASTRY SOFT 1 M,3.8
5315,TABLETKI  APAP SASZETKA 2 TAB,1.23
5316,TABLETKI APAP 6SZT,2.78
5317,TABLETKI APAP EXTRA 10SZT,6.0
5318,TABLETKI CHOLINEX 8,5.87
5319,TABLETKI COLGRIP 8 SZT SASZETKI,5.97
5320,TABLETKI GRIPEX CNTROL 12,6.88
5321,TABLETKI IBUPROM 10 TAB.SPRINT,7.85
5322,TABLETKI IBUPROM 10SZT,4.75
5323,TABLETKI IBUPROM SASZETKA 2 SZT,1.52
5324,TABLETKI LOKOMARIN 15,5.86
5325,TABLETKI MUS.CALCIUN 20 SZT,3.05
5326,TABLETKI NUROFEN 10SZTULTRA,3.97
5327,TABLETKI NUROFEN EXPRESS 10 SZT,6.25
5328,TABLETKI POLOPIRYNA S/10/,3.16
5329,TABLETKI SCORBOLAMID GARD?O 8 SZT,4.1
5330,TABLETKI STREPSILS 8 SZT,8.07
5331,TABLETKI SYROP PRAWOSLAZOWY 100 ML,3.04
5332,TABLETKI SYROP PRAWOSLAZOWY 100 ML,3.04
5333,TABLETKI WEGIEL 30 SZT,5.77
5334,VITAFIZZ MAGNEZ,3.05
5335,WODA UTLENIONA 100GR,0.99
7211,ASPIRYN ULTRA 2 SZT,1.83
7212,PLASTER POLSKI LEK DO CIECIA 6 CM,3.8
7213,PLASTER-ROLKA 2_5 CM 5 M,3.91
7214,TABLETKI  APAP SASZETKA 2 TAB,1.23
7215,TABLETKI APAP 6SZT,2.78
7216,TABLETKI APAP EXTRA 10SZT,6.0
7217,TABLETKI CHOLINEX 8,5.87
7218,TABLETKI IBUM 7 SZT,4.09
7219,TABLETKI IBUPROM 10 TAB.SPRINT,7.85
7220,TABLETKI IBUPROM 10SZT,4.75
7221,TABLETKI IBUPROM SASZETKA 2 SZT,1.52
7222,TABLETKI NUROFEN 10SZTULTRA,3.97
7223,TABLETKI NUROFEN EXPRESS 10 SZT,6.25
7224,TABLETKI POLOPIRYNA S/10/,3.16
7225,TABLETKI RENNIE ANTACIDUM MOCN.MIETA 24T,10.37
7226,TABLETKI SCORBOLAMID GARD?O 8 SZT,4.1
7227,TABLETKI STREPSILS 8 SZT,8.07
