date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-02-01,9,6,0.0,3.4,2,2,49,11:24 AM,12:25 AM,08:23 AM,05:22 PM,7,5,8,5,33,100,93,7.0,1001,9,5,246,21
2020-02-02,7,3,0.0,5.2,2,2,57,11:42 AM,01:34 AM,08:21 AM,05:23 PM,2,1,6,1,41,86,76,3.3,1000,7,9,270,28
2020-02-03,4,-0,0.0,5.2,1,1,64,12:03 PM,02:45 AM,08:20 AM,05:25 PM,-0,-2,2,-2,25,75,83,0.2,1003,4,10,289,17
2020-02-04,6,-2,0.0,3.4,1,1,72,12:31 PM,03:57 AM,08:18 AM,05:27 PM,2,0,3,0,18,93,89,2.9,1000,6,7,311,13
2020-02-05,2,-4,2.0,8.7,2,2,79,01:08 PM,05:08 AM,08:16 AM,05:29 PM,-5,-5,0,-5,31,39,70,3.0,1020,2,8,229,21
2020-02-06,5,1,0.0,3.4,1,1,87,01:57 PM,06:15 AM,08:15 AM,05:31 PM,1,-2,3,-2,36,100,87,0.2,1020,5,10,293,23
2020-02-07,2,-3,0.0,8.7,2,2,95,03:01 PM,07:14 AM,08:13 AM,05:33 PM,-7,-3,-0,-3,15,18,61,0.4,1028,2,10,19,10
2020-02-08,4,-1,0.0,8.7,2,2,100,04:18 PM,08:01 AM,08:11 AM,05:35 PM,-9,-4,0,-4,20,10,49,0.0,1027,4,10,229,12
2020-02-09,5,-1,0.0,8.7,2,2,100,05:43 PM,08:38 AM,08:09 AM,05:37 PM,-2,-2,2,-2,34,4,76,0.0,1017,5,10,203,20
2020-02-10,10,4,0.0,3.5,2,2,83,07:11 PM,09:07 AM,08:07 AM,05:39 PM,1,1,6,1,56,84,71,10.1,990,10,9,242,37
2020-02-11,3,-5,0.4,3.5,1,1,75,08:39 PM,09:31 AM,08:05 AM,05:41 PM,-0,-3,2,-3,42,84,84,1.7,991,3,6,268,30
2020-02-12,3,-2,0.0,3.5,1,1,68,10:06 PM,09:51 AM,08:03 AM,05:43 PM,-1,-4,2,-4,47,100,84,2.8,1001,3,3,259,34
2020-02-13,3,1,0.1,3.5,1,1,60,11:31 PM,10:11 AM,08:01 AM,05:45 PM,-1,-3,2,-3,35,81,80,1.3,1011,3,7,257,23
2020-02-14,2,0,2.4,3.7,1,1,53,No moonrise,10:30 AM,07:59 AM,05:47 PM,-1,-2,1,-2,16,85,86,3.0,1014,2,7,55,10
2020-02-15,5,-2,0.0,8.7,2,2,45,12:54 AM,10:52 AM,07:58 AM,05:49 PM,-2,-1,2,-1,21,36,79,0.0,1025,5,10,195,13
2020-02-16,9,1,0.0,7.0,2,2,38,02:16 AM,11:18 AM,07:56 AM,05:51 PM,1,2,6,2,47,35,72,0.1,1015,9,10,207,28
2020-02-17,10,6,0.0,3.8,2,2,30,03:33 AM,11:50 AM,07:53 AM,05:53 PM,2,6,9,6,40,70,64,0.2,1011,10,10,254,25
2020-02-18,6,3,0.0,3.8,2,2,22,04:44 AM,12:29 PM,07:51 AM,05:55 PM,2,1,5,1,36,56,79,0.7,1015,6,9,263,23
2020-02-19,6,3,0.0,3.8,2,2,15,05:45 AM,01:19 PM,07:49 AM,05:56 PM,1,-0,4,-0,31,100,80,2.3,1013,6,9,217,21
2020-02-20,6,2,0.3,5.4,1,1,7,06:35 AM,02:17 PM,07:47 AM,05:58 PM,0,-0,3,-0,23,67,80,1.0,1018,6,9,259,15
2020-02-21,6,2,0.0,8.4,1,1,0,07:14 AM,03:23 PM,07:45 AM,06:00 PM,0,-1,3,-1,35,74,79,5.0,1015,6,10,273,23
2020-02-22,7,-1,0.0,5.3,1,1,0,07:45 AM,04:31 PM,07:43 AM,06:02 PM,0,-1,4,-1,45,74,75,0.3,1015,7,9,222,29
2020-02-23,6,3,0.0,5.3,1,1,0,08:08 AM,05:41 PM,07:41 AM,06:04 PM,1,0,5,0,37,84,78,4.9,1005,6,9,257,26
2020-02-24,6,3,0.4,5.3,1,1,0,08:27 AM,06:50 PM,07:39 AM,06:06 PM,-0,-1,4,-1,37,78,77,1.9,1009,6,8,291,25
2020-02-25,9,2,1.6,5.4,2,2,8,08:44 AM,07:58 PM,07:36 AM,06:08 PM,2,1,5,1,28,80,85,3.5,997,9,8,237,18
2020-02-26,5,1,0.0,6.9,1,1,15,08:59 AM,09:06 PM,07:34 AM,06:10 PM,0,-2,3,-2,26,63,84,2.0,992,5,9,238,18
2020-02-27,3,-0,4.3,7.0,1,1,23,09:14 AM,10:13 PM,07:32 AM,06:12 PM,-2,-4,1,-4,26,74,79,4.6,999,3,8,276,19
2020-02-28,4,-0,0.0,5.4,1,1,30,09:29 AM,11:22 PM,07:30 AM,06:13 PM,-2,-2,2,-2,21,60,80,0.1,1007,4,10,286,14
2020-02-29,5,-4,0.5,8.5,1,1,38,09:46 AM,No moonset,07:28 AM,06:15 PM,-1,-3,2,-3,33,61,80,1.0,1006,5,9,190,22
2020-02-01,9,6,0.0,3.4,2,2,49,11:24 AM,12:25 AM,08:23 AM,05:22 PM,7,5,8,5,33,100,93,7.0,1001,9,5,246,21
2020-02-02,7,3,0.0,5.2,2,2,57,11:42 AM,01:34 AM,08:21 AM,05:23 PM,2,1,6,1,41,86,76,3.3,1000,7,9,270,28
2020-02-03,4,-0,0.0,5.2,1,1,64,12:03 PM,02:45 AM,08:20 AM,05:25 PM,-0,-2,2,-2,25,75,83,0.2,1003,4,10,289,17
2020-02-04,6,-2,0.0,3.4,1,1,72,12:31 PM,03:57 AM,08:18 AM,05:27 PM,2,0,3,0,18,93,89,2.9,1000,6,7,311,13
2020-02-05,2,-4,2.0,8.7,2,2,79,01:08 PM,05:08 AM,08:16 AM,05:29 PM,-5,-5,0,-5,31,39,70,3.0,1020,2,8,229,21
2020-02-06,5,1,0.0,3.4,1,1,87,01:57 PM,06:15 AM,08:15 AM,05:31 PM,1,-2,3,-2,36,100,87,0.2,1020,5,10,293,23
2020-02-07,2,-3,0.0,8.7,2,2,95,03:01 PM,07:14 AM,08:13 AM,05:33 PM,-7,-3,-0,-3,15,18,61,0.4,1028,2,10,19,10
2020-02-08,4,-1,0.0,8.7,2,2,100,04:18 PM,08:01 AM,08:11 AM,05:35 PM,-9,-4,0,-4,20,10,49,0.0,1027,4,10,229,12
2020-02-09,5,-1,0.0,8.7,2,2,100,05:43 PM,08:38 AM,08:09 AM,05:37 PM,-2,-2,2,-2,34,4,76,0.0,1017,5,10,203,20
2020-02-10,10,4,0.0,3.5,2,2,83,07:11 PM,09:07 AM,08:07 AM,05:39 PM,1,1,6,1,56,84,71,10.1,990,10,9,242,37
2020-02-11,3,-5,0.4,3.5,1,1,75,08:39 PM,09:31 AM,08:05 AM,05:41 PM,-0,-3,2,-3,42,84,84,1.7,991,3,6,268,30
2020-02-12,3,-2,0.0,3.5,1,1,68,10:06 PM,09:51 AM,08:03 AM,05:43 PM,-1,-4,2,-4,47,100,84,2.8,1001,3,3,259,34
2020-02-13,3,1,0.1,3.5,1,1,60,11:31 PM,10:11 AM,08:01 AM,05:45 PM,-1,-3,2,-3,35,81,80,1.3,1011,3,7,257,23
2020-02-14,2,0,2.4,3.7,1,1,53,No moonrise,10:30 AM,07:59 AM,05:47 PM,-1,-2,1,-2,16,85,86,3.0,1014,2,7,55,10
2020-02-15,5,-2,0.0,8.7,2,2,45,12:54 AM,10:52 AM,07:58 AM,05:49 PM,-2,-1,2,-1,21,36,79,0.0,1025,5,10,195,13
2020-02-16,9,1,0.0,7.0,2,2,38,02:16 AM,11:18 AM,07:56 AM,05:51 PM,1,2,6,2,47,35,72,0.1,1015,9,10,207,28
2020-02-17,10,6,0.0,3.8,2,2,30,03:33 AM,11:50 AM,07:53 AM,05:53 PM,2,6,9,6,40,70,64,0.2,1011,10,10,254,25
2020-02-18,6,3,0.0,3.8,2,2,22,04:44 AM,12:29 PM,07:51 AM,05:55 PM,2,1,5,1,36,56,79,0.7,1015,6,9,263,23
2020-02-19,6,3,0.0,3.8,2,2,15,05:45 AM,01:19 PM,07:49 AM,05:56 PM,1,-0,4,-0,31,100,80,2.3,1013,6,9,217,21
2020-02-20,6,2,0.3,5.4,1,1,7,06:35 AM,02:17 PM,07:47 AM,05:58 PM,0,-0,3,-0,23,67,80,1.0,1018,6,9,259,15
2020-02-21,6,2,0.0,8.4,1,1,0,07:14 AM,03:23 PM,07:45 AM,06:00 PM,0,-1,3,-1,35,74,79,5.0,1015,6,10,273,23
2020-02-22,7,-1,0.0,5.3,1,1,0,07:45 AM,04:31 PM,07:43 AM,06:02 PM,0,-1,4,-1,45,74,75,0.3,1015,7,9,222,29
2020-02-23,6,3,0.0,5.3,1,1,0,08:08 AM,05:41 PM,07:41 AM,06:04 PM,1,0,5,0,37,84,78,4.9,1005,6,9,257,26
2020-02-24,6,3,0.4,5.3,1,1,0,08:27 AM,06:50 PM,07:39 AM,06:06 PM,-0,-1,4,-1,37,78,77,1.9,1009,6,8,291,25
2020-02-25,9,2,1.6,5.4,2,2,8,08:44 AM,07:58 PM,07:36 AM,06:08 PM,2,1,5,1,28,80,85,3.5,997,9,8,237,18
2020-02-26,5,1,0.0,6.9,1,1,15,08:59 AM,09:06 PM,07:34 AM,06:10 PM,0,-2,3,-2,26,63,84,2.0,992,5,9,238,18
2020-02-27,3,-0,4.3,7.0,1,1,23,09:14 AM,10:13 PM,07:32 AM,06:12 PM,-2,-4,1,-4,26,74,79,4.6,999,3,8,276,19
2020-02-28,4,-0,0.0,5.4,1,1,30,09:29 AM,11:22 PM,07:30 AM,06:13 PM,-2,-2,2,-2,21,60,80,0.1,1007,4,10,286,14
2020-02-29,5,-4,0.5,8.5,1,1,38,09:46 AM,No moonset,07:28 AM,06:15 PM,-1,-3,2,-3,33,61,80,1.0,1006,5,9,190,22
