date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2011-09-01,25,16,0.0,10.2,5,5,20,08:24 AM,09:19 PM,05:53 AM,05:45 PM,14,19,19,19,23,27,75,0.2,1018,25,8,96,16
2011-09-02,25,15,0.0,11.6,5,5,28,09:16 AM,10:20 PM,05:53 AM,05:45 PM,12,19,19,19,31,36,70,0.0,1019,25,10,103,22
2011-09-03,23,16,0.0,8.8,5,5,36,10:10 AM,11:21 PM,05:52 AM,05:45 PM,15,18,19,18,33,64,80,0.4,1019,23,9,105,25
2011-09-04,23,13,0.0,11.6,5,5,43,11:07 AM,No moonset,05:51 AM,05:45 PM,12,17,18,17,27,26,74,0.3,1019,23,9,96,19
2011-09-05,24,14,0.0,11.6,5,5,51,12:04 PM,12:19 AM,05:51 AM,05:45 PM,11,17,18,17,27,17,70,0.2,1019,24,10,96,19
2011-09-06,24,15,0.0,11.6,5,5,58,01:00 PM,01:15 AM,05:50 AM,05:45 PM,12,18,18,18,24,18,71,0.1,1018,24,10,85,17
2011-09-07,25,14,0.0,10.2,5,5,66,01:55 PM,02:07 AM,05:49 AM,05:45 PM,12,17,18,17,23,26,74,0.1,1017,25,10,86,16
2011-09-08,25,14,0.0,11.6,5,5,73,02:48 PM,02:54 AM,05:49 AM,05:45 PM,14,18,19,18,26,29,77,0.2,1017,25,9,90,18
2011-09-09,25,14,0.0,10.2,5,5,81,03:39 PM,03:39 AM,05:48 AM,05:45 PM,13,19,19,19,25,22,73,0.1,1015,25,10,91,17
2011-09-10,26,12,0.0,10.2,5,5,88,04:26 PM,04:19 AM,05:47 AM,05:45 PM,12,18,18,18,22,29,72,0.0,1017,26,8,88,14
